signal,global_plv,high_R_plv,non_high_R_plv,high_minus_background,best_lag_days,best_lag_plv,p_circular,fdr_q
combo_Venus_Neptune_Pluto,0.02757804789575793,0.21264210742517495,0.02031759879192681,0.19232450863324813,183,0.26517856109106097,0.2513743128435782,0.782848575712144
combo_Mercury_Venus_Pluto,0.017377804708913376,0.21072192437340445,0.029238089234101962,0.1814838351393025,5,0.21509424318112877,0.0864567716141929,0.782848575712144
combo_Saturn_Neptune,0.030347200559827602,0.21044548704535526,0.0209243031145243,0.18952118393083095,196,0.26283478616431916,0.1634182908545727,0.782848575712144
combo_Jupiter_Uranus_Moon,0.06913441777322585,0.19940323058069562,0.07525031154337918,0.12415291903731644,146,0.27648641055881495,0.15342328835582209,0.782848575712144
combo_Jupiter_Moon,0.08013631145950169,0.19490328364151976,0.08560007717842548,0.10930320646309429,178,0.19564970789685504,0.051974012993503245,0.782848575712144
combo_Venus_Saturn_Uranus,0.014452135639429663,0.19061039396203647,0.014302433822992275,0.1763079601390442,42,0.25716752885666627,0.22338830584707647,0.782848575712144
combo_Venus_Jupiter_Saturn,0.07930473424148059,0.18829024460264407,0.08463455220558368,0.10365569239706039,0,0.18829024460264407,0.32083958020989506,0.782848575712144
combo_Mercury_Venus_Neptune,0.0058782043198581605,0.18562070318167806,0.010240534085828616,0.17538016909584944,106,0.2589333041315645,0.191904047976012,0.782848575712144
combo_Venus_Pluto,0.014996329388867418,0.18540018896504887,0.017343512782645818,0.16805667618240305,49,0.2066534209867739,0.2448775612193903,0.782848575712144
combo_Jupiter_Pluto,0.03614329753236791,0.18493373767315158,0.03598714558145409,0.14894659209169747,179,0.34097819932344214,0.2988505747126437,0.782848575712144
Venus,0.01141724781818485,0.18432191007053603,0.003825682239905457,0.18049622783063057,0,0.18432191007053603,0.24737631184407796,0.782848575712144
combo_Jupiter_Pluto_Moon,0.04860704797034342,0.18278551113440264,0.04983358627436136,0.1329519248600413,204,0.23149690977963114,0.13193403298350825,0.782848575712144
combo_Venus_Saturn,0.017522696730871937,0.17885992321992703,0.00924316208987266,0.16961676113005436,25,0.23691601043605173,0.20889555222388806,0.782848575712144
combo_Venus_Pluto_Moon,0.009665860523294795,0.1783408608343869,0.014413111614683113,0.1639277492197038,110,0.18734727732459366,0.079960019990005,0.782848575712144
combo_Venus_Saturn_Neptune,0.008550414286320395,0.17655370662295652,0.0010370873763410327,0.1755166192466155,147,0.18973200889372138,0.25837081459270367,0.782848575712144
combo_Venus_Jupiter_Pluto,0.0712690310916194,0.1731060166748638,0.07099337523724428,0.10211264143761953,77,0.18690592055064567,0.3168415792103948,0.782848575712144
combo_Mercury_Saturn_Neptune,0.026128119662105456,0.1728482304508481,0.01945078943945754,0.15339744101139055,109,0.18343119039937827,0.191904047976012,0.782848575712144
combo_Mercury_Venus_Saturn,0.01797641041086517,0.1728115439532746,0.027862447166066503,0.1449490967872081,45,0.24841751925283043,0.2768615692153923,0.782848575712144
combo_Mercury_Jupiter_Moon,0.0544633928007274,0.17172152292155832,0.058678961247684396,0.11304256167387391,134,0.1859902326184222,0.239880059970015,0.782848575712144
combo_Mercury_Uranus_Pluto,0.049935194344944964,0.16248886247118755,0.0528399366153814,0.10964892585580614,0,0.16248886247118755,0.26636681659170414,0.782848575712144
combo_Jupiter_Saturn_Moon,0.0589027178063791,0.16106388130921842,0.06634650803020872,0.0947173732790097,0,0.16106388130921842,0.21989005497251374,0.782848575712144
combo_Mercury_Venus_Moon,0.009026475456310686,0.15930440903299828,0.015486038339565389,0.1438183706934329,33,0.1612262830345608,0.18140929535232383,0.782848575712144
combo_Mercury_Pluto,0.0338980641909515,0.1557691202121601,0.04360419306362178,0.11216492714853832,0,0.1557691202121601,0.20739630184907545,0.782848575712144
combo_Mercury_Venus,0.008035807829765028,0.1548119731631287,0.016022156459612455,0.13878981670351626,40,0.21381168095039838,0.30834582708645675,0.782848575712144
combo_Venus_Uranus_Moon,0.0017018992053310388,0.142915068285937,0.005736546618143044,0.13717852166779396,54,0.21489820815725522,0.22538730634682658,0.782848575712144
combo_Mercury_Pluto_Moon,0.032030118631670254,0.13269611413049437,0.03993243484969006,0.09276367928080431,1,0.13295870494750578,0.14342828585707146,0.782848575712144
combo_Venus_Moon,0.006508136839911071,0.13193772180588365,0.002225217224227384,0.12971250458165626,4,0.13447150601722932,0.15542228885557222,0.782848575712144
combo_Uranus_Pluto_Moon,0.02059340021307499,0.13087065231080083,0.02306469764550749,0.10780595466529334,54,0.1561587349203939,0.296351824087956,0.782848575712144
combo_Venus_Saturn_Moon,0.005397390346946216,0.12273162598606886,0.001616329224380555,0.1211152967616883,59,0.17791365308100415,0.2888555722138931,0.782848575712144
combo_Mars_Sun,0.030289204486993175,0.34699995806924144,0.016190424770767424,0.330809533298474,0,0.34699995806924144,0.40429785107446276,0.7878404547726138
combo_Mars_Saturn_Sun,0.022007106054665302,0.3100526792266614,0.018747056163911514,0.2913056230627499,0,0.3100526792266614,0.34632683658170915,0.7878404547726138
combo_Venus_Sun,0.02154361403621313,0.29455665193647834,0.00724328697441697,0.2873133649620614,175,0.38266171344045624,0.3363318340829585,0.7878404547726138
combo_Venus_Pluto_Sun,0.01410160551488377,0.292340011194962,0.009273198408861793,0.2830668127861002,87,0.3859266985853452,0.36231884057971014,0.7878404547726138
combo_Venus_Neptune_Sun,0.04106521724437321,0.28853871869061,0.028330178141367686,0.2602085405492423,166,0.39968208638357017,0.4097951024487756,0.7878404547726138
combo_Mars_Uranus,0.025269873598367,0.2595295668491497,0.012989604431755673,0.246539962417394,207,0.39847027365484405,0.39930034982508744,0.7878404547726138
combo_Mercury_Uranus_Sun,0.023427960381793525,0.24934389731006212,0.022095077773435046,0.22724881953662707,109,0.372992305388969,0.392303848075962,0.7878404547726138
combo_Mercury_Mars,0.017841281658504363,0.2421684106747743,0.010314546626688698,0.23185386404808558,203,0.3344130305522497,0.4062968515742129,0.7878404547726138
combo_Mars_Moon,0.011277004326473567,0.2340602138590986,0.0008363862869340031,0.2332238275721646,240,0.29254335841286205,0.3828085957021489,0.7878404547726138
combo_Venus_Sun_Moon,0.010440553805642017,0.23351796683297918,0.0022231531534518227,0.23129481367952737,80,0.3255841760821716,0.3538230884557721,0.7878404547726138
combo_Uranus_Pluto,0.012867722327394006,0.21621476948590396,0.022725886380950525,0.19348888310495344,136,0.31069481733139837,0.34182908545727136,0.7878404547726138
combo_Mars_Neptune_Moon,0.005799333155480798,0.20274537183262042,0.005012460163273301,0.19773291166934712,240,0.30124399507031213,0.3823088455772114,0.7878404547726138
combo_Mercury_Sun_Moon,0.020989129736288765,0.19627757998631842,0.017161094862834854,0.17911648512348358,85,0.2572092247763533,0.3583208395802099,0.7878404547726138
combo_Jupiter_Uranus_Neptune,0.042844975435406815,0.18410954650310637,0.05366914677431632,0.13044039972879007,219,0.32277947511200233,0.37681159420289856,0.7878404547726138
combo_Saturn_Neptune_Pluto,0.018404551487740957,0.180871166659394,0.01029719884303377,0.17057396781636025,48,0.2784276161156217,0.36931534232883556,0.7878404547726138
gas_giants,0.09405870135832348,0.16159509576175032,0.10282505935677734,0.05877003640497298,11,0.18152997565254989,0.4032983508245877,0.7878404547726138
combo_Jupiter_Saturn,0.09405870135832348,0.16159509576175032,0.10282505935677734,0.05877003640497298,11,0.18152997565254989,0.4112943528235882,0.7878404547726138
combo_Saturn_Uranus_Pluto,0.02842695715929074,0.16151954910160649,0.025116354252655775,0.13640319484895072,240,0.20244726342070424,0.4007996001999001,0.7878404547726138
combo_Mercury_Uranus,0.028462407884749647,0.1330721405337095,0.029865434171204148,0.10320670636250535,121,0.2559174853697185,0.41329335332333833,0.7878404547726138
