lag_days,plv,signal
8,0.37338468587734386,Mars
9,0.372379101965295,Mars
10,0.37049710957245463,Mars
11,0.368052217870648,Mars
12,0.3654679303376072,Mars
13,0.3628808239971496,Mars
14,0.360339449729152,Mars
15,0.3578557700269111,Mars
16,0.3554231854685551,Mars
17,0.3530269440814488,Mars
18,0.35065103270552994,Mars
19,0.34828181328662455,Mars
20,0.34590987928065103,Mars
21,0.34353059261729196,Mars
22,0.341144236733389,Mars
23,0.33875590745940204,Mars
24,0.3363757671033904,Mars
25,0.33401981092232635,Mars
26,0.33171101711715356,Mars
27,0.3294798049732592,Mars
28,0.3273602140243418,Mars
29,0.3253792194537049,Mars
30,0.3235427171476198,Mars
31,0.32182728798970667,Mars
32,0.3201881421754163,Mars
33,0.31857318992992684,Mars
34,0.31693269628794396,Mars
35,0.315222692174382,Mars
36,0.3134063646098995,Mars
37,0.31145566858181134,Mars
38,0.3093540014524055,Mars
39,0.3070976636843631,Mars
40,0.3046941803657274,Mars
41,0.30215709713672084,Mars
42,0.299500453508455,Mars
43,0.2967352828817234,Mars
44,0.29386920112895104,Mars
45,0.29090884653197685,Mars
46,0.28786838773852225,Mars
47,0.28479449264976686,Mars
48,0.28181595499457746,Mars
49,0.2791133246654086,Mars
50,0.2767187911733323,Mars
51,0.27453011411930517,Mars
52,0.272453274362651,Mars
53,0.27043614528648724,Mars
54,0.2684606397464719,Mars
55,0.26654504734218265,Mars
56,0.26478521752401707,Mars
57,0.26355546550268844,Mars
58,0.26326205451144125,Mars
59,0.2631752579981011,Mars
60,0.26306965517473163,Mars
61,0.26292655903719236,Mars
62,0.26274931153121567,Mars
63,0.2625425235848555,Mars
64,0.26231061860651156,Mars
65,0.26205701181275876,Mars
66,0.26178464788904926,Mars
67,0.2614956504794854,Mars
68,0.26119215442366917,Mars
69,0.2608762685658612,Mars
70,0.2605505814714891,Mars
71,0.2602177678165044,Mars
72,0.2598808158151937,Mars
73,0.2595426330045761,Mars
74,0.2592063972693685,Mars
75,0.25887546106193193,Mars
76,0.25855387667859603,Mars
77,0.2582462699518707,Mars
78,0.25795802196083395,Mars
79,0.2576945963511044,Mars
80,0.25746094070943354,Mars
81,0.25726041148945394,Mars
82,0.257096440907132,Mars
83,0.2569743699367562,Mars
84,0.2569011583971614,Mars
85,0.25688505191996386,Mars
86,0.2569367447716064,Mars
87,0.2570740194061255,Mars
88,0.25734044938295597,Mars
89,0.2579238506949764,Mars
90,0.259945756273568,Mars
91,0.2624292701143457,Mars
92,0.2649460486895259,Mars
93,0.2674884090029682,Mars
94,0.27004942953937383,Mars
95,0.2726166237983512,Mars
96,0.2751740408749198,Mars
97,0.27770398221325715,Mars
98,0.2801887929355368,Mars
99,0.2826126886642094,Mars
100,0.28496375434806026,Mars
101,0.2872354077326084,Mars
102,0.2894266552285862,Mars
103,0.29154080080700023,Mars
104,0.2935835962363445,Mars
105,0.2955617808750919,Mars
106,0.2974822130354627,Mars
107,0.2993514170532131,Mars
108,0.30117544060848217,Mars
109,0.302959986843147,Mars
110,0.3047106723053714,Mars
111,0.3064333094148781,Mars
112,0.3081338192166758,Mars
113,0.30981758238560037,Mars
114,0.31148896803329484,Mars
115,0.31315118418013704,Mars
116,0.3148060724786379,Mars
117,0.3164540239965529,Mars
118,0.31809406343312197,Mars
119,0.31972419276873,Mars
120,0.3213447904461689,Mars
121,0.32295849252990816,Mars
122,0.32456831240117057,Mars
123,0.3261770192403099,Mars
124,0.3277858698077719,Mars
125,0.3293935711160103,Mars
126,0.3309964081602594,Mars
127,0.3325888634630025,Mars
128,0.33416414746968853,Mars
129,0.3357153008468225,Mars
130,0.3372358418360511,Mars
131,0.3387201084350612,Mars
132,0.34016305361130655,Mars
133,0.34156022314833734,Mars
134,0.34290753709473315,Mars
135,0.34420135328034773,Mars
136,0.3454382769486688,Mars
137,0.34661510084683955,Mars
138,0.34772896721605795,Mars
139,0.34877756448108704,Mars
140,0.3497589408965627,Mars
141,0.35067154143054013,Mars
142,0.351514024546757,Mars
143,0.35228529934174113,Mars
144,0.3529843366393416,Mars
145,0.3536102365368381,Mars
146,0.35416213131275404,Mars
147,0.35463938895411473,Mars
148,0.35504157322896435,Mars
149,0.3553685969019242,Mars
150,0.3556205728408752,Mars
151,0.35579788777370247,Mars
152,0.35590099070913056,Mars
153,0.35593044050576644,Mars
154,0.3558866995321661,Mars
155,0.3557704153524266,Mars
156,0.35558275794310784,Mars
157,0.3553258020834223,Mars
158,0.3550023488626692,Mars
159,0.3546161135380449,Mars
160,0.35417145022739926,Mars
161,0.35367341418361514,Mars
162,0.35312779474451794,Mars
163,0.3525416557659797,Mars
164,0.3519233021885774,Mars
165,0.3512826433734583,Mars
166,0.3506310462962446,Mars
167,0.3499817771330128,Mars
168,0.3493504008180323,Mars
169,0.348755768717256,Mars
170,0.34822016498141833,Mars
171,0.3477701542720176,Mars
172,0.3474361535564212,Mars
173,0.3472513699971041,Mars
174,0.34724746413327545,Mars
175,0.3474495806235504,Mars
176,0.34787200673781293,Mars
177,0.348518722898919,Mars
178,0.3493855633526985,Mars
179,0.3504633001969443,Mars
180,0.3517393952788679,Mars
181,0.35319963651657604,Mars
182,0.3548287792948466,Mars
183,0.3566111826091179,Mars
184,0.3585309778856692,Mars
185,0.36057251250015815,Mars
186,0.3627205347579476,Mars
187,0.36496102912297335,Mars
188,0.36728023955813305,Mars
189,0.36966400897803425,Mars
190,0.3720967309536115,Mars
191,0.37456066256821935,Mars
192,0.37703469563128134,Mars
193,0.3794938850893618,Mars
194,0.38190895597516594,Mars
195,0.3842478348363688,Mars
196,0.38647854112704233,Mars
197,0.3885751241284671,Mars
198,0.39052274592435304,Mars
199,0.39231991625704576,Mars
200,0.3939753004164273,Mars
201,0.3955033936430175,Mars
202,0.3969203891697866,Mars
203,0.39824140082377185,Mars
204,0.3994779593756711,Mars
205,0.40063602161457246,Mars
206,0.40171604747591527,Mars
207,0.40271251283233894,Mars
208,0.403609542070222,Mars
209,0.4043802609957431,Mars
210,0.4049970258631435,Mars
211,0.40545319681431113,Mars
212,0.4057945008264994,Mars
213,0.40624509946746495,Mars
214,0.4077695381308525,Mars
215,0.40925306586762056,Mars
216,0.4105559261373775,Mars
217,0.41175646591659953,Mars
218,0.4129171779979835,Mars
219,0.4141271780666637,Mars
220,0.41549959349475324,Mars
221,0.4165546536012437,Mars
222,0.417086049248122,Mars
223,0.4173977936643723,Mars
224,0.4176518506188464,Mars
225,0.4179774651939373,Mars
226,0.41845890490960147,Mars
227,0.41866134061308014,Mars
228,0.41845922945688346,Mars
229,0.41809060043565177,Mars
230,0.41768545177641475,Mars
231,0.4173180344672278,Mars
232,0.4170325323871515,Mars
233,0.41684485498300655,Mars
234,0.4167461718183107,Mars
235,0.4167143559917037,Mars
236,0.41672397797128574,Mars
237,0.41675178480709296,Mars
238,0.41677795035576903,Mars
239,0.4167866567853614,Mars
240,0.416765205044706,Mars
0,0.243191180221478,Jupiter
1,0.2422011839129969,Jupiter
2,0.24107095669097153,Jupiter
3,0.23980540149786939,Jupiter
4,0.23840705033741696,Jupiter
5,0.23687711615430532,Jupiter
6,0.23521787880877823,Jupiter
7,0.2334323993529852,Jupiter
8,0.23152421510250054,Jupiter
9,0.22949723257929827,Jupiter
10,0.22735566244746946,Jupiter
11,0.22510399109536597,Jupiter
12,0.22274694836448264,Jupiter
13,0.2202895709149806,Jupiter
14,0.21773729872866507,Jupiter
15,0.21509615187712733,Jupiter
16,0.21237244107094594,Jupiter
17,0.2095722114520072,Jupiter
18,0.20670047073004144,Jupiter
19,0.20376141345895593,Jupiter
20,0.20075905544233252,Jupiter
21,0.1976973357563532,Jupiter
22,0.1945803804624789,Jupiter
23,0.19141351508645948,Jupiter
24,0.18820389292263937,Jupiter
25,0.1849605008952708,Jupiter
26,0.18169387170157106,Jupiter
27,0.1784160451158291,Jupiter
28,0.17513753344994037,Jupiter
29,0.17186861053328148,Jupiter
30,0.16862102547487018,Jupiter
31,0.1654102775101615,Jupiter
32,0.16225915439675107,Jupiter
33,0.1592071351376885,Jupiter
34,0.15633678458688224,Jupiter
35,0.15385857837915928,Jupiter
36,0.15213067347691192,Jupiter
37,0.15062816688130484,Jupiter
38,0.14901505394260464,Jupiter
39,0.14733537520532536,Jupiter
40,0.14563608311479662,Jupiter
41,0.14394874564098456,Jupiter
42,0.14229556030485208,Jupiter
43,0.14069338061452957,Jupiter
44,0.1391553478318798,Jupiter
45,0.13769199277784433,Jupiter
46,0.13631096558686925,Jupiter
47,0.13501681374923277,Jupiter
48,0.13381143600063525,Jupiter
49,0.13269540077285114,Jupiter
50,0.13166769481526203,Jupiter
51,0.1307256451987192,Jupiter
52,0.1298642278783018,Jupiter
53,0.12907848234820157,Jupiter
54,0.1283649996640649,Jupiter
55,0.1277226308880483,Jupiter
56,0.1271528319051609,Jupiter
57,0.12666135925188793,Jupiter
58,0.12626679706429145,Jupiter
59,0.12600715600642678,Jupiter
60,0.12594162520987448,Jupiter
61,0.12613624818338184,Jupiter
62,0.12663096282823963,Jupiter
63,0.12741100281277185,Jupiter
64,0.12841988327016765,Jupiter
65,0.1295921324810632,Jupiter
66,0.13087339015765326,Jupiter
67,0.1322225371970598,Jupiter
68,0.1336076028366182,Jupiter
69,0.13500194800811618,Jupiter
70,0.13638250339168642,Jupiter
71,0.13772785620703132,Jupiter
72,0.139018203638572,Jupiter
73,0.14023532314656315,Jupiter
74,0.14136247563146187,Jupiter
75,0.14238349820765753,Jupiter
76,0.14328165027498932,Jupiter
77,0.14403756608652948,Jupiter
78,0.14462619961280665,Jupiter
79,0.14501129485322842,Jupiter
80,0.14513766965466077,Jupiter
81,0.14492067635138464,Jupiter
82,0.14423049775439842,Jupiter
83,0.14286725820017315,Jupiter
84,0.14076700220585195,Jupiter
85,0.13866106378570275,Jupiter
86,0.13665469458466706,Jupiter
87,0.13466851751029874,Jupiter
88,0.13268001551489808,Jupiter
89,0.1306846681496171,Jupiter
90,0.12868265893103856,Jupiter
91,0.12667799241892466,Jupiter
92,0.12467757203310068,Jupiter
93,0.12269008252270462,Jupiter
94,0.12072640687050736,Jupiter
95,0.11879877283013517,Jupiter
96,0.11692116741285512,Jupiter
97,0.1151100968847258,Jupiter
98,0.11338493614619577,Jupiter
99,0.11176747072130488,Jupiter
100,0.11028196451459746,Jupiter
101,0.1089531808287308,Jupiter
102,0.1078067745467845,Jupiter
103,0.10686986301963076,Jupiter
104,0.10616870953295213,Jupiter
105,0.10572694536120898,Jupiter
106,0.10556333046917293,Jupiter
107,0.10569269796794907,Jupiter
108,0.10612810186163539,Jupiter
109,0.10687717774768991,Jupiter
110,0.10794355496546446,Jupiter
111,0.10932830349636034,Jupiter
112,0.1110299656673218,Jupiter
113,0.11304508789616478,Jupiter
114,0.1153660687748782,Jupiter
115,0.1179796333621345,Jupiter
116,0.12086717890782502,Jupiter
117,0.12400626299593136,Jupiter
118,0.12737139154669566,Jupiter
119,0.1309353846572911,Jupiter
120,0.13466997853615464,Jupiter
121,0.13854653826688068,Jupiter
122,0.14253786424454892,Jupiter
123,0.1466172464075845,Jupiter
124,0.1507580940514793,Jupiter
125,0.15493545727378857,Jupiter
126,0.15912497744150242,Jupiter
127,0.16330285845871736,Jupiter
128,0.16744613578078965,Jupiter
129,0.1715331340009478,Jupiter
130,0.17554382879481714,Jupiter
131,0.17946089341329824,Jupiter
132,0.18327025288499538,Jupiter
133,0.1869607699282261,Jupiter
134,0.190526401974824,Jupiter
135,0.19396595500404212,Jupiter
136,0.1972816988904192,Jupiter
137,0.2004794285623062,Jupiter
138,0.2035667283703477,Jupiter
139,0.20654965194199806,Jupiter
140,0.20943141109144153,Jupiter
141,0.21221405622609052,Jupiter
142,0.21489718493004636,Jupiter
143,0.21747890242124687,Jupiter
144,0.21995637338318444,Jupiter
145,0.22232604644490825,Jupiter
146,0.22458433766670868,Jupiter
147,0.22672917317370764,Jupiter
148,0.22876059360123416,Jupiter
149,0.23067998936623318,Jupiter
150,0.2324902357964805,Jupiter
151,0.2341952153985927,Jupiter
152,0.23579946414175074,Jupiter
153,0.23730786183660454,Jupiter
154,0.23872499126675992,Jupiter
155,0.24005631788850407,Jupiter
156,0.2413091314868773,Jupiter
