signal,lag_days,residual_plv
Venus,211,0.09091720984781569
Venus,212,0.09315888414301678
Venus,213,0.09533482177424132
Venus,214,0.09741438838253899
Venus,215,0.0993698541955519
Venus,216,0.10117942102416322
Venus,217,0.10282957529133849
Venus,218,0.10431568995524867
Venus,219,0.10564105194796355
Venus,220,0.10681468790116931
Venus,221,0.10784921551484916
Venus,222,0.10875920844324677
Venus,223,0.10956031798134615
Venus,224,0.11026886035067122
Venus,225,0.11090169748299653
Venus,226,0.11147607886438228
Venus,227,0.11200936806061275
Venus,228,0.11251839483605779
Venus,229,0.11301851447822808
Venus,230,0.11352229680164438
Venus,231,0.11403834234795358
Venus,232,0.11457074542842563
Venus,233,0.11512016818895118
Venus,234,0.11568643198987495
Venus,235,0.1162714739274804
Venus,236,0.11688083272180583
Venus,237,0.11752317028088094
Venus,238,0.11820847183199093
Venus,239,0.11894587075390717
Venus,240,0.11974159739654366
Mars,0,0.08860027736758169
Mars,1,0.08791363660606426
Mars,2,0.08746047726919254
Mars,3,0.08718186809611418
Mars,4,0.08702699464302528
Mars,5,0.08694958219105776
Mars,6,0.08690447331063215
Mars,7,0.08683081729479851
Mars,8,0.08661508316031229
Mars,9,0.086062325368394
Mars,10,0.0855663677963494
Mars,11,0.08554124197060797
Mars,12,0.08577010300027701
Mars,13,0.08613136214088771
Mars,14,0.08657544590521016
Mars,15,0.08709084937773844
Mars,16,0.08768584780649201
Mars,17,0.08837669649762034
Mars,18,0.08917871065044401
Mars,19,0.09010216262015108
Mars,20,0.09114973017120932
Mars,21,0.0923165759978436
Mars,22,0.09359007887809759
Mars,23,0.09495129656107744
Mars,24,0.09637566996672628
Mars,25,0.09783549142163779
Mars,26,0.09930242797877639
Mars,27,0.10075352387598031
Mars,28,0.10217935630319787
Mars,29,0.10359208453210994
Mars,30,0.10502048038937271
Mars,31,0.10649517496316487
Mars,32,0.10803180353896298
Mars,33,0.10962736282305588
Mars,34,0.1112637931036766
Mars,35,0.11291420303731821
Mars,36,0.11454545275537507
Mars,37,0.11612070082006816
Mars,38,0.11760104707489885
Mars,39,0.11895041397893617
Mars,40,0.12013996693170842
Mars,41,0.12115160736864457
Mars,42,0.12197589777221113
Mars,43,0.12260763900760274
Mars,44,0.12303850149986731
Mars,45,0.12324962574589987
Mars,46,0.1232018897467772
Mars,47,0.12283282500260934
Mars,48,0.12209774815104793
Mars,49,0.12108260693184142
Mars,50,0.1199525196315722
Mars,51,0.11878206639378498
Mars,52,0.11757361955195508
Mars,53,0.11630986883225347
Mars,54,0.11496596717268871
Mars,55,0.11349926361478285
Mars,56,0.11179984212926079
Mars,57,0.10951743622696762
Mars,58,0.10645494177103157
Mars,59,0.1033168505311325
Mars,60,0.10022698645184962
Mars,61,0.09717880869258709
Mars,62,0.09416877327411473
Mars,63,0.09120073137552964
Mars,64,0.08828328429409768
Mars,65,0.08542840446515064
Mars,66,0.08265022029958126
Mars,67,0.07996486798073024
Mars,68,0.07739010127786396
Mars,69,0.07494550226106125
Mars,70,0.07265199945640453
Mars,71,0.07053183934210291
Mars,72,0.06860792004582661
Mars,73,0.06690357998346617
Mars,74,0.06544175474941273
Mars,75,0.06424459104273643
Mars,76,0.06333256814290507
Mars,77,0.06272416476167356
Mars,78,0.062435155563300634
Mars,79,0.0624785567896474
Mars,80,0.0628644851498641
Mars,81,0.06360038565220032
Mars,82,0.06468820885712578
Mars,83,0.06612142485074107
Mars,84,0.06788527787214609
Mars,85,0.0699575762935904
Mars,86,0.07230854152846619
Mars,87,0.07489734784243761
Mars,88,0.07765503481039447
Mars,89,0.08036883885205044
Mars,90,0.081906979217915
Mars,91,0.083176097608304
Mars,92,0.08455622176744378
Mars,93,0.08602809129825939
Mars,94,0.0875695537378711
Mars,95,0.08916070664430714
Mars,96,0.09078246599533779
Mars,97,0.09241595274073795
Mars,98,0.09404268190112793
Mars,99,0.0956451213975851
Mars,100,0.09720773951204456
Mars,101,0.09871798642886898
Mars,102,0.1001667005081306
Mars,103,0.10154742047849172
Mars,104,0.10285549663617048
Mars,105,0.10408760559949486
Mars,106,0.1052418368356913
Mars,107,0.1063177283490207
Mars,108,0.10731622552627305
Mars,109,0.10823928770637349
Mars,110,0.10908941662392811
Mars,111,0.10986900007395432
Mars,112,0.11058013553691694
Mars,113,0.11122501111625743
Mars,114,0.11180597233919803
Mars,115,0.11232504849663574
Mars,116,0.1127839419753251
Mars,117,0.11318401142879228
Mars,118,0.11352667325068001
Mars,119,0.11381368892536727
Mars,120,0.11404939909080059
Mars,121,0.11424047375799093
Mars,122,0.11439488550007583
Mars,123,0.11452135463952594
Mars,124,0.11462855327700855
Mars,125,0.1147238958763032
Mars,126,0.11481254036720893
Mars,127,0.11489646076633923
Mars,128,0.11497437783811801
Mars,129,0.1150425853716722
Mars,130,0.1150960961533147
Mars,131,0.11512921192273058
Mars,132,0.11513577235906643
Mars,133,0.11510922451119031
Mars,134,0.11504278247394412
Mars,135,0.11492954687347987
Mars,136,0.11476251750015569
Mars,137,0.1145339802279968
Mars,138,0.11423660783956265
Mars,139,0.11386397297885083
Mars,140,0.11341054091888524
Mars,141,0.1128715321727837
Mars,142,0.11224289978885851
Mars,143,0.11152119784440233
Mars,144,0.11070355134574264
Mars,145,0.10978756735747289
Mars,146,0.10877140285124011
Mars,147,0.10765382896915981
Mars,148,0.1064343657403499
Mars,149,0.10511331169282317
Mars,150,0.10369177860401241
Mars,151,0.10217165633035874
Mars,152,0.1005555961951286
Mars,153,0.09884696073203961
Mars,154,0.09704978957142214
Mars,155,0.09516882090486074
Mars,156,0.09320964388390256
Mars,157,0.09117868920969543
Mars,158,0.08908303707732271
Mars,159,0.08693016151380463
Mars,160,0.08472722543605558
Mars,161,0.08248047687166991
Mars,162,0.08019624825207532
Mars,163,0.07788185511187522
Mars,164,0.07554568327511157
Mars,165,0.0731970712552094
Mars,166,0.070846173025405
Mars,167,0.0685041290949369
Mars,168,0.06618641037134912
Mars,169,0.06391328544583373
Mars,170,0.06170859540206
Mars,171,0.05960011460799951
Mars,172,0.057619311760239024
Mars,173,0.055800499965157443
Mars,174,0.05417740384378486
Mars,175,0.052778635993748164
Mars,176,0.05162354867784292
Mars,177,0.050722009018504
Mars,178,0.050076103471649855
Mars,179,0.04968272097446242
Mars,180,0.04953540655934379
Mars,181,0.04962589700137878
Mars,182,0.04994498693971079
Mars,183,0.050482950883848694
Mars,184,0.051229682501731974
Mars,185,0.052174598331441197
Mars,186,0.05330677323469904
Mars,187,0.054617804026520965
Mars,188,0.05609776062837282
Mars,189,0.057733870131369366
Mars,190,0.05951001031333627
Mars,191,0.06140641470747495
Mars,192,0.06339927820449008
Mars,193,0.06546044737212757
Mars,194,0.06755708984040935
Mars,195,0.06965279387639696
Mars,196,0.07171007520920368
Mars,197,0.07369571600952782
Mars,198,0.07558631981269057
Mars,199,0.07737186116578619
Mars,200,0.07905455272831088
Mars,201,0.08064618854952771
Mars,202,0.08216550081732253
Mars,203,0.0836367844511043
Mars,204,0.08508969357432505
Mars,205,0.08656004950182637
Mars,206,0.08808873297813606
Mars,207,0.08971871236099303
Mars,208,0.09149110266341039
Mars,209,0.09343354859669627
Mars,210,0.09554380685620498
Mars,211,0.09777775085457696
Mars,212,0.10003646110408729
Mars,213,0.10205698355222179
Mars,214,0.10314939817644159
Mars,215,0.10448004730132118
Mars,216,0.10591294210583627
Mars,217,0.10732091715949515
Mars,218,0.10862237192553392
Mars,219,0.10971596663193083
Mars,220,0.11047604569529881
Mars,221,0.11140939498358368
Mars,222,0.11282361384124072
Mars,223,0.11446423241196048
Mars,224,0.11623585371879955
Mars,225,0.11816237512385638
Mars,226,0.12032638115562429
Mars,227,0.12228691477598565
Mars,228,0.12369439716218243
Mars,229,0.1246651902421043
Mars,230,0.12527362520431407
Mars,231,0.12556633459432623
Mars,232,0.12559285682811794
Mars,233,0.12540705909367092
Mars,234,0.12505630481128752
Mars,235,0.12457472351789795
Mars,236,0.12398437734312195
Mars,237,0.1232992876508017
Mars,238,0.12252932416047381
Mars,239,0.12168272043674941
Mars,240,0.12076761447432846
Jupiter,0,0.026376568136463326
Jupiter,1,0.02416411161114526
Jupiter,2,0.02210657512700538
Jupiter,3,0.020213231255307815
Jupiter,4,0.01849531842635746
Jupiter,5,0.016962988015603978
Jupiter,6,0.015626526603056426
Jupiter,7,0.014495019746186272
Jupiter,8,0.013575233771926013
Jupiter,9,0.012869977581477227
Jupiter,10,0.012376802103935464
Jupiter,11,0.012087425759092742
Jupiter,12,0.011988372851358176
Jupiter,13,0.012062924762293575
Jupiter,14,0.01229351339363521
Jupiter,15,0.012663809808622141
Jupiter,16,0.013159811504488791
Jupiter,17,0.013770857381725569
Jupiter,18,0.014490177630578785
Jupiter,19,0.01531401662881969
Jupiter,20,0.016240213926159364
Jupiter,21,0.017267175748768886
Jupiter,22,0.01839332564326257
Jupiter,23,0.019618611216493175
Jupiter,24,0.020944667306179277
Jupiter,25,0.02237374813070326
Jupiter,26,0.0239064754946241
Jupiter,27,0.025539738220192874
Jupiter,28,0.027269648942799672
Jupiter,29,0.029092279034251548
Jupiter,30,0.031003496057872414
Jupiter,31,0.03299875746928187
Jupiter,32,0.03507297032593339
Jupiter,33,0.03722145495835345
Jupiter,34,0.03944740853642493
Jupiter,35,0.04182188990414778
Jupiter,36,0.04486236225022029
Jupiter,37,0.04898353625104948
Jupiter,38,0.05362085594095188
Jupiter,39,0.05851873583840428
Jupiter,40,0.06358357054821388
Jupiter,41,0.06876745136144231
Jupiter,42,0.07403750299128461
Jupiter,43,0.07936677283260439
Jupiter,44,0.08473012228561806
Jupiter,45,0.09010307427475348
Jupiter,46,0.09546088799207278
Jupiter,47,0.10077928061803323
Jupiter,48,0.10603285591507698
Jupiter,49,0.11119470246652671
Jupiter,50,0.11623700612385295
Jupiter,51,0.12113227702086982
Jupiter,52,0.1258525061504144
Jupiter,53,0.13037139046258064
Jupiter,54,0.13466540593097764
Jupiter,55,0.1387117813991384
Jupiter,56,0.14248359870426172
Jupiter,57,0.14594834928648617
Jupiter,58,0.14906995433084871
Jupiter,59,0.15180764773216204
Jupiter,60,0.15412584026189827
Jupiter,61,0.15601794968306987
Jupiter,62,0.1575329969819277
Jupiter,63,0.15877020025720084
Jupiter,64,0.15983681352537096
Jupiter,65,0.16081582315109091
Jupiter,66,0.16176389795886462
Jupiter,67,0.1627195154546289
Jupiter,68,0.16371006544429625
Jupiter,69,0.1647546621681719
Jupiter,70,0.16586819097827868
Jupiter,71,0.1670623107033816
Jupiter,72,0.16834734477023156
Jupiter,73,0.16973130758246394
Jupiter,74,0.17122107253106517
Jupiter,75,0.172820829640509
Jupiter,76,0.1745324466294822
Jupiter,77,0.17635281328585795
Jupiter,78,0.17827273118750814
Jupiter,79,0.18027240106333098
Jupiter,80,0.18231633049525653
Jupiter,81,0.18434167288760497
Jupiter,82,0.18624439951348784
Jupiter,83,0.187896561941067
Jupiter,84,0.18952181387820613
Jupiter,85,0.19171952930789996
Jupiter,86,0.19415285501255486
Jupiter,87,0.19661006644216167
Jupiter,88,0.19902880779105256
Jupiter,89,0.20138889194673898
Jupiter,90,0.20367922791285362
Jupiter,91,0.20588635729413482
Jupiter,92,0.2079937776909306
Jupiter,93,0.2099843808892981
Jupiter,94,0.21184099345781024
Jupiter,95,0.21354631790578302
Jupiter,96,0.2150844765792116
Jupiter,97,0.2164426567798078
Jupiter,98,0.21761135041680846
Jupiter,99,0.21858411654816556
Jupiter,100,0.21935946686809904
Jupiter,101,0.21994190649532505
Jupiter,102,0.2203416095729437
Jupiter,103,0.22057255775799267
Jupiter,104,0.2206503979226005
Jupiter,105,0.22059077037407832
Jupiter,106,0.22040774133031127
Jupiter,107,0.2201147998092344
