combo,n_bodies,weights,all_high_plv,all_background_plv,all_contrast,train_high_plv,train_background_plv,train_contrast,test_high_plv,test_background_plv,test_contrast,train_score
Mercury+Jupiter+Neptune,3,Mercury:-0.222603;Jupiter:0.744032;Neptune:-0.629972,0.1789538566330604,0.021546949616063342,0.15740690701699706,0.48705727558238454,0.02487935365098509,0.46217792193139945,0.14043929280664433,0.02086658417165525,0.11957270863498907,0.4555112552647328
Mercury+Jupiter+Neptune+Moon,4,Mercury:0.201376;Jupiter:-0.752518;Neptune:0.626832;Moon:0.015696,0.17847823146807604,0.021736544133449495,0.15674168733462654,0.4868883412579494,0.024599604735131255,0.46228873652281816,0.13982858793641548,0.020570288506762246,0.11925829942965323,0.45728873652281815
Mercury+Neptune+Moon,3,Mercury:-0.843378;Neptune:-0.425373;Moon:0.328286,0.16053892030514189,0.029222524815328235,0.13131639548981366,0.31764654896646854,0.032909759266616496,0.28473678969985206,0.14736150451820146,0.028896306277874272,0.11846519824032718,0.2780701230331854
Venus+Jupiter+Saturn+Moon,4,Venus:0.679376;Jupiter:-0.457253;Saturn:0.573775;Moon:-0.012287,0.2078379544024798,0.014226725617449124,0.19361122878503068,0.7362069285432165,0.01933948394482339,0.716867444598393,0.13638590941398274,0.018132262306333566,0.11825364710764917,0.711867444598393
Mars+Neptune+Pluto+Moon,4,Mars:-0.464847;Neptune:-0.682444;Pluto:-0.562691;Moon:-0.039593,0.060811610695206034,0.008102745600094986,0.05270886509511105,0.41306567716875825,0.012319949450023227,0.400745727718735,0.12496359623354265,0.007757158818443669,0.11720643741509898,0.395745727718735
Mercury+Uranus+Neptune+Moon,4,Mercury:0.690888;Uranus:-0.510736;Neptune:0.502939;Moon:-0.094207,0.154500036368969,0.023162095686305458,0.13133794068266355,0.32629659856717624,0.027020965144016244,0.29927563342316,0.13976028542106722,0.022955106344096976,0.11680517907697024,0.29427563342316
Mercury+Mars+Uranus,3,Mercury:-0.686816;Mars:0.657309;Uranus:-0.310207,0.1335801699628772,0.010152297365529897,0.12342787259734729,0.3263730272126251,0.012653681577620018,0.3137193456350051,0.12441519764798323,0.008202426111772377,0.11621277153621085,0.30705267896833843
Venus+Jupiter+Uranus+Moon,4,Venus:-0.843927;Jupiter:0.169741;Uranus:-0.502453;Moon:-0.080720,0.20223356261306086,0.009394325902871939,0.19283923671018893,0.6605860047877844,0.013590389548284204,0.6469956152395002,0.1277908081598612,0.011590181190239515,0.1162006269696217,0.6419956152395002
Mercury+Jupiter+Uranus+Pluto,4,Mercury:-0.080590;Jupiter:0.265656;Uranus:0.624742;Pluto:0.729814,0.08922525448726411,0.018164215317720642,0.07106103916954347,0.6456656261427367,0.01986443131510206,0.6258011948276346,0.13713150527255172,0.021435683875355688,0.11569582139719603,0.6208011948276346
Mars+Jupiter+Pluto+Moon,4,Mars:0.354419;Jupiter:0.833110;Pluto:0.333880;Moon:-0.262373,0.07309188178530641,0.03211887389018988,0.040973007895116535,0.5067350458436266,0.03630081603471477,0.4704342298089118,0.14568188920413822,0.030145413754099067,0.11553647545003914,0.4654342298089118
Mercury+Venus+Neptune,3,Mercury:-0.232078;Venus:0.962898;Neptune:0.137718,0.18707399433971245,0.006214433408327074,0.18085956093138536,0.6443565366466479,0.0017323512998431655,0.6426241853468048,0.11895558503206752,0.0037652368345467966,0.11519034819752072,0.6359575186801381
Venus+Jupiter+Saturn+Uranus,4,Venus:0.678273;Jupiter:-0.468993;Saturn:0.565326;Uranus:-0.019948,0.20465557126090278,0.013035680807617517,0.19161989045328526,0.7327955201939546,0.01802613658310357,0.714769383610851,0.13218635103741777,0.017106728452304557,0.11507962258511321,0.709769383610851
Venus+Jupiter+Uranus,3,Venus:-0.860528;Jupiter:0.187149;Uranus:-0.473780,0.19807814070340946,0.009617267385697527,0.18846087331771194,0.6573226131991038,0.014149841740629216,0.6431727714584746,0.12731376043735948,0.012283454267219376,0.11503030617014011,0.6365061047918079
Mercury+Mars+Saturn+Pluto,4,Mercury:-0.450565;Mars:0.292800;Saturn:-0.775048;Pluto:-0.332505,0.034667413296132425,0.013668346225626743,0.02099906707050568,0.47025332922704083,0.018266120397052922,0.4519872088299879,0.1242207884427175,0.009451660386550329,0.11476912805616717,0.4469872088299879
Mercury+Venus+Neptune+Moon,4,Mercury:0.224658;Venus:-0.961336;Neptune:-0.151121;Moon:-0.050244,0.18644284454239907,0.006407416742413519,0.18003542779998555,0.6450824090608015,0.0019739096712667265,0.6431084993895347,0.11809400455611205,0.0037385477270901277,0.11435545682902191,0.6381084993895347
Venus+Jupiter+Saturn,3,Venus:-0.689333;Jupiter:0.456640;Saturn:-0.562405,0.20523067577429535,0.014046759212653312,0.19118391656164205,0.7333698193413597,0.018997140351088557,0.7143726789902711,0.1323173004761163,0.01800923687635626,0.11430806359976005,0.7077060123236044
Mercury+Venus+Jupiter+Uranus,4,Mercury:-0.214877;Venus:0.847961;Jupiter:-0.178878;Uranus:0.450325,0.20525934210555377,0.009218363206804468,0.1960409788987493,0.6924185483278689,0.004431836486612725,0.6879867118412561,0.11679094504764537,0.003651169822275433,0.11313977522536993,0.6829867118412561
