bin,phi_center_rad,phi_center_deg,n,escape_rate,composite
11,-1.1344640137963142,-65.0,468,0.17307692307692307,Mercury_Venus_Mars
12,-0.9599310885968813,-55.0,535,0.18130841121495328,Mercury_Venus_Mars
13,-0.7853981633974483,-45.0,484,0.20041322314049587,Mercury_Venus_Mars
14,-0.6108652381980153,-35.0,494,0.18218623481781376,Mercury_Venus_Mars
15,-0.43633231299858233,-24.999999999999996,487,0.1806981519507187,Mercury_Venus_Mars
16,-0.2617993877991496,-15.000000000000009,473,0.17970401691331925,Mercury_Venus_Mars
17,-0.0872664625997166,-5.000000000000007,464,0.1853448275862069,Mercury_Venus_Mars
18,0.08726646259971638,4.999999999999995,472,0.1419491525423729,Mercury_Venus_Mars
19,0.26179938779914935,14.999999999999996,447,0.1610738255033557,Mercury_Venus_Mars
20,0.43633231299858233,24.999999999999996,466,0.17167381974248927,Mercury_Venus_Mars
21,0.6108652381980153,35.0,415,0.163855421686747,Mercury_Venus_Mars
22,0.7853981633974483,45.0,414,0.13768115942028986,Mercury_Venus_Mars
23,0.959931088596881,54.999999999999986,480,0.1625,Mercury_Venus_Mars
24,1.1344640137963138,64.99999999999997,462,0.19480519480519481,Mercury_Venus_Mars
25,1.308996938995747,74.99999999999999,453,0.19205298013245034,Mercury_Venus_Mars
26,1.4835298641951802,85.0,443,0.2144469525959368,Mercury_Venus_Mars
27,1.658062789394613,95.0,444,0.18468468468468469,Mercury_Venus_Mars
28,1.8325957145940457,104.99999999999999,436,0.20412844036697247,Mercury_Venus_Mars
29,2.007128639793479,115.0,452,0.1747787610619469,Mercury_Venus_Mars
30,2.181661564992912,125.00000000000001,463,0.16198704103671707,Mercury_Venus_Mars
31,2.356194490192345,135.0,419,0.2171837708830549,Mercury_Venus_Mars
32,2.5307274153917776,145.0,424,0.18160377358490565,Mercury_Venus_Mars
33,2.7052603405912103,154.99999999999997,457,0.13785557986870897,Mercury_Venus_Mars
34,2.8797932657906435,165.0,405,0.15555555555555556,Mercury_Venus_Mars
35,3.0543261909900767,175.0,405,0.12098765432098765,Mercury_Venus_Mars
0,-3.0543261909900767,-175.0,421,0.16389548693586697,All_NonSolar_Major
1,-2.879793265790644,-165.00000000000003,450,0.12444444444444444,All_NonSolar_Major
2,-2.705260340591211,-155.0,499,0.12625250501002003,All_NonSolar_Major
3,-2.5307274153917776,-145.0,463,0.1511879049676026,All_NonSolar_Major
4,-2.356194490192345,-135.0,454,0.14977973568281938,All_NonSolar_Major
5,-2.181661564992912,-125.00000000000001,467,0.19271948608137046,All_NonSolar_Major
6,-2.0071286397934793,-115.00000000000003,453,0.1434878587196468,All_NonSolar_Major
7,-1.8325957145940461,-105.00000000000001,502,0.18127490039840638,All_NonSolar_Major
8,-1.658062789394613,-95.0,448,0.16071428571428573,All_NonSolar_Major
9,-1.4835298641951802,-85.0,450,0.1622222222222222,All_NonSolar_Major
10,-1.308996938995747,-74.99999999999999,478,0.11297071129707113,All_NonSolar_Major
11,-1.1344640137963142,-65.0,483,0.14699792960662525,All_NonSolar_Major
12,-0.9599310885968813,-55.0,497,0.14084507042253522,All_NonSolar_Major
13,-0.7853981633974483,-45.0,491,0.1670061099796334,All_NonSolar_Major
14,-0.6108652381980153,-35.0,500,0.194,All_NonSolar_Major
15,-0.43633231299858233,-24.999999999999996,423,0.17257683215130024,All_NonSolar_Major
