date,theta_residual_minus_sun_rad,optimal_composite_phase_rad,phase_misalignment_rad,R,high_R
1999-04-30,1.8612203501519762,2.6788618853919086,-0.8176415352399324,0.2728526574480199,False
1999-05-01,1.831885665922032,2.7248877652815393,-0.8930020993595074,0.2802158235072655,False
1999-05-02,1.8027683040859035,2.769147368076254,-0.9663790639903507,0.2870874400683299,False
1999-05-03,1.7738404775362646,2.81147717224367,-1.0376366947074054,0.2936691919253589,False
1999-05-04,1.7451086477158526,2.852257702580392,-1.1071490548645393,0.3000834696870971,False
1999-05-05,1.7165293725660256,2.8913171146506524,-1.1747877420846269,0.3063369147345998,False
1999-05-06,1.688108263647612,2.92906683885095,-1.2409585752033383,0.3122919587115963,False
1999-05-07,1.6598049911459931,2.965111469737848,-1.305306478591855,0.3177310335372436,False
1999-05-08,1.631627683605986,2.998706694880644,-1.367079011274658,0.3225162416623083,False
1999-05-09,1.6035302462586385,3.028917480311504,-1.4253872340528657,0.3266155694012961,False
1999-05-10,1.575517050431393,3.0561484087862176,-1.4806313583548247,0.3299813887087621,False
1999-05-11,1.5475397313740302,3.080175750861387,-1.5326360194873567,0.3325205382492683,False
1999-05-12,1.5196116415633067,3.1015366517633787,-1.581925010200072,0.3341728714189219,False
1999-05-13,1.4916981762644017,3.120006533368037,-1.6283083571036352,0.3348724547147916,False
1999-05-14,1.4638230676276782,3.136092431945526,-1.672269364317848,0.3345205177844223,False
1999-05-15,1.4359486038120366,-3.1336548115556893,-1.7135818918118604,0.3330163894059213,False
1999-05-16,1.4080981480280013,-3.1223729756232568,-1.7527141835283278,0.330362691594696,False
1999-05-17,1.3802400472839107,-3.1135274404948747,-1.7894178194008008,0.3266285172255053,False
1999-05-18,1.3524086497729346,-3.106612927700174,-1.824163729706477,0.3218673176265026,False
1999-05-19,1.3245782225845337,-3.101896464345086,-1.8567106202499666,0.3161183907855598,False
1999-05-20,1.2967895319737845,-3.0988341062625264,-1.8875616689432757,0.3093882293350449,False
1999-05-21,1.2690188422138124,-3.097653906339629,-1.9165125586261453,0.3016816154619184,False
1999-05-22,1.2413042824150073,-3.0977571964156123,-1.9441238283489666,0.2931883281926362,False
1999-05-23,1.2136110535190028,-3.099315023163762,-1.970259230496822,0.2840491916378854,False
1999-05-24,1.1859729494023936,-3.101670602142382,-1.995541755634811,0.2743504843904847,False
1999-05-25,1.1583614798669224,-3.1049318137387023,-2.019892013573962,0.2641997168984046,False
1999-05-26,1.1308221419073137,-3.108395401580094,-2.0439677636921783,0.2535847401694419,False
1999-05-27,1.1033307254960185,-3.112113601825136,-2.0677409798584314,0.242257166422185,False
1999-05-28,1.0759361275009383,-3.115362233381556,-2.091886946297092,0.2298746020422029,False
1999-05-29,1.048615962560488,-3.118157253989928,-2.1164120906291704,0.2163241549230809,False
1999-05-30,1.0214230038679935,-3.1197882884611454,-2.1419740148504474,0.2017498917505696,False
1999-05-31,0.9943327014601939,-3.1202616531721072,-2.1685909525472855,0.1862859261912686,False
1999-06-01,0.9673884993977389,-3.118918760661382,-2.1968780471204656,0.1699939987992006,False
1999-06-02,0.9405518721793218,-3.1157864278878127,-2.226847007112452,0.1529423046401584,False
1999-06-03,0.9138625645099516,-3.1103020308556406,-2.259020711813994,0.1350461587578107,False
1999-06-04,0.8872840607032977,-3.1025697950882365,-2.2933314513880525,0.1159984674172039,False
1999-06-05,0.8608583848254545,-3.0922561178089905,-2.330070804545141,0.0956906360476887,False
1999-06-06,0.8345423681013848,-3.0799067942664955,-2.368736144811706,0.0743146199244633,False
1999-06-07,0.8083653909896835,-3.0664379074367365,-2.4083820087531667,0.0520597090744567,False
1999-06-08,0.7822698830123276,-3.053234966006411,-2.447680458160848,0.0289730860801474,False
1999-06-09,0.7562791880680795,-3.0398383053586433,-2.487067813752864,0.005092645329273,False
1999-06-10,0.7303367088392907,-3.026449089353885,-2.52639950898641,-0.0195063874977517,False
1999-06-11,0.7044714179094971,-3.0127016352562266,-2.566012254013863,-0.0448002254135358,False
1999-06-12,0.678628232119248,-2.998843155483412,-2.6057139195769263,-0.0708985729585029,False
1999-06-13,0.6528337712176633,-2.984589600862811,-2.6457619350991113,-0.097971153571847,False
1999-06-14,0.627029538345421,-2.9701786135553756,-2.68597715527879,-0.1259486061808241,False
1999-06-15,0.6012465254455197,-2.9553650504715354,-2.7265737312625316,-0.1544517063820053,False
1999-06-16,0.5754340807426068,-2.940366745912816,-2.7673844805241634,-0.1831280973280933,False
1999-06-17,0.5496296558943978,-2.9249649214341438,-2.808590729851044,-0.2118435017383878,False
1999-06-18,0.5237831104480541,-2.9093555273794385,-2.8500466693520936,-0.2406411256792424,False
1999-06-19,0.4979295739535967,-2.8933408249658634,-2.8919149082601265,-0.2694841058448147,False
1999-06-20,0.47201322757415554,-2.8770944489330046,-2.9340776306724266,-0.2983940052474407,False
1999-06-21,0.44606281216222676,-2.8604364967060665,-2.976685998311293,-0.327377011736551,False
1999-06-22,0.42002099027327944,-2.8435181235691798,-3.0196461933371275,-0.3563622627104235,False
1999-06-23,0.3939270581527641,-2.8261746551678497,-3.0630835938589724,-0.3852762541888839,False
1999-06-24,0.3677401231551727,-2.8085344120009417,-3.106910772023472,-0.4141610636786073,False
1999-06-25,0.34151309753725734,-2.7904453376197327,3.1319584351569905,-0.4431188281353101,False
1999-06-26,0.31521217708256977,-2.772012379557147,3.0872245566397165,-0.4720628868596239,False
1999-06-27,0.2888951852142778,-2.7530938329499053,3.041989018164183,-0.5008104546173091,False
1999-06-28,0.2625319343514896,-2.7337717147231997,2.9963036490746893,-0.5292041220992755,False
1999-06-29,0.23618193314533542,-2.713914447391637,2.950096380536973,-0.557084778975929,False
1999-06-30,0.20981364069643327,-2.6935844021873683,2.9033980428838015,-0.5842872362041397,False
1999-07-01,0.18348580536896364,-2.672662978810081,2.8561487841790445,-0.6107064239143283,False
1999-07-02,0.15717063401547193,-2.6511984744120247,2.808369108427497,-0.6364480784411518,False
1999-07-03,0.1309329244430959,-2.6290888965234145,2.760021820966511,-0.661598476192424,False
1999-07-04,0.10474389262743244,-2.60637313305449,2.711117025681922,-0.6862072183314073,False
1999-07-05,0.07865706795022831,-2.5829674267070595,2.6616244946572873,-0.7102585444393444,False
1999-07-06,0.05262568085544839,-2.558903569674302,2.6115292505297507,-0.733722057403405,False
1999-07-07,0.026686619358941233,-2.5341157282458853,2.5608023476048265,-0.7566526777131843,False
1999-07-08,0.0007836167534001071,-2.508629550312372,2.509413167065772,-0.7791280243124781,False
1999-07-09,-0.02505124746523979,-2.4823961574720967,2.4573449100068565,-0.8011785980538506,False
1999-07-10,-0.05087879108326909,-2.4554356845386933,2.4045568934554247,-0.8227358262175792,False
1999-07-11,-0.07667252013865777,-2.4277152814226826,2.351042761284025,-0.8437596546575421,False
1999-07-12,-0.10249759108011514,-2.39925019684611,2.2967526057659953,-0.8642122300163176,False
1999-07-13,-0.12833060051109868,-2.3700228132536467,2.2416922127425476,-0.8840613004270501,False
1999-07-14,-0.1542383015320823,-2.340044014329929,2.1858057127978467,-0.903293247111548,False
1999-07-15,-0.18019852681024062,-2.3093105770037226,2.1291120501934824,-0.921909000684178,False
1999-07-16,-0.20627935098997163,-2.2778291964853876,2.071549845495416,-0.93996864410508,False
1999-07-17,-0.2324613182776396,-2.2456099423714515,2.0131486240938123,-0.9575485593025967,False
1999-07-18,-0.25881522409326685,-2.2126549603253287,1.9538397362320623,-0.9747607345288593,False
1999-07-19,-0.2853240182994128,-2.1789861352990956,1.8936621169996828,-0.9917321859167628,False
1999-07-20,-0.3120564034753759,-2.1446001342009744,1.8325437307255985,-1.0085292647895543,False
1999-07-21,-0.3389865108021617,-2.1095288476050156,1.7705423368028539,-1.0252128171608157,False
1999-07-22,-0.36616312129755,-2.0737620602848232,1.7075989389872728,-1.0418215926781889,False
1999-07-23,-0.39353697600151705,-2.037339636442041,1.6438026604405245,-1.0582179770733025,False
1999-07-24,-0.4211385248023518,-2.0002427623993713,1.5791042375970195,-1.0742405429221409,False
