date,x,y,z
1975-03-05,-0.5593086882914333,0.8289594629423783,0.0
1975-03-06,-0.5582358434311531,0.829682314569082,0.0
1975-03-07,-0.5571618316209245,0.830403933868823,0.0
1975-03-08,-0.5560867533884385,0.8311242522667149,0.0
1975-03-09,-0.5550107132564286,0.8318431992693036,0.0
1975-03-10,-0.5539338198702459,0.8325607024139189,0.0
1975-03-11,-0.5528561861291695,0.8332766872166226,0.0
1975-03-12,-0.551777929321554,0.8339910771187052,0.0
1975-03-13,-0.550699171263904,0.8347037934316875,0.0
1975-03-14,-0.5496200384439762,0.8354147552807779,0.0
1975-03-15,-0.5485406621680079,0.8361238795467352,0.0
1975-03-16,-0.5474611787121697,0.8368310808060858,0.0
1975-03-17,-0.5463817294783433,0.8375362712696415,0.0
1975-03-18,-0.5453024611543242,0.8382393607192618,0.0
1975-03-19,-0.5442235258785586,0.8389402564427993,0.0
1975-03-20,-0.5431450814094989,0.8396388631671767,0.0
1975-03-21,-0.5420672912997063,0.8403350829895175,0.0
1975-03-22,-0.5409903250747767,0.8410288153062816,0.0
1975-03-23,-0.5399143584172138,0.8417199567403213,0.0
1975-03-24,-0.5388395733553343,0.8424084010658022,0.0
1975-03-25,-0.5377661584573246,0.8430940391308978,0.0
1975-03-26,-0.5366943090305293,0.8437767587781988,0.0
1975-03-27,-0.5356242273260887,0.8444564447627424,0.0
1975-03-28,-0.534556122749015,0.8451329786675823,0.0
1975-03-29,-0.5334902120737979,0.8458062388168192,0.0
1975-03-30,-0.5324267196656443,0.8464761001859896,0.0
1975-03-31,-0.5313658777074328,0.8471424343097267,0.0
1975-04-01,-0.5303079264324709,0.8478051091865942,0.0
1975-04-02,-0.5292531143631457,0.8484639891809853,0.0
1975-04-03,-0.5282016985555305,0.8491189349219888,0.0
1975-04-04,-0.527153944850033,0.8497698031991067,0.0
1975-04-05,-0.5261101281281493,0.8504164468547056,0.0
