gx,gy,gz,energy
0.0,-0.0,1.0,0.0
0.0,-0.0,1.0,0.0
0.03489949670250097,0.0,0.9993908270190958,0.0004576955617561199
0.03487823687206265,0.001217974870087876,0.9993908270190958,0.00044965202169769907
0.03481448328257625,0.0024344658254111962,0.9993908270190958,0.0004423847477567611
0.03470831360797007,0.003647990759126966,0.9993908270190958,0.0004359291453614428
0.03455985719963844,0.004857071178032638,0.9993908270190958,0.0004303166655576993
0.034369294928846945,0.0060602340038823374,0.9993908270190958,0.0004255746517829696
0.034136858966368686,0.007256013368105794,0.9993908270190958,0.00042172620665169904
0.033862832499619924,0.008442952397743387,0.9993908270190958,0.00041879007940172255
0.03354754938763985,0.009619604990421448,0.9993908270190958,0.0004167805745498634
0.03319139375433477,0.010784537576205237,0.9993908270190958,0.00041570748220176547
0.0327947995204823,0.011936330864183085,0.9993908270190958,0.00041557603035548177
0.032358249875065734,0.013073581571653742,0.9993908270190958,0.0004163868594311938
0.03188227668658269,0.014194904133810204,0.9993908270190958,0.0004181360191511488
0.031367459855045285,0.015298932391836977,0.9993908270190958,0.0004208149877850165
0.03081442660546129,0.016384321257364172,0.9993908270190958,0.00042441071366690114
0.03022385072365709,0.01744974835125048,0.9993908270190958,0.0004289056787817476
0.029596451735373414,0.018493915614698476,0.9993908270190958,0.00043427798411134873
0.028932994029634087,0.019515550890739274,0.9993908270190958,0.0004405014563241608
0.028234285927455725,0.020513409474159867,0.9993908270190958,0.00044754577528914423
0.027501178697033096,0.021486275627984695,0.9993908270190958,0.00045537662179239406
0.026734565516599966,0.022432964064663857,0.9993908270190958,0.00046395584473690055
0.02593538038622898,0.023352321390163445,0.9993908270190958,0.0004732416470108585
0.025104596989896463,0.02424322750919847,0.9993908270190958,0.0004831887891189946
0.02424322750919847,0.02510459698989646,0.9993908270190958,0.0004937488095848413
0.023352321390163445,0.02593538038622898,0.9993908270190958,0.0005048702610501788
0.02243296406466386,0.026734565516599966,0.9993908270190958,0.000516498960921392
0.021486275627984695,0.0275011786970331,0.9993908270190958,0.0005285782553416215
0.020513409474159867,0.028234285927455725,0.9993908270190958,0.0005410492952026582
0.01951555089073927,0.028932994029634087,0.9993908270190958,0.0005538513228518834
0.018493915614698476,0.029596451735373414,0.9993908270190958,0.0005669219680974459
0.017449748351250488,0.030223850723657086,0.9993908270190958,0.0005801975520695657
0.016384321257364175,0.030814426605461288,0.9993908270190958,0.0005936133974575877
0.015298932391836977,0.03136745985504528,0.9993908270190958,0.0006071041436113376
0.014194904133810204,0.03188227668658269,0.9993908270190958,0.0006206040649716393
0.01307358157165374,0.032358249875065734,0.9993908270190958,0.0006340473912786328
