time,omega
17.631759069130734,199.05166064011897
17.634496919917865,198.41137840844172
17.637234770704996,197.69351897472583
17.639972621492127,196.89984980867047
17.642710472279262,196.0323311349034
17.645448323066393,195.09310236172007
17.648186173853524,194.08446756277766
17.650924024640656,193.00888019817188
17.65366187542779,191.86892724621862
17.65639972621492,190.66731293364472
17.659137577002053,189.40684223486048
17.661875427789184,188.09040432153472
17.66461327857632,186.72095611704836
17.66735112936345,185.30150611607905
17.67008898015058,183.8350986033665
17.672826830937716,182.32479840756807
17.675564681724847,180.773676295039
17.678302532511978,179.18479510107218
17.68104038329911,177.5611966856876
17.683778234086244,175.90588977068936
17.686516084873375,174.221838714116
17.689253935660506,172.51195325002686
17.691991786447637,170.77907922262247
17.694729637234772,169.02599031291624
17.697467488021903,167.2553807601134
17.700205338809035,165.4698590559115
17.702943189596166,163.67194259370532
17.7056810403833,161.86405323315853
17.70841889117043,160.04851374359345
17.711156741957563,158.22754507732714
17.713894592744694,156.40326442814208
17.71663244353183,154.57768401528887
17.71937029431896,152.75271054276786
17.72210814510609,150.93014527185917
17.724845995893222,149.1116846570461
17.727583846680357,147.29892148142955
17.730321697467488,145.4933464419671
17.73305954825462,143.6963501251581
17.73579739904175,141.90922532844036
17.738535249828885,140.13316967099232
17.741273100616016,138.36928845351963
17.744010951403148,136.61859771674355
17.746748802190282,134.88202746630193
17.749486652977414,133.16042502055575
17.752224503764545,131.45455844727974
17.754962354551676,129.7651200635289
17.75770020533881,128.09272996427185
17.760438056125942,126.43793955973598
17.763175906913073,124.80123509462713
17.765913757700204,123.1830411354923
17.76865160848734,121.5837240041283
17.77138945927447,120.0035951456859
17.7741273100616,118.4429144165601
17.776865160848732,116.90189328558792
17.779603011635867,115.38069793610335
17.782340862423,113.87945226497841
17.78507871321013,112.39824077122525
17.78781656399726,110.93711133316269
17.790554414784395,109.496077868775
17.793292265571527,108.07512288037069
17.796030116358658,106.67419987930154
17.79876796714579,105.29323569673703
17.801505817932924,103.93213267566604
17.804243668720055,102.59077075034834
17.806981519507186,101.26900941117442
18.822724161533195,-100.78403406087459
18.82546201232033,-102.06287813334816
18.82819986310746,-103.36245407013789
18.830937713894592,-104.6829891452035
18.833675564681723,-106.02469402901401
18.836413415468858,-107.38776085334517
18.83915126625599,-108.77236114916971
18.84188911704312,-110.17864364817089
18.844626967830255,-111.60673194901743
18.847364818617386,-113.05672204090281
18.850102669404517,-114.52867968031022
18.85284052019165,-116.02263762298904
18.855578370978783,-117.53859270389117
18.858316221765914,-119.07650276805516
18.861054072553046,-120.6362834490414
18.863791923340177,-122.21780480040144
18.86652977412731,-123.82088777883506
18.869267624914443,-125.44530058654958
18.872005475701574,-127.09075487559453
18.874743326488705,-128.7569018269445
18.87748117727584,-130.44332811012265
18.88021902806297,-132.14955174047455
18.882956878850102,-133.87501784449654
18.885694729637233,-135.61909435979598
18.888432580424368,-137.38106768321106
18.8911704312115,-139.16013829922625
18.89390828199863,-140.955416412406
18.89664613278576,-142.76591762248924
18.899383983572896,-144.5905586742094
18.902121834360027,-146.42815332697947
18.90485968514716,-148.27740838641373
18.90759753593429,-150.13691995227873
18.910335386721425,-152.00516993328705
18.913073237508556,-153.88052288990522
18.915811088295687,-155.76122326443564
18.91854893908282,-157.6453930698288
18.921286789869953,-159.5310301028332
18.924024640657084,-161.41600675266793
18.926762491444215,-163.29806948500303
18.92950034223135,-165.17483907110847
18.93223819301848,-167.04381164147622
18.934976043805612,-168.9023606347912
18.937713894592743,-170.74773972089156
18.940451745379878,-172.57708675952426
18.94318959616701,-174.38742886417506
18.94592744695414,-176.1756886212214
18.94866529774127,-177.9386915203174
18.951403148528406,-179.67317462458487
18.954140999315538,-181.37579651164114
18.95687885010267,-183.04314848891477
18.9596167008898,-184.67176708607835
18.962354551676935,-186.25814779107546
18.965092402464066,-187.79875999448288
18.967830253251197,-189.29006307066146
18.97056810403833,-190.72852352020737
18.973305954825463,-192.11063305761465
18.976043805612594,-193.43292752206784
18.978781656399725,-194.69200645548057
18.981519507186857,-195.88455318454638
18.98425735797399,-197.007355209966
18.986995208761122,-198.05732470340726
18.989733059548254,-199.03151888474667
18.99247091033539,-199.9271600588189
18.99520876112252,-200.74165506606937
18.99794661190965,-201.4726139072494
19.000684462696782,-202.11786731021422
19.003422313483917,-202.67548299742867
19.006160164271048,-203.14378044019918
19.00889801505818,-203.52134388583423
19.01163586584531,-203.80703348302816
19.014373716632445,-203.9999943339615
19.017111567419576,-204.09966334765738
19.019849418206707,-204.1057737866753
19.02258726899384,-204.0183574472621
19.025325119780973,-203.83774443173795
19.028062970568104,-203.56456052375557
19.030800821355236,-203.19972219797566
19.033538672142367,-202.74442934871408
19.0362765229295,-202.2001558352672
19.039014373716633,-201.5686379898409
19.041752224503764,-200.8518612466731
19.044490075290895,-200.05204509131383
19.04722792607803,-199.17162652944555
19.04996577686516,-198.21324230691795
19.052703627652292,-197.17971010710886
19.055441478439427,-196.07400897477828
19.058179329226558,-194.8992591989836
19.06091718001369,-193.6587018917555
19.06365503080082,-192.35567849872885
19.066392881587955,-190.99361045015132
19.069130732375086,-189.57597916242068
19.071868583162217,-188.10630656903788
19.07460643394935,-186.58813635683148
19.077344284736483,-185.02501604436148
19.080082135523615,-183.4204800343334
19.082819986310746,-181.77803373598763
19.085557837097877,-180.10113884664017
19.08829568788501,-178.39319984418867
19.091033538672143,-176.6575517363314
19.093771389459274,-174.897449080376
19.096509240246405,-173.11605628530253
19.09924709103354,-171.31643917440633
19.10198494182067,-169.50155778847676
19.104722792607802,-167.67426038324575
19.107460643394933,-165.83727858108534
19.110198494182068,-163.99322360930066
19.1129363449692,-162.14458356804974
19.11567419575633,-160.29372165169963
19.11841204654346,-158.44287525810273
19.121149897330596,-156.5941559035859
19.123887748117728,-154.74954987369946
19.12662559890486,-152.91091952825025
19.129363449691994,-151.08000519449882
19.132101300479125,-149.25842757012435
19.134839151266256,-147.44769056785225
19.137577002053387,-145.64918454122247
19.140314852840522,-143.86418982262688
19.143052703627653,-142.09388052172608
19.145790554414784,-140.3393285250331
19.148528405201915,-138.60150765418882
19.15126625598905,-136.881297931589
19.15400410677618,-135.17948991769796
19.156741957563312,-133.49678907874113
19.159479808350444,-131.83382015901927
19.16221765913758,-130.1911315226199
19.16495550992471,-128.56919944512694
19.16769336071184,-126.96843232886096
19.170431211498972,-125.38917482975093
19.173169062286107,-123.83171187439973
19.175906913073238,-122.29627255975592
19.17864476386037,-120.78303392057828
19.1813826146475,-119.29212456284583
19.184120465434635,-117.82362815143988
19.186858316221766,-116.3775867525045
19.189596167008897,-114.95400402387652
19.19233401779603,-113.55284825767475
19.195071868583163,-112.1740552702159
19.197809719370294,-110.81753114394384
19.200547570157426,-109.48315482007905
19.20328542094456,-108.17078054929617
19.20602327173169,-106.8802401999615
19.208761122518823,-105.61134542805675
19.211498973305954,-104.36388971672136
19.21423682409309,-103.13765028551586
19.21697467488022,-101.9323898778066
19.21971252566735,-100.74785842768988
22.986995208761122,100.38255380057298
22.989733059548254,100.88748689492016
22.99247091033539,101.32386717199523
22.99520876112252,101.69044942280958
22.99794661190965,101.98618336434376
23.000684462696782,102.21022099834944
23.003422313483917,102.36192260788232
23.006160164271048,102.44086131724333
23.00889801505818,102.44682615154362
23.01163586584531,102.37982356034853
23.014373716632445,102.24007738025645
23.017111567419576,102.02802724058763
23.019849418206707,101.74432542989321
23.02258726899384,101.38983226879624
23.025325119780973,100.96561004621935
23.028062970568104,100.47291560032659
24.39425051334702,-100.83803459062185
24.396988364134156,-102.01470471543178
24.399726214921287,-103.15460216351181
24.40246406570842,-104.25517150078063
24.40520191649555,-105.3138810495769
24.407939767282684,-106.32823484922407
24.410677618069816,-107.29578494767479
24.413415468856947,-108.21414392554377
24.416153319644078,-109.08099755348834
24.418891170431213,-109.89411746636898
24.421629021218344,-110.65137374050443
24.424366872005475,-111.35074724706695
24.427104722792606,-111.99034166175888
24.42984257357974,-112.56839499811284
24.432580424366872,-113.08329054340882
24.435318275154003,-113.53356706928123
24.438056125941138,-113.91792820509774
24.44079397672827,-114.235250858784
24.4435318275154,-114.48459258403955
24.44626967830253,-114.66519780784876
24.449007529089666,-114.77650283570927
24.451745379876797,-114.81813957640739
24.45448323066393,-114.789937934612
24.45722108145106,-114.69192684682841
24.459958932238195,-114.52433394211978
24.462696783025326,-114.28758383626449
24.465434633812457,-113.9822950775155
24.468172484599588,-113.60927578813721
24.470910335386723,-113.16951805172828
24.473648186173854,-112.66419112116891
24.476386036960985,-112.09463352674483
24.479123887748116,-111.46234418647163
24.48186173853525,-110.76897261934226
24.484599589322382,-110.01630838026155
24.487337440109513,-109.2062698336847
24.490075290896645,-108.3408923952586
24.49281314168378,-107.42231636343185
24.49555099247091,-106.45277447092381
24.49828884325804,-105.43457927659833
24.501026694045173,-104.37011052282087
24.503764544832308,-103.26180256794518
24.50650239561944,-102.11213200565342
24.50924024640657,-100.92360556637936
25.634496919917865,102.67449026349682
25.637234770704996,105.37220283373937
25.639972621492127,108.17503169388299
25.642710472279262,111.08733507416922
25.645448323066393,114.11359182835277
25.648186173853524,117.25839089400469
25.650924024640656,120.5264175763631
25.65366187542779,123.92243611736072
25.65639972621492,127.45126795281668
