date,theta_unwrapped,theta_smooth,omega_raw,omega_smooth,omega_filtered
1994-03-23,145.20662451280648,145.20648566116205,-101.34012415275356,-101.34245862441094,-101.34245862441094
1994-03-24,144.93079190930843,144.93064708251606,-100.16582652217403,-100.16786739497184,-100.16786739497184
1994-03-25,144.65814633883173,144.6579963119769,-99.01186096805031,-99.01362874550978,-99.01362874550978
1994-03-26,144.3886325063347,144.3884779997205,-97.87795213448771,-97.87946633357569,-97.87946633357569
1994-03-27,144.12219588224298,144.12203756408582,-96.76381682687861,-96.76509598524353,-96.76509598524353
1994-03-28,143.8587827222041,143.85862121130043,-95.66916521205349,-95.6702269014022,-95.6702269014022
1994-03-29,143.59834008368298,143.59817595203177,-94.59370192867937,-94.59456277324352,-94.59456277324352
1994-03-30,143.3408158396376,143.340649615006,-93.53712711238768,-93.53780281144282,-93.53780281144282
1994-03-31,143.08615868950136,143.08599085792378,-92.49913734006623,-92.49964269384873,-92.49964269384873
1994-04-01,142.8343181676867,142.83414917588857,-91.47942649872857,-91.47977543703746,-91.47977543703746
1994-04-02,142.58524464980965,142.58507490755002,-90.47768658355199,-90.47789219630431,-90.47789219630431
1994-04-03,142.3388893568252,142.33871923915302,-89.49360842860187,-89.49368299792695,-89.49368299792695
1994-04-04,142.09520435725042,142.09503420667141,-88.52688237471375,-88.52683740803332,-88.52683740803332
1994-04-05,141.85414256764145,141.85397269619338,-87.57719887886196,-87.57704514258148,-87.57704514258148
1994-04-06,141.61565775147994,141.61548844271493,-86.64424906887507,-86.64399662232972,-86.64399662232972
1994-04-07,141.3797045166139,141.3795360274878,-85.72772524664106,-85.72738347592895,-85.72738347592895
1994-04-08,141.1462383113887,141.1460708740581,-84.82732134317848,-84.82689899480101,-84.82689899480101
1994-04-09,140.9152154195946,140.91504924312218,-83.94273332951707,-83.94223854345182,-83.94223854345182
1994-04-10,140.68659295434836,140.6864282263186,-83.07365958626906,-83.07309992836599,-83.07309992836599
1994-04-11,140.46032885101803,140.46016573906527,-82.21980123450703,-82.21918372808796,-82.21918372808796
1994-04-12,140.23638185929272,140.23622051254384,-81.38086243073485,-81.38019358725069,-81.38019358725069
1994-04-13,140.01471153449123,140.01455208492578,-80.55655062882943,-80.55583647751337,-80.55583647751337
1994-04-14,139.79527822819702,139.79512079192762,-79.74657681195094,-79.74582292839841,-79.74582292839841
1994-04-15,139.57804307829971,139.57788775677562,-78.95065569516373,-78.94986722873,-78.94986722873
1994-04-16,139.36296799851797,139.36281487965545,-78.16850590230752,-78.16768760246123,-78.16768760246123
1994-04-17,139.1500156674727,139.14986482671438,-77.39985011903264,-77.3990063604615,-77.3990063604615
1994-04-18,138.93914951737324,138.93900101868084,-76.64441522338893,-76.64355002992306,-76.64355002992306
1994-04-19,138.7303337223753,138.7301876191582,-75.90193239570362,-75.90104946316205,-75.90104946316205
1994-04-20,138.52353318666454,138.52338952264722,-75.17213720998552,-75.17123992778579,-75.17123992778579
1994-04-21,138.31871353231392,138.31857234234636,-74.45476970831805,-74.45386117996168,-74.45386117996168
1994-04-22,138.1158410869611,138.11570239777393,-73.749574459227,-73.74865752174446,-73.74865752174446
1994-04-23,137.9148828713461,137.91474670225455,-73.05630060153999,-73.0553778437934,-73.0553778437934
1994-04-24,137.71580658674745,137.71567295030633,-72.37470187529834,-72.37377565529823,-72.37377565529823
1994-04-25,137.51858060235074,137.5184495049635,-71.70453664086381,-71.70360910203453,-71.70360910203453
1994-04-26,137.32317394258106,137.32304538506577,-71.04556788692571,-71.044640973465,-71.044640973465
1994-04-27,137.12955627442767,137.12943025254197,-70.39756322858375,-70.39663869983633,-70.39663869983633
1994-04-28,136.93769789478608,136.9375743997143,-69.76029489652865,-69.75937434053776,-69.75937434053776
1994-04-29,136.74756971784174,136.74744873664594,-69.13353971847755,-69.13262456463417,-69.13262456463417
1994-04-30,136.55914326251505,136.55902477855258,-68.51707909311881,-68.51617062407604,-68.51617062407604
1994-05-01,136.37239063998743,136.37227463329702,-67.91069895736655,-67.90979832008452,-67.90979832008452
1994-05-02,136.18728454132494,136.18717098898347,-67.31418974795452,-67.31329796415594,-67.31329796415594
1994-05-03,136.00379822521435,136.00368710166592,-66.72734635804954,-66.72646433391492,-66.72646433391492
1994-05-04,135.82190550582558,135.82179678318505,-66.1499680891211,-66.14909662429272,-66.14909662429272
1994-05-05,135.64158074081112,135.641474389144,-65.58185859843434,-65.5809983945328,-65.5809983945328
1994-05-06,135.4627988194551,135.4626948070344,-65.02282584327259,-65.02197751176209,-65.02197751176209
1994-05-07,135.28553515097812,135.2854334445212,-64.47268202228224,-64.47184609174292,-64.47184609174292
1994-05-08,135.10976565300854,135.10966621789404,-63.93124351369988,-63.93042043668902,-63.93042043668902
1994-05-09,134.93546674022537,134.93536954069253,-63.39833081136021,-63.39752097075689,-63.39752097075689
1994-05-10,134.76261531317917,134.76252031251013,-62.873768458757695,-62.872972173641756,-62.872972173641756
1994-05-11,134.59118874729572,134.59109590798255,-62.35738498191495,-62.35660251300942,-62.35660251300942
1994-05-12,134.4211648820666,134.42107416596377,-61.84901282012652,-61.848244374923524,-61.848244374923524
1994-05-13,134.25252201042997,134.25243337889341,-61.348488256127894,-61.34773399356709,-61.34773399356709
1994-05-14,134.0852388683439,134.08515228235777,-60.85565134551871,-60.854911380345584,-60.854911380345584
1994-05-15,133.91929462455434,133.91921004484624,-60.37034584540015,-60.369620252204186,-60.369620252204186
1994-05-16,133.75466887055927,133.75458625770494,-59.89241914248487,-59.891707959435735,-59.891707959435735
1994-05-17,133.59134161076946,133.5912609252875,-59.42172218119231,-59.421025413492316,-59.421025413492316
1994-05-18,133.42929325286633,133.429214455304,-58.95810939180956,-58.95742701486233,-58.95742701486233
1994-05-19,133.268504598357,133.26842764936754,-58.501438618557586,-58.50077058095849,-58.50077058095849
1994-05-20,133.10895683332586,133.10888169373806,-58.05157104786849,-58.05091727409672,-58.05091727409672
1994-05-21,132.95063151938177,132.9505581502624,-57.60837113708112,-57.607731529991725,-57.607731529991725
1994-05-22,132.79351058479986,132.7934389475096,-57.17170654379515,-57.171080986947345,-57.171080986947345
1994-05-23,132.63757631585645,132.6375063720997,-56.74144805563628,-56.740836415421654,-56.740836415421654
1994-05-24,132.48281134835548,132.4827430602245,-56.317469520559825,-56.31687164815594,-56.31687164815594
1994-05-25,132.32919865934426,132.32913198935836,-55.89964777800196,-55.89906351114405,-55.89906351114405
1994-05-26,132.17672155901676,132.17665647015673,-55.487862590995064,-55.48729175566041,-55.48729175566041
1994-05-27,132.0253636828021,132.02530013854013,-55.081996578970575,-55.08143899091738,-55.08143899091738
1994-05-28,131.87510898363556,131.87504694796132,-54.68193515147141,-54.68139061754118,-54.68139061754118
1994-05-29,131.72594172440947,131.7258811618528,-54.28756644272653,-54.287034762182884,-54.287034762182884
1994-05-30,131.57784647060225,131.577787346252,-53.89878124754614,-53.89826221325711,-53.89826221325711
1994-05-31,131.43080808308127,131.4307503626015,-53.515472958151804,-53.51496635756121,-53.51496635756121
1994-06-01,131.2848117110777,131.2847553607211,-53.137537501716,-53.13704311788024,-53.13704311788024
1994-06-02,131.1398427853307,131.13978777194927,-52.76487327925133,-52.76439089173073,-52.76439089173073
1994-06-03,130.99588701139675,130.99583330245025,-52.39738110581675,-52.39691049146131,-52.39691049146131
1994-06-04,130.85293036312217,130.85287792668453,-52.03496415155314,-52.034505085212004,-52.034505085212004
