theta1,theta2,omega1,omega2,state
78.83328492653534,-3.345606478304756,-15.343204457306058,-11.234449181261892,1
78.79167039393793,-3.376323507343439,-15.19970803120313,-11.219394856379147,1
78.75045055049729,-3.4069954188756215,-15.055547816694897,-11.202915687129574,1
78.70962699635074,-3.4376184222959654,-14.910803152029388,-11.185051999280502,1
78.66920111716269,-3.4681888395974516,-14.765552373435227,-11.165844919367986,1
78.6291740872893,-3.4987031072250043,-14.619872661254046,-11.14533625096354,1
78.58954687333598,-3.529157777598085,-14.473839896451697,-11.1235683537679,1
78.55032023808002,-3.5595495203097367,-14.327528527238316,-11.100584025430647,1
78.51149474472727,-3.5898751230134844,-14.18101144709048,-11.076426387543771,1
78.47307076147476,-3.6201314920074044,-14.03435988298089,-11.051138775029388,1
78.43504846634785,-3.650315652528993,-13.887643295102881,-11.024764630510175,1
78.39742785228377,-3.6804247487724453,-13.740929286906042,-10.997347402921072,0
78.36020873243166,-3.710456043642228,-13.594283525983357,-10.968930451187973,0
78.32339074564041,-3.7404069182570647,-13.44776967550352,-10.939556953069097,0
78.28697336210655,-3.7702748712187355,-13.301449335742175,-10.909269819250383,0
78.25095588915624,-3.8000575176597513,-13.155381995099077,-10.878111612580934,0
78.21533747713487,-3.829752588084964,-13.009624990808573,-10.846124472809027,0
78.18011712538019,-3.8593579270217804,-12.864233478394606,-10.813350046672138,0
78.14529368825474,-3.8888714914932216,-12.719260410071765,-10.779829423193837,0
78.11086588121307,-3.918291349330714,-12.574756521968794,-10.74560307514425,0
78.07683228688485,-3.9476156773392295,-12.430770328382724,-10.710710805110152,0
78.0431913611539,-3.9768427593288718,-12.28734812322956,-10.67519169671698,0
78.00994143921409,-4.005970984027472,-12.144533988516608,-10.639084071163804,0
77.9770807415846,-4.034998842887178,-12.00236980917034,-10.602425448507264,0
77.94460738006957,-4.063924927797932,-11.860895293365136,-10.565252513653105,0
77.91251936364641,-4.092747928720893,-11.720147998558955,-10.527601087111533,0
77.88081460427105,-4.121466631252369,-11.580163361849852,-10.489506099621783,0
77.84949092258607,-4.150079914131519,-11.44097473543918,-10.451001571609249,0
77.81854605352221,-4.1785867467014475,-11.302613425574394,-10.412120596166373,0
77.78797765178382,-4.206986186333884,-11.16510873494799,-10.372895325747566,0
77.75778329720893,-4.2352773758280575,-11.02848800847812,-10.333356962747008,0
77.72796049999938,-4.263459540790652,-10.892776680786916,-10.293535752587475,0
77.69850670581216,-4.291531987006883,-10.757998326881971,-10.25346098047848,0
77.6694193007069,-4.3194940978107255,-10.624174714695728,-10.213160971103468,0
77.64069561594637,-4.347345331460575,-10.491325858785354,-10.172663090607337,0
77.61233293264564,-4.375085218527505,-10.359470075590865,-10.131993751196177,0
77.58432848626761,-4.4027133593025916,-10.228624039577127,-10.091178418100535,0
77.55667947096396,-4.430229421227758,-10.098802839658584,-10.050241618166833,0
77.52938304375911,-4.457633136356122,-9.970020036569936,-10.009206950635127,0
77.50243632857718,-4.484924298846655,-9.842287720202094,-9.968097099667293,0
77.47583642011291,-4.512102762495971,-9.715616566572168,-9.926933847912618,0
77.44958038754709,-4.539168438311705,-9.590015894667546,-9.885738091696702,0
77.42366527810718,-4.566121292130054,-9.465493722926245,-9.844529857152091,0
77.39808812047369,-4.592961342281976,-9.342056825633147,-9.803328317989521,0
77.37284592803604,-4.6196886573087355,-9.219710787849545,-9.762151813523635,0
77.34793570200013,-4.646303353729077,-9.09846005961761,-9.721017867529783,0
77.3233544343499,-4.672805593860073,-8.978308009248057,-9.679943207846652,0
77.29909911066613,-4.699195583692836,-8.85925697549339,-9.638943786416199,0
77.27516671280561,-4.725473570824195,-8.74130831855501,-9.598034799729067,0
77.25155422144395,-4.751639842445091,-8.62446246984666,-9.55723070953251,0
77.22825861848443,-4.777694723387256,-8.508718980965327,-9.516545264125806,0
77.2052768893385,-4.803638574227341,-8.394076570549071,-9.475991519340573,0
77.18260602508127,-4.8294717894485535,-8.28053316995562,-9.435581859548106,0
77.16024302448413,-4.855194795661334,-8.168085968105007,-9.395328019218256,0
77.13818489593113,-4.880808049880727,-8.056731453982591,-9.35524110363302,0
77.11642865922076,-4.906312037862032,-7.946465458464147,-9.315331610171862,0
77.0949713472592,-4.9317072724922815,-7.837283193958093,-9.275609448698583,0
77.07381000764738,-4.956994292238579,-7.729179293217922,-9.236083962334916,0
77.05294170416641,-4.982173659651559,-7.622147846423176,-9.196763947590933,0
77.03236351816533,-5.00724595992388,-7.516182436897753,-9.157657674465517,0
77.0120725498552,-5.032211799501918,-7.411276175271828,-9.11877290587853,0
76.99206591951334,-5.057071804750391,-7.307421732367081,-9.08011691700454,0
76.97234076860137,-5.081826620668295,-7.204611370595923,-9.04169651401441,0
76.95289426080042,-5.106476909655933,-7.102836974297086,-9.003518052734766,0
76.93372358296874,-5.131023350330306,-7.002090078021419,-8.965587456314628,0
76.91482594602363,-5.155466636388854,-6.90236189420246,-8.92791023288483,0
76.89619858575122,-5.179807475520403,-6.803643339495755,-8.890491492798278,0
76.87783876354797,-5.20404658836171,-6.705925059737419,-8.853335965287325,0
76.8597437670971,-5.228184707498299,-6.609197453680301,-8.816448014639008,0
76.84191091098316,-5.25222257650836,-6.513450695617001,-8.779831655924927,0
76.82433753724787,-5.276160949048604,-6.418674756814223,-8.74349057032431,0
76.80702101589094,-5.30000058797974,-6.324859425619218,-8.707428119597237,0
76.7899587453168,-5.323742264532074,-6.231994327206051,-8.671647360739918,0
76.7731481527317,-5.3473867575088905,-6.140068941708694,-8.636151059782405,0
76.75658669449363,-5.370934852526261,-6.049072621450672,-8.600941705094428,0
76.74027185641751,-5.3943873412881755,-5.958994607305497,-8.566021520289304,0
76.72420115403732,-5.417745020896233,-5.869824044364646,-8.531392476843171,0
76.70837213282847,-5.441008693192403,-5.781549996530309,-8.497056306175807,0
76.6927823683926,-5.464179164133604,-5.694161460202727,-8.46301451127379,0
76.67742946660687,-5.487257243196555,-5.6076473772388065,-8.429268377742877,0
76.66231106373951,-5.510243742812838,-5.5219966473026965,-8.395818984847455,0
76.64742482653455,-5.533139477831732,-5.437198139112243,-8.362667215650745,0
76.63276845226702,-5.555945265010613,-5.353240701215833,-8.329813767086444,0
76.61833966877087,-5.578661922531075,-5.270113171966361,-8.29725915934886,0
76.60413623444072,-5.601290269540819,-5.187804389089342,-8.265003745308652,0
76.5901559382091,-5.623831125719699,-5.106303198600161,-8.233047719336028,0
76.57639659950128,-5.646285310869093,-5.0255984630291595,-8.201391125816345,0
76.56285606816972,-5.668653644523211,-4.945679068851165,-8.170033867166307,0
76.54953222440867,-5.690936945581535,-4.866533933726209,-8.138975711552897,0
76.5364229786502,-5.713136031962324,-4.788152013281733,-8.10821630058338,0
76.52352627144349,-5.735251720275537,-4.710522307249787,-8.077755156401139,0
76.51084007331845,-5.757284825514345,-4.633633865170207,-8.047591688474505,0
