date,drift_mas_per_year,direction_deg,parallel_mas_per_year
2018-12-13,7.203626878881106,82.81827588526988,-6.670494083904017
2018-12-14,7.208610772257528,82.56252459578027,-6.662894351639387
2018-12-15,7.212982909625071,82.30602750010996,-6.65454426287607
2018-12-16,7.216670970207808,82.04768889745193,-6.645325333502936
2018-12-17,7.219670997272763,81.78690943532462,-6.635204769768952
2018-12-18,7.221921525981918,81.5237765863186,-6.624130352923278
2018-12-19,7.223454903020159,81.258417290583,-6.612138512526898
2018-12-20,7.224334533615672,80.99126533741801,-6.599309965717184
2018-12-21,7.224601887045165,80.72252119400787,-6.585693928417055
2018-12-22,7.22434779639866,80.45300184843227,-6.571417046057827
2018-12-23,7.223673117891354,80.18337341853157,-6.556608225619511
2018-12-24,7.22261223504486,79.91415121897248,-6.541328808571734
2018-12-25,7.221121494118217,79.64596493518367,-6.525576650985772
2018-12-26,7.21919011673828,79.37900230838895,-6.509356863551725
2018-12-27,7.216809152890947,79.1132304702475,-6.492664557324946
2018-12-28,7.213947248327199,78.84819724547982,-6.4754514804375285
2018-12-29,7.2106389031465,78.58301500754656,-6.457703350266599
2018-12-30,7.206924772565251,78.31755044699112,-6.439451993123356
2018-12-31,7.2028097658733214,78.05167533360996,-6.4206971181906844
2019-01-01,7.198378273967319,77.78589371200205,-6.401545212562861
2019-01-02,7.193668071552205,77.52056130349816,-6.382053120131278
2019-01-03,7.188638406278157,77.2555133190719,-6.362178170213821
2019-01-04,7.183298735143707,76.99038360517923,-6.3419102292574365
2019-01-05,7.177704821983249,76.72558261931759,-6.321325298426954
2019-01-06,7.1718574113733995,76.46176155082881,-6.300465744977733
2019-01-07,7.165681657864235,76.19944751696693,-6.279301416240172
2019-01-08,7.159089531396446,75.93839814107663,-6.257745527021053
2019-01-09,7.152131457579475,75.67784614509235,-6.235800259009783
2019-01-10,7.144823877427467,75.41809861752809,-6.213502606158965
2019-01-11,7.137134117275617,75.15861663733787,-6.1907949168376115
2019-01-12,7.129062786252416,74.89873385385164,-6.167639786839239
2019-01-13,7.12059931074948,74.6386395701726,-6.1440428384618535
2019-01-14,7.111810319547498,74.37846440181707,-6.120072881431888
2019-01-15,7.1027169495391185,74.11845122539476,-6.0957664672593435
2019-01-16,7.0933544743356425,73.85936709410586,-6.071206033091956
2019-01-17,7.083713658059507,73.60172551713327,-6.046420586210409
2019-01-18,7.073787898402322,73.34545181840718,-6.021404131346914
2019-01-19,7.063513122452878,73.09051259631048,-5.99610450088337
2019-01-20,7.0528062081845935,72.83646772703135,-5.970427279209523
2019-01-21,7.041757451085427,72.58318520733822,-5.944444881408852
2019-01-22,7.030365875371344,72.33051760117034,-5.918150830945404
2019-01-23,7.018530740920216,72.07772387680724,-5.891415199220682
2019-01-24,7.006224928841651,71.8242118373982,-5.864179620013852
2019-01-25,6.9934302333540295,71.5695028659334,-5.836400333717539
2019-01-26,6.980132816495689,71.31308403702486,-5.808034529097882
2019-01-27,6.966395882843552,71.0553656009099,-5.7791655608209975
