s,x,y,theta,curvature
32255.240120506034,-12.588780575582462,297.11035611188834,2.780862469244603,0.0859693908064301
32397.739661936823,-12.85938071222655,297.20856094107927,2.8062838879174596,0.09073079566033346
32537.914559410874,-13.128040700750216,297.29825419505386,2.8327096448140305,0.0959570957276325
32675.743878129644,-13.394542149604042,297.37931040241665,2.860223507825828,0.10168669010590693
32811.214346086774,-13.65866666723862,297.4516040917723,2.888913803653462,0.10795869420504228
32944.32124733285,-13.92019586210453,297.5150097917252,2.9188731510362387,0.11481177117123449
33075.06940141125,-14.17891134265237,297.5694020308802,2.9501979681903374,0.12228247109062207
33203.47423253501,-14.434594717332716,297.61465533784155,2.982987686884732,0.13040295111936115
33329.5629298068,-14.687027594596163,297.650644241214,3.017343593571158,0.13919794052364134
33453.37569643542,-14.935991582893292,297.67724326960206,3.0533672071294222,0.14868081952119888
33574.96708119675,-15.18126829067469,297.69432695161026,3.091158095384684,0.15884871038444323
33694.40737904826,-15.422639326390952,297.70176981584325,3.1308110320280287,0.16967654760926248
33811.78407959929,-15.659886298492655,297.6994463909055,-3.1107729005099864,0.18111021782703834
33927.20333194912,-15.892790815430388,297.68723120540164,-3.0671494776899535,0.19305905596907522
34040.79138233472,-16.12113448565474,297.6649987879361,-3.0214483820579803,0.20538826185686418
34152.69592754377,-16.3446989176163,297.63262366711365,-2.973637912830616,0.21791215381503154
34263.08731311235,-16.563265719765653,297.5899803715388,-2.923716766600577,0.2303895649583636
34372.1594925424,-16.77661650055338,297.53694342981595,-2.871720698670168,0.24252302994288305
34480.1306544145,-16.984532868430072,297.47338737054974,-2.817728854656533,0.25396356972311496
34587.243421158426,-17.18679643184632,297.39918672234484,-2.761869090957203,0.26432268594947583
34693.76452936471,-17.38318879925271,297.3142160138057,-2.704321485188726,0.27319246182292295
34799.983919364,-17.573491579099827,297.218349773537,-2.6453192162985095,0.28017336365601003
34906.21319247236,-17.757486379838255,297.1114625301431,-2.5851461157024143,0.28490757194597033
35012.78343663411,-17.934954809918576,296.9934288122288,-2.5241304811940037,0.28711382212193254
35120.04247123004,-18.105678477791393,296.86412314839845,-2.4626351892823934,0.2866183921813647
35228.351613000224,-18.269438991907283,296.7234200672567,-2.4010446722154417,0.2833766458833532
35338.08210932458,-18.426017960716827,296.57119409740807,-2.339749832726336,0.2774807695016435
35449.58914574394,-18.57527575546424,296.4074063863342,-2.280738052373244,0.25458753801008005
35563.1634998457,-18.7174161845931,296.2323957743723,-2.22598385988786,0.23119697718952117
35679.035698079024,-18.8527366402916,296.0466040199829,-2.1754719162875893,0.2085262004645631
35797.38088220286,-18.981534516789193,295.85047288387096,-2.1290907711456195,0.18708738149709633
35918.32414428092,-19.104107208315305,295.6444441267414,-2.0866638027995092,0.1671810653738785
36041.94594662362,-19.2207521090994,295.42895950929943,-2.0479741346423674,0.14894411064534893
36168.287357083645,-19.33176661337091,295.20446079224996,-2.0127842433132646,0.13239616372057325
36297.35493457039,-19.437448115359285,294.97138973629814,-1.980850493513455,0.11747910076735592
36429.12517916551,-19.538094009293967,294.73018810214904,-1.9519333184077066,0.10408767894472577
36563.54851702174,-19.634001689404393,294.4812976505076,-1.9258039234880513,0.09209180533375902
36700.552826471314,-19.72546854992002,294.22516014207883,-1.9022483620204553,0.08135179507164518
36840.04653330707,-19.812791985070284,293.962217337568,-1.8810697115782562,0.07172822542656303
36981.92131441872,-19.896269389084633,293.69291099768003,-1.8620889356739079,0.06308786121333496
37126.05445337625,-19.97619815619251,293.41768288311994,-1.8451448752111916,0.05530685549946434
37272.310891741814,-20.052875680623355,293.1369747545928,-1.830093695751193,0.04827213944352646
37420.54501766449,-20.12659935660662,292.8512283728037,-1.8168080221297198,0.04188166056175944
37570.60222986496,-20.19766657837174,292.5608854984576,-1.8051759202324873,0.03604392655915564
37722.320311209354,-20.26637474014817,292.2663878922596,-1.7950998330952888,0.030677160870438338
37875.53064215927,-20.333021236165344,291.9681773149148,-1.7864955409137906,0.025708267975431475
38030.05928072682,-20.397903460652707,291.6666955271282,-1.7792911883536586,0.021071731638364437
38185.7279322893,-20.46131880783971,291.36238428960473,-1.7734264047190254,0.016708518657846932
38342.35482978168,-20.523564671955796,291.0556853630497,-1.7688515307039885,0.012565027405506746
38499.755542394254,-20.584938447230403,290.7470405081679,-1.7655269578410855,0.00859209902541465
38657.74372894227,-20.645737527892983,290.43689148566466,-1.7634225820681153,0.00474409580036404
38816.131850517784,-20.70625930817297,290.1256800562448,-1.762517370117587,0.0009780431646974404
38974.73185585228,-20.766801182299822,289.8138479806134,-1.762799036015427,-0.00274717267754958
39133.355851984474,-20.827660544502965,289.50183701947554,-1.7642638243709503,-0.006471561791952713
39291.81677231889,-20.88913478901186,289.19008893353623,-1.7669163969914463,-0.010234753148978242
39449.92905395864,-20.95152131005594,288.87904548350065,-1.7707698193873536,-0.014076693346178648
39607.509336289644,-21.01511750186466,288.56914843007365,-1.7758456437179269,-0.018038330505245996
39764.377193175525,-21.080220758667455,288.26083953396045,-1.7821740844460656,-0.022162290027508684
39920.355911790444,-21.14712847469377,287.95456055586607,-1.789794282193236,-0.026493545236808972
40075.27333206925,-21.216138044173046,287.6507532564954,-1.7987546497374416,-0.031080080567141923
40228.96276198913,-21.287546861334746,287.34985939655377,-1.8091132914336563,-0.03597353714252337
