date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-02-01,-823.0908750000009,-156.87487499999904,364.56108755846674,-754.442528197291,297.41982365084937,-783.3452389681257,-594.6499441693463,-590.3217417764027,837.907103988582,190.79072358427183
1973-02-02,-818.8904999999991,-144.6390000000003,351.6550028421502,-753.5521549881838,284.6404516216943,-781.3334144984755,-598.0098899432783,-577.8289217764,831.5660474738303,190.01672680348727
1973-02-03,-813.7770000000006,-132.2205000000007,338.3361817812485,-751.8270375870617,271.52266658441306,-778.4540499478057,-600.7149433877705,-564.6740857697287,824.4484619121145,189.22863350730273
1973-02-04,-807.9329999999999,-119.43674999999934,324.47548899984497,-749.4908450260574,257.9183305215562,-774.9187083304514,-603.0186300935031,-550.8079533736935,816.7134563233069,188.40913215269734
1973-02-05,-801.1758750000001,-106.28774999999884,310.0256576698313,-746.3671751011473,243.79573093468056,-770.5475391305216,-604.7695470737896,-536.1284019843023,808.195439533086,187.55699887732194
1973-02-06,-794.0535000000011,-93.50400000000008,295.8340970916478,-742.7961671119617,229.96940738270163,-765.7532439019118,-606.0134128727071,-521.5474113602959,799.5398419580176,186.7159532507028
1973-02-07,-786.3832499999995,-80.72025000000133,281.50073602912806,-738.6959525106954,216.04794633538302,-760.4193971256177,-606.8030697115589,-506.66005292429907,790.5152589549581,185.86074034711345
1973-02-08,-778.3477499999988,-67.93649999999998,267.0728413103824,-734.2429335013786,202.0630602911691,-754.7258493175372,-607.2899205770372,-491.5684492803078,781.3069742183993,184.9883037014855
1973-02-09,-770.4948750000002,-55.51800000000037,253.0450178278029,-729.8717830398657,188.46958777719144,-749.1487270284597,-607.7239292212115,-476.8817742136913,772.4924599795561,184.12132409962334
1973-02-10,-763.0072500000008,-43.46474999999992,239.46453240949813,-725.7589033301807,175.29924129189334,-743.8678807742762,-608.2564986307684,-462.70215032844203,764.2442332429641,183.2603336673812
1973-02-11,-755.8848750000005,-31.959374999999483,226.507787259495,-721.8570275442113,162.73187135116956,-738.8515980565403,-608.7855062017115,-449.1809806112486,756.5602063974533,182.4210661989181
1973-02-12,-749.3103750000002,-21.001874999999067,214.22204920590553,-718.3425578859845,150.79919045346657,-734.2797293911467,-609.4623549207291,-436.4203876661078,749.6046403512698,181.605481366949
1973-02-13,-743.6489999999992,-10.592249999998671,202.70185190495326,-715.5682987635518,139.5646235956772,-730.5119758098824,-610.5898507611964,-424.62461670101186,743.7244321393921,180.81604383707608
1973-02-14,-738.7181249999996,-0.365250000001744,191.54712412047814,-713.4523816291118,128.636757247571,-727.431911793748,-612.2208359444179,-413.388739138593,738.7182152966567,180.028329184101
1973-02-15,-733.7872500000001,9.679124999999502,180.56879854002491,-711.289197666561,117.88874141535445,-724.3201352791679,-613.7496985236457,-402.3042645628583,733.8510841603548,179.24427570622288
1973-02-16,-729.2216249999998,19.90612500000162,169.50860441176826,-709.5260849401737,107.02430006413587,-721.5997722948212,-615.6834896802454,-391.27263220842735,729.4932708258219,178.4363412450557
1973-02-17,-725.3865000000002,30.49837500000029,158.28467318791047,-708.5631146861141,95.92700767491881,-719.6622363709429,-618.4271379915878,-380.3466842966092,726.0273584789288,177.59245643073734
1973-02-18,-722.4644999999999,40.90799999999809,147.47347830863862,-708.434888624072,85.16812829382846,-718.5922405280868,-621.8256786323722,-370.08275239146116,723.6217369760597,176.75921011980552
1973-02-19,-721.1861249999996,51.317624999998486,137.08768488237087,-709.8942823982647,74.69466139875334,-719.1408993282756,-626.5868461533488,-360.737923922278,723.0096303149464,175.92984989398315
1973-02-20,-721.3687500000005,61.362000000002325,127.432830489047,-712.6703601484443,64.83459552303415,-721.0649372587244,-632.3549923598385,-352.5128822584391,723.9738728162527,175.13793679722983
1973-02-21,-723.0123749999999,71.04112500000183,118.50891512867376,-716.7631218746059,55.587930666678034,-724.3643543194288,-639.1301172518348,-345.40762739994943,726.4941402684583,174.38829389971977
1973-02-22,-725.7517499999997,81.08549999999788,109.51579632892299,-722.0088304811469,46.171839769216234,-728.806299472389,-647.0179052719494,-338.6123021920652,730.2673900280031,173.62499723519522
1973-02-23,-728.4911250000001,91.49512499999828,100.1698731211161,-727.3490727439133,36.39604783996258,-733.3116696222434,-655.1099385000596,-331.51417101080204,734.2143264078488,172.84139775389474
1973-02-24,-731.2304999999999,101.90475000000127,90.82394991330654,-732.6893150066799,26.620255910706234,-737.8170397720976,-663.2019717281707,-324.4160398295363,738.2971097077468,172.06632122364294
1973-02-25,-733.969875,112.49699999999994,81.30162450147516,-738.0768240975574,16.664613465560336,-742.3541224203979,-671.396127560276,-317.1665056615865,742.5411452684058,171.2859788246957
1973-02-26,-736.891875,123.08924999999861,71.82656591775562,-743.640735392461,6.7406835188608625,-747.0710555845919,-679.7416863790693,-310.019094097633,747.1014649340328,170.51695515923325
1973-02-27,-739.8138750000002,133.13362499999985,62.8807139461118,-749.0628462030297,-2.6436948801595577,-751.6928512534472,-687.7808773858749,-303.32589149374104,751.6975001609068,169.79849225095893
1973-02-28,-742.7358750000001,142.81275000000196,54.28766638251912,-754.3904233573747,-11.668372247393165,-756.2512219254095,-695.615823184688,-296.93549486322394,756.3412335543917,169.1160405167351
1973-03-01,-746.0231249999998,151.94400000000144,46.31835908723076,-759.9290044354354,-20.090073070049783,-761.0741561338198,-703.4472071448863,-291.2035524007652,761.3392687696896,168.4879145583743
1973-03-02,-749.493,160.5273749999983,38.925525232135016,-765.5021872331865,-27.940509846575793,-765.9818033627845,-711.1236262797823,-286.0279415023689,766.4912231548318,167.91096363381848
1973-03-03,-752.78025,168.92812499999948,31.661826752949253,-770.8517009988005,-35.642808605658644,-770.6778875774096,-718.5465198239965,-280.90161098666033,771.5016631259313,167.35203465888662
1973-03-04,-755.154375,177.32887500000066,24.16179413320421,-775.3192037442843,-43.50366985697366,-774.4747192125652,-725.2123984347712,-275.26466745097,775.6955975061393,166.784969247503
1973-03-05,-756.6153750000001,186.094875000001,16.072622964848733,-778.9992291258616,-51.882794632307565,-777.4357232651446,-731.325507320099,-268.81430492192305,779.1650198691268,166.18198168497463
1973-03-06,-756.7980000000002,195.22612500000048,7.299779591659046,-781.53897273548,-60.843607928553354,-779.2011987033598,-736.583040506604,-261.3462781915267,781.573062922793,165.53514209082732
1973-03-07,-755.337,204.90524999999997,-2.4276718466154534,-782.6328969931992,-70.62938525849856,-779.4431569938689,-740.7843146249068,-252.50493906509942,782.6366622172529,164.822273117745
1973-03-08,-752.4149999999998,215.31487500000037,-13.238866725889807,-782.5046709311579,-81.38826463959145,-778.3731611510134,-744.1828552656928,-242.24100715994922,782.616654321428,164.03072932856105
1973-03-09,-748.2146250000002,225.90712499999904,-24.557331605971314,-781.188896269046,-92.54898202570138,-776.0759241953473,-746.6236976036594,-231.11081404013842,781.574791168226,163.19945181433002
1973-03-10,-742.0053749999997,236.86462499999945,-36.74853600333711,-778.0272310188712,-104.4182379265115,-771.8637565617412,-747.6033522960525,-218.55446630299022,778.8946187420225,162.29576004442538
1973-03-11,-732.8741249999997,248.3699999999999,-50.22521626257051,-772.1849309886156,-117.33444535014593,-764.8691181691732,-746.4669270134294,-203.90994794183715,773.8166061764991,161.27855328671762
1973-03-12,-721.3687500000005,260.0580000000012,-64.49276749128461,-764.0966691341345,-130.84276576947843,-755.5681355684326,-743.4643855078614,-187.78643274204347,766.813560678581,160.17544567204357
1973-03-13,-707.671875,271.7459999999999,-79.32752065733874,-753.8915808313388,-144.73163617016567,-744.1089467769639,-738.6450081620364,-170.43744629429497,758.0536730219145,158.99321056922815
1973-03-14,-692.1487499999992,283.2513749999978,-94.45853990048454,-741.8752036601704,-158.75778103942253,-730.8195403281096,-732.2094783453358,-152.2186367932715,747.8644486576097,157.74391289082428
1973-03-15,-676.2603749999998,294.93937500000163,-109.86049500388552,-729.5532889090647,-173.02720142147166,-717.2021453459167,-725.5732651592605,-133.6441790975633,737.7786454760885,156.43640198248806
1973-03-16,-661.1025000000002,306.4447500000021,-124.89698059080982,-717.8897161459503,-186.98992129383805,-704.2724399288518,-719.4405413159379,-115.629614804531,728.6733838344956,155.13058344717285
1973-03-17,-647.4056250000003,317.21962499999904,-138.84972273673182,-707.4482937025955,-199.9795391150542,-692.6546886451513,-714.1105509501309,-99.03764329022374,720.9454443761892,153.89579765247026
1973-03-18,-635.1697500000002,327.44662499999856,-151.8951236456835,-698.276288407114,-212.17590540101992,-682.3806039932626,-709.6854166658388,-83.71686156794857,714.6061177592537,152.72771029190437
1973-03-19,-624.2122499999998,337.12575000000066,-164.08045014577667,-690.1972980554796,-223.61073265018172,-673.2703354572917,-706.0137354763742,-69.56514703370902,709.4326637272386,151.62731986761457
1973-03-20,-614.3504999999994,346.80487500000015,-175.9821756771962,-683.1767209280008,-234.85528490866244,-665.2391700166836,-703.2504722070352,-56.02616812344979,705.4786730823371,150.55498791665508
1973-03-21,-604.8539999999996,356.4839999999997,-187.789367552392,-676.5089482085746,-246.03641217025023,-657.5677056078637,-700.7900149110724,-42.691434421183544,702.0891706699366,149.48609402047975
1973-03-22,-595.7227500000014,366.34575000000007,-199.67842797539052,-670.2412467253142,-257.3339649508396,-650.2876547292796,-698.7344861924835,-29.409542940222252,699.3531321232691,148.41014109721164
1973-03-23,-586.9567500000011,376.93799999999874,-212.1785635582684,-664.5154169625507,-269.28749479811023,-643.4941548762665,-697.3902538632531,-15.72628472050252,697.5675467039467,147.29181194059305
1973-03-24,-578.7386249999994,387.8954999999991,-224.88970306486482,-659.4133274680883,-281.5055881818312,-637.3036315678269,-696.7044757020786,-2.0465883393938498,696.7074816500389,146.16830742596795
1973-03-25,-571.6162499999991,399.21825000000126,-237.6700460108436,-655.4641848540075,-293.89310760666285,-632.2556363516449,-697.1313606690263,11.323178391113174,697.2233131480366,145.06945329778023
1973-03-26,-565.7722499999998,411.27150000000177,-250.82512997614177,-652.9389249805569,-306.7780416059432,-628.5934447405062,-699.0265569587742,24.5836988403953,699.4587089902546,143.98582485926215
1973-03-27,-561.206625,423.87262499999963,-264.17855275673264,-651.7902810196231,-319.98053966377756,-626.285344235963,-702.2879419673244,37.58357002176467,703.2928822107336,142.93668705829668
1973-03-28,-558.2846250000003,436.83899999999926,-277.45937849237066,-652.3237905511478,-333.2573262673836,-625.6593233713577,-707.1161990640592,49.967143740544145,708.8794216454519,141.95801147678003
1973-03-29,-556.8236249999999,449.80537500000406,-290.36206960311915,-654.2685177148815,-346.2804128834234,-626.4721066339032,-713.155680054299,61.53373662735754,715.8054377671594,141.0685199658019
1973-03-30,-556.4583749999995,462.9543749999994,-303.1575619492134,-657.3189249308809,-359.2930750246693,-628.3957054902568,-720.2057015686572,72.6389968768728,723.8595695570241,140.24069935307637
1973-03-31,-557.5541250000008,476.46862499999645,-315.9277240784662,-661.8750834353143,-372.41173821013285,-631.8215334706559,-728.6711921845133,83.23008226779353,733.4091306453062,139.48381718633402
