s,n,ds_dt,dn_dt
63250.33441026003,0.697323727040264,0.0,0.010062405486523263
63250.33441026003,0.7076014093390323,0.0,0.010491351010169403
63250.33441026003,0.7183064290606028,0.0,0.010917081699737041
63250.33441026003,0.7294355727385063,0.0,0.011339600343938439
63250.33441026003,0.7409856297484797,0.0,0.011758909837919607
63250.33441026003,0.7529533924143456,0.0,0.012175013182136152
63250.33441026003,0.765335656112752,0.0,0.01258791348122651
63250.33441026003,0.7781292193767986,0.0,0.012997613942888786
63250.33441026003,0.7913308839985296,0.0,0.013404117876760713
63250.33441026003,0.80493745513032,0.0,0.01380742869331092
63250.33441026003,0.8189457413851514,0.0,0.014207549902715833
63250.33441026003,0.8333525549357517,-255.84453117464727,0.014166818813258819
62738.64534791074,0.847279379011669,-255.84453117464727,0.014201891929790544
62738.64534791074,0.8617563387953328,0.0,0.014678235394348482
62738.64534791074,0.876635849800366,0.0,0.015079175262944944
62738.64534791074,0.8919146893212226,0.0,0.015476894314322975
62738.64534791074,0.907589638429012,0.0,0.015871396373262514
62738.64534791074,0.9236574820677477,0.0,0.01626268536024339
62738.64534791074,0.9401150091494987,0.0,0.016650765290356917
62738.64534791074,0.9569590126484615,0.0,0.017035640272222596
62738.64534791074,0.9741862896939439,0.0,0.017417314506902537
62738.64534791074,0.9917936416622666,0.0,0.017795792286822154
62738.64534791074,1.0097778742675882,0.0,0.018171077994697415
62738.64534791074,1.0281357976516614,0.0,0.01854317610246492
62738.64534791074,1.046864226472518,0.0,0.01891209117021586
62738.64534791074,1.0659599799920931,0.0,0.019277827845134765
62738.64534791074,1.0854198821627876,0.0,0.019640390860441448
62738.64534791074,1.105240761712976,0.0,0.019999785034341633
62738.64534791074,1.1254194522314709,0.0,0.020356015268981342
62738.64534791074,1.1459527922509387,0.0,0.020709086549399958
62738.64534791074,1.1668376253302708,0.0,0.021059003942495713
62738.64534791074,1.1880708001359301,0.0,0.02140577259599674
62738.64534791074,1.2096491705222643,0.0,0.021749397737429343
62738.64534791074,1.2315695956107888,0.0,0.022089884673100024
62738.64534791074,1.2538289398684643,0.0,0.02242723878707864
62738.64534791074,1.276424073184946,-248.2666404767515,0.02248420679093588
62242.112066957234,1.298797353450336,-248.2666404767515,0.02265016487719007
62242.112066957234,1.3217244029393262,0.0,0.023095067652982748
62242.112066957234,1.3449874887563016,0.0,0.023429528839085778
62242.112066957234,1.3685834606174978,0.0,0.02376084256767963
62242.112066957234,1.3925091738916608,0.0,0.024089014528280717
62242.112066957234,1.4167614896740592,0.0,0.024414050483921423
62242.112066957234,1.4413372748595037,0.0,0.024735956270165893
62242.112066957234,1.466233402214391,0.0,0.02505473779413714
62242.112066957234,1.491446750447778,0.0,0.025370401033548595
62242.112066957234,1.5169742042814882,0.0,0.025682952035738227
62242.112066957234,1.5428126545192544,0.0,0.025992396916713845
62242.112066957234,1.568958998114916,0.0,0.026298741860198982
62242.112066957234,1.5954101382396524,0.0,0.026601993116686984
62242.112066957234,1.6221629843482899,0.0,0.026902157002502425
62242.112066957234,1.6492144522446572,0.0,0.02719923989886608
62242.112066957234,1.676561464146022,0.0,0.027493248250969105
62242.112066957234,1.7042009487465954,0.0,0.02778418856704945
62242.112066957234,1.732129841280121,0.0,0.02807206741747237
62242.112066957234,1.7603450835815402,0.0,0.028356891433826248
62242.112066957234,1.7888436241477734,0.0,0.02863866730802278
62242.112066957234,1.8176224181975857,0.0,0.028917401791393904
62242.112066957234,1.8466784277305612,0.0,0.029193101693805956
62242.112066957234,1.8760086215851977,0.0,0.029465773882772828
62242.112066957234,1.905609975496107,0.0,0.029735425282575778
62242.112066957234,1.9354794721503492,0.0,0.03000206287339524
62242.112066957234,1.9656141012428974,0.0,0.03026569369044607
62242.112066957234,1.9960108595312414,0.0,0.030526324823119233
62242.112066957234,2.026666750889136,0.0,0.030783963414124482
62242.112066957234,2.0575787863594903,0.0,0.031038616658652707
62242.112066957234,2.0887439842064413,0.0,0.031290291803532266
62242.112066957234,2.120159369966555,0.0,0.03153899614639166
62242.112066957234,2.1518219764992246,0.0,0.03178473703484608
62242.112066957234,2.183728844036247,0.0,0.032027521865660935
62242.112066957234,2.2158770202305464,0.0,0.03226735808394521
62242.112066957234,2.2482635602041374,0.0,0.032504253182356946
62242.112066957234,2.2808855265952603,0.0,0.032738214700285706
62242.112066957234,2.313739989604709,0.0,0.03296925022306452
62242.112066957234,2.3468240270413894,0.0,0.03319736738119117
62242.112066957234,2.380134724367091,0.0,0.03342257384954128
62242.112066957234,2.413669174740472,0.0,0.03364487734659205
62242.112066957234,2.4474244790602753,0.0,0.033864285633659064
62242.112066957234,2.48139774600779,0.0,0.03408080651413603
62242.112066957234,2.5155860920885473,0.0,0.034294447832741826
62242.112066957234,2.5499866416732737,0.0,0.0345052174747722
