date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-02-07,-52.14280438942862,37.1007258629985,-22.340998444101594,-59.968455855359764,-27.482579511593972,-57.79311146273834,-63.974806593426635,1.6000095278585533,63.994811579967816,144.5673315606869
1973-02-08,-52.116138066090976,37.112032564889894,-22.358821631811292,-59.94562455474255,-27.49834499773027,-57.76881364894996,-63.95902183691715,1.6242948273202629,63.979643700331,144.5452366862496
1973-02-09,-52.089214316836625,37.123162421689756,-22.376540627009767,-59.9224988289063,-27.51398102699067,-57.744231611295106,-63.942924774130375,1.648577466302367,63.96417306846463,144.52312650868475
1973-02-10,-52.062033482588944,37.134115343721575,-22.3941552548387,-59.899078983947746,-27.52948745186032,-57.7193656699456,-63.92651563755811,1.6728571798177256,63.948399922930285,144.50100094235688
1973-02-11,-52.034595907569894,37.144891243623775,-22.411665341822108,-59.87536532974892,-27.54486412653135,-57.69421614872373,-63.90979466372135,1.6971337029538418,63.93232450618957,144.47885990145852
1973-02-12,-52.006901939281846,37.1554900363446,-22.429070715866047,-59.8513581799583,-27.560110906900974,-57.66878337508343,-63.89276209315225,1.721406770878751,63.91594706458616,144.4567033000073
1973-02-13,-51.97895192849199,37.165911639147254,-22.446371206267695,-59.82705785197714,-27.575227650579272,-57.64306768009585,-63.87541817038418,1.7456761188540142,63.89926784833597,144.43453105183738
1973-02-14,-51.95074622922975,37.17615597161507,-22.463566643720952,-59.80246466695823,-27.590214216894715,-57.61706939844772,-63.85776314395238,1.7699414822404478,63.882287111527866,144.41234307059722
1973-02-15,-51.922285198779036,37.186222955672335,-22.48065686033859,-59.77757894980385,-27.605070466916054,-57.59078886843728,-63.83979726639929,1.7942025965197423,63.865005112129445,144.39013926973348
1973-02-16,-51.893569197672974,37.19611251561021,-22.49764168967865,-59.75240102916736,-27.619796263478698,-57.564226431973665,-63.82152079428454,1.818459197318841,63.84742211199766,144.36791956247237
1973-02-17,-51.86459858968102,37.20582457804518,-22.51452096670764,-59.72693123743004,-27.634391471146103,-57.53738243455694,-63.80293398815115,1.8427110203827652,63.8295383768441,144.34568386184617
1973-02-18,-51.83537374180111,37.215359071919124,-22.531294527802615,-59.701169910693444,-27.64885595621115,-57.51025722527038,-63.78403711251899,1.866957801579023,63.81135417622852,144.3234320806921
