s,x,y,theta,curvature,tx,ty,nx,ny
22360.398859224064,25.566009900476864,235.4855057025621,0.7984211551588258,0.15869285004107536,0.6978384344677314,0.7162552054531144,-0.7162552054531144,0.6978384344677314
22845.864462051944,25.962436983769635,235.94707907769595,0.9228783908454359,0.1769479388430591,0.6035275977247213,0.7973421089742027,-0.7973421089742027,0.6035275977247213
23333.761239167798,26.30037688905603,236.4528468350439,1.0389526058059548,0.1786064244308384,0.5071232565672218,0.8618735421206891,-0.8618735421206891,0.5071232565672218
23828.05597467853,26.582741177422516,236.99808267798474,1.1449655165427663,0.16640919950008193,0.4130775396661094,0.9106958582221245,-0.9106958582221245,0.4130775396661094
24331.29906625893,26.812441409955568,237.5780603098972,1.2403883372962865,0.1509808392897519,0.3244289767497532,0.9459100586236335,-0.9459100586236335,0.3244289767497532
24844.782237106065,26.992389147741648,238.18805343416,1.3255374083245408,0.13734880996898394,0.24280750312291458,0.9700744901234472,-0.9700744901234472,0.24280750312291458
25368.730825182447,27.125495951867236,238.82333575415197,1.4012378777150167,0.12642850747932913,0.16874714672472574,0.9856593734318626,-0.9856593734318626,0.16874714672472574
25902.49470265056,27.21467338341879,239.47918097325174,1.4685536252843565,0.11784923530098793,0.10206466105228339,0.9947777666025778,-0.9947777666025778,0.10206466105228339
26444.718883082936,27.262833003482793,240.15086279483813,1.5286086998870787,0.1107672003083379,0.042175113793316864,0.9991102340280754,-0.9991102340280754,0.042175113793316864
26993.487090352108,27.27288637314572,240.83365492228992,1.5824870642636892,0.10419061626622961,-0.011690471168371684,0.9999316640888097,-0.9999316640888097,-0.011690471168371684
27546.43847067097,27.247745053494015,241.52283105898576,1.6311868819352493,0.09734736575998174,-0.06035385424716233,0.9981770445373619,-0.9981770445373619,-0.06035385424716233
28100.860736495793,27.19032060561417,242.21366490830442,1.6756083778712183,0.09059609849233319,-0.10462025317017529,0.9945122435598944,-0.9945122435598944,-0.10462025317017529
28653.763960398912,27.103524590592656,242.90143017362473,1.7165607276417565,0.08431139612154798,-0.1452487665725747,0.9893951666412025,-0.9893951666412025,-0.1452487665725747
29201.939125699995,26.990268569515933,243.58140055832538,1.7547793255388047,0.07873927576750767,-0.18294679116831083,0.9831228161144128,-0.9831228161144128,-0.18294679116831083
29742.005045741,26.85346410347048,244.24884976578508,1.7909491505028288,0.07398025666246205,-0.21837876079462762,0.9758640872564018,-0.9758640872564018,-0.21837876079462762
30271.316275000103,26.69591033872411,244.89923876263452,1.826215572095516,0.06992237082399787,-0.2526510747388584,0.967557457929768,-0.967557457929768,-0.2526510747388584
30791.06601141349,26.518566414880805,245.53109364193168,1.863043981706964,0.06619047162874217,-0.2881053025313236,0.9575987336117642,-0.9575987336117642,-0.2881053025313236
31302.969241002385,26.320889635990802,246.14544228976317,1.9015073224820278,0.06271759401590848,-0.32471557845366544,0.9458117112144633,-0.9458117112144633,-0.32471557845366544
31808.795889265904,26.10229340111294,246.74338573018457,1.94134181706382,0.059425487780218646,-0.3621239536259839,0.9321299491866717,-0.9321299491866717,-0.3621239536259839
32310.361071121933,25.862191109306035,247.32602498725132,1.982233902784368,0.05623696513782973,-0.39992734650878226,0.9165468441244939,-0.9165468441244939,-0.39992734650878226
32809.51312897864,25.59999615962889,247.8944610850188,2.0238290148795386,0.05308120277801574,-0.4376943048843822,0.8991238487726313,-0.8991238487726313,-0.4376943048843822
33308.11994294057,25.315121951140338,248.44979504754238,2.065744065728567,0.0498949532376665,-0.4749856625096249,0.879993534277486,-0.879993534277486,-0.4749856625096249
33808.05418713608,25.006981882899176,248.99312789887756,2.1075826765193053,0.048640654387425035,-0.5113769657672683,0.8593565027639325,-0.8593565027639325,-0.5113769657672683
34311.17832864778,24.674989353964232,249.52556066307966,2.1489517406388394,0.05860683563963038,-0.5464800779069532,0.8374721036614048,-0.8374721036614048,-0.5464800779069532
34819.3301960026,24.31855776339433,250.04819436420425,2.1894776556846973,0.08757302097864021,-0.5799614176498605,0.8146439430807829,-0.8146439430807829,-0.5799614176498605
35334.27929924899,23.937108076074836,250.5621321809006,2.228672182767109,0.12745462665110469,-0.6114374127555482,0.7912927967850852,-0.7912927967850852,-0.6114374127555482
35856.87911722544,23.53120007790832,251.06880160493975,2.262540729839824,0.15168731713126374,-0.6378815769517883,0.7701344647184865,-0.7701344647184865,-0.6378815769517883
36387.332335973704,23.103736966360838,251.57029748416406,2.2896221425636285,0.19020228795533267,-0.6585014591801597,0.7525794497725121,-0.7525794497725121,-0.6585014591801597
36925.574511638755,22.657910513708696,252.06879684666717,2.3102209007868706,0.25184799733237173,-0.6738628659908249,0.7388564392366582,-0.7388564392366582,-0.6738628659908249
37471.34161487805,22.19691249222819,252.56647672054288,2.3246405661447875,0.22331405754087777,-0.6844465035417827,0.729063086263996,-0.729063086263996,-0.6844465035417827
38024.23234661238,21.723934674195625,253.06551413388493,2.333161647813854,0.16835061576012075,-0.6906339861823955,0.7232044642379092,-0.7232044642379092,-0.6906339861823955
38583.76552382347,21.242168831887305,253.56808611478698,2.3360297833248054,0.111623192240611,-0.6927053910990874,0.721220660482294,-0.721220660482294,-0.6927053910990874
39148.275911818026,20.754762837340053,254.07618564017517,2.3366299883868913,0.07882472432030176,-0.6931381465922986,0.7208047653166315,-0.7208047653166315,-0.6931381465922986
39684.463470298135,20.256862572139937,254.5582574488876,2.4343991438664014,0.05952258832354091,-0.7601882521410981,0.6497028715261786,-0.6497028715261786,-0.7601882521410981
40170.57773310652,19.726362271436543,254.91041898249551,2.7191424022068653,0.04418569712294053,-0.9120870847100693,0.40999652420958915,-0.40999652420958915,-0.9120870847100693
40670.81018828836,19.138912424509044,255.01938080797643,-3.06100179648741,0.032711190901711866,-0.9967543141231534,-0.0805036473515375,0.0805036473515375,-0.9967543141231534
41246.52247552207,18.49934753778409,254.79740105916497,-2.59525384369424,0.02650654774203276,-0.8544324613333623,-0.5195624784230218,0.5195624784230218,-0.8544324613333623
41786.34059195683,17.991279843690617,254.31323914538848,-2.130276094441374,0.026636924402103263,-0.53074535652993,-0.8475313365798741,0.8475313365798741,-0.53074535652993
42313.64526377851,17.865986186054805,253.6948894187213,-1.3421090889470586,0.03547143744671546,0.2266991350639479,-0.973964836184207,0.973964836184207,0.2266991350639479
42889.23620149312,18.168270386837534,253.04708657564439,-1.1359956894978378,0.057017333113761844,0.42122959692309747,-0.9069540377776912,0.9069540377776912,0.42122959692309747
43388.24394632177,18.229304308355143,252.4022841023294,-1.8640245525700678,0.08924413557063096,-0.2890441572879592,-0.9573157656163477,0.9573157656163477,-0.2890441572879592
43828.89669097363,17.90215993147007,251.9377379619008,-2.5165837672944518,0.11590277312462297,-0.8109579201076244,-0.5851044793618734,0.5851044793618734,-0.8109579201076244
44320.40516540724,17.36594295031425,251.74280016996732,-3.018551165963101,0.1272794569258726,-0.9924399411402399,-0.12273126410522357,0.12273126410522357,-0.9924399411402399
44876.83178798731,16.710516927016414,251.77011789681802,2.965756676657745,0.12484062425757589,-0.9845806444257721,0.17493128532708913,-0.17493128532708913,-0.9845806444257721
45455.80596547416,16.023976438479576,251.96982311030087,2.760851621994847,0.0648766160490708,-0.9283895168207998,0.37160853733828286,-0.37160853733828286,-0.9283895168207998
46021.12996617336,15.385257563839161,252.29159038032978,2.599324230480674,-0.1378122830188922,-0.8565401976107568,0.5160803133636739,-0.5160803133636739,-0.8565401976107568
46571.35682805852,14.805679559076731,252.68171732614357,2.5112477720386632,-0.17410271497353336,-0.8078242750888166,0.5894233966690492,-0.5894233966690492,-0.8078242750888166
47095.02514381087,14.26628306737813,253.08498937848785,2.5015304266205725,-0.1468512304365077,-0.8020585946537161,0.597245352182764,-0.597245352182764,-0.8020585946537161
47579.634884211926,13.747966495506223,253.44618486447084,2.582419965949015,-0.0858308712461664,-0.8476942779023218,0.5304850715810868,-0.5304850715810868,-0.8476942779023218
