date,phi_deg,theta_deg,quadrupole_power,dipole_magnitude,lambda1,lambda2,lambda3,phi_unwrapped_deg
1980-05-25,113.08403004264244,90.0,0.18521875344192856,0.6222535073565373,0.26297888493429333,0.07035444839903993,-0.3333333333333333,113.08403004264244
1980-06-24,120.8911134878466,90.0,0.20188384757708083,0.6683084475207036,0.29936403082740304,0.0339693025059304,-0.3333333333333333,120.8911134878466
1980-07-24,124.40874174400815,90.0,0.2335412435697815,0.7342428570689541,0.34952532369869627,-0.01619199036536281,-0.3333333333333333,124.40874174400815
1980-08-23,125.27050162127219,90.0,0.28722721440524784,0.8094999204232056,0.4121870810303008,-0.0788537476969675,-0.3333333333333333,125.27050162127219
1980-09-22,124.0641391918266,90.0,0.36982741567366134,0.8815836270925793,0.4853834288607774,-0.15205009552744408,-0.3333333333333333,124.0641391918266
1980-10-22,121.15880575626436,90.0,0.4727724873560966,0.9372438063250909,0.5578864391024614,-0.22455310576912793,-0.3333333333333333,121.15880575626436
1980-11-21,117.60486847348953,90.0,0.5617487566046125,0.9703469171804782,0.6111225643314101,-0.2777892309980769,-0.3333333333333333,117.60486847348953
1980-12-21,114.56541018426068,90.0,0.6161143107709521,0.9866394566826185,0.6407171091853324,-0.3073837758519989,-0.3333333333333333,114.56541018426068
1981-01-20,112.34978682335259,90.0,0.6439399755640149,0.9941743188960172,0.6551711747816626,-0.3218378414483293,-0.3333333333333333,112.34978682335259
1981-02-19,110.76501884892461,90.0,0.6570724327654209,0.997574769879063,0.661846313915397,-0.3285129805820638,-0.3333333333333333,110.76501884892461
1981-03-21,109.50197164908744,90.0,0.6623406194767798,0.998913106813855,0.6644989440503821,-0.3311656107170488,-0.3333333333333333,109.50197164908744
1981-04-20,108.17330974328503,90.0,0.6611660291208246,0.9986139993158627,0.6639087417438658,-0.3305754084105325,-0.3333333333333333,108.17330974328503
1981-05-20,106.16992142027873,90.0,0.641826475622781,0.9934977522889233,0.6540883572776377,-0.32075502394430433,-0.3333333333333333,106.16992142027873
1981-06-19,103.65115312332179,90.0,0.5459097233594312,0.9582175044811859,0.6021222078489811,-0.2687888745156476,-0.3333333333333333,103.65115312332179
1981-07-19,105.03039620084074,90.0,0.43843037426431464,0.8541505523313209,0.5352882257198832,-0.20195489238654982,-0.3333333333333333,105.03039620084074
1981-08-18,107.98423764258987,90.0,0.39693320499515145,0.7221205646992443,0.505979603591038,-0.17264627025770465,-0.3333333333333333,107.98423764258987
1981-09-17,110.5386427316188,90.0,0.3822117720351344,0.5871299966838099,0.49495396871204567,-0.16162063537871216,-0.3333333333333333,110.53864273161881
1981-10-17,112.37799992943178,90.0,0.37804433593054304,0.4601881389164078,0.4917648589593003,-0.1584315256259669,-0.3333333333333333,112.37799992943178
1981-11-16,113.48627142748241,90.0,0.3778645254208044,0.3563866426207401,0.4916265555407689,-0.15829322220743552,-0.3333333333333333,113.48627142748241
1981-12-16,113.94438709601398,90.0,0.3784462482265902,0.3038031462776986,0.4920737821081729,-0.15874044877483962,-0.3333333333333333,113.944387096014
1982-01-15,113.89539339775888,90.0,0.3782891558256232,0.32902274056254227,0.49195307059323456,-0.15861973725990125,-0.3333333333333333,113.89539339775888
1982-02-14,113.55514613301666,90.0,0.37711329095460144,0.4181558007254929,0.4910480966899764,-0.15771476335664314,-0.3333333333333333,113.55514613301666
1982-03-16,113.2680837507741,90.0,0.3758952103184967,0.5402081150130223,0.49010796246223304,-0.15677462912889953,-0.3333333333333333,113.2680837507741
1982-04-15,113.65508156887479,90.0,0.3781966837074245,0.6772550787387196,0.491881993058857,-0.15854865972552373,-0.3333333333333333,113.65508156887479
1982-05-15,115.89482195447991,90.0,0.39719643962414164,0.8186397564458207,0.5061734949908367,-0.1728401616575034,-0.3333333333333333,115.89482195447991
1982-06-14,120.09379506839167,90.0,0.4678764297739109,0.9305388328053253,0.5547451143465425,-0.22141178101320916,-0.3333333333333333,120.09379506839167
1982-07-14,120.15975955325746,90.0,0.46479021592454195,0.930179491969019,0.5527518575623259,-0.21941852422899266,-0.3333333333333333,120.15975955325746
1982-08-13,117.40016062894489,90.0,0.3743357117254657,0.8610341139367963,0.48890031253469135,-0.1555669792013579,-0.3333333333333333,117.40016062894489
1982-09-12,113.15664902344628,90.0,0.29378430278499923,0.7777442330093438,0.41877540919489853,-0.0854420758615652,-0.3333333333333333,113.15664902344628
1982-10-12,106.60169452945694,90.0,0.2375842376509397,0.6987916429871426,0.35497169977023646,-0.021638366436903034,-0.3333333333333333,106.60169452945694
1982-11-11,95.68706909382018,90.0,0.20660455059634336,0.6340259086031915,0.3079781735047099,0.025355159828623533,-0.3333333333333333,95.68706909382018
1982-12-11,80.48384930835674,90.0,0.19959588974068568,0.5909029525372167,0.29498116910894523,0.038352164224388155,-0.3333333333333333,80.48384930835674
1983-01-10,68.76521546647183,90.0,0.2123720613265444,0.5741531531877908,0.31783775295613825,0.015495580377194994,-0.3333333333333333,68.76521546647183
1983-02-09,63.92925981452824,90.0,0.2334183623681801,0.584043525279004,0.3493572462014547,-0.01602391286812128,-0.3333333333333333,63.92925981452824
1983-03-11,62.915097731223646,90.0,0.24575817196154645,0.617664457657294,0.36552780577493965,-0.032194472441606274,-0.3333333333333333,62.915097731223646
1983-04-10,62.90971953186692,90.0,0.2438177749972952,0.6720577079936162,0.363073270846145,-0.029739937512811485,-0.3333333333333333,62.90971953186692
1983-05-10,62.74954487186211,90.0,0.23787163726346733,0.7418405343640672,0.35535287522044606,-0.022019541887112613,-0.3333333333333333,62.74954487186211
1983-06-09,64.08274478948496,90.0,0.24586624175920518,0.8093133458677981,0.36566362027719124,-0.03233028694385792,-0.3333333333333333,64.08274478948496
