theta1,theta2,omega1,omega2,state,impulse
79.79319488440335,-2.6978588831100496,-18.00645717732914,-11.175891857119723,1,0
79.74404853436035,-2.72848618153727,-17.89384539380444,-11.196412412115535,1,0
79.69521352701085,-2.7591670961811814,-17.779048240554403,-11.215057201788795,1,0
79.64669577192063,-2.7898964879125683,-17.662121151934116,-11.231825018981908,1,0
79.59850102241435,-2.820669218119481,-17.543122743109052,-11.246717439229371,1,0
79.55063486709868,-2.8514801562998606,-17.422114635483013,-11.25973879640685,1,0
79.50310272187782,-2.88232418757277,-17.299161271695993,-11.270896147553117,1,0
79.4559098224898,-2.9131962200783854,-17.174329720615788,-11.280199226818809,1,0
79.40906121758972,-2.944091192237076,-17.047689473765786,-11.287660389013922,1,0
79.36256176240073,-2.975004079840269,-16.919312234969766,-11.29329454349056,1,0
79.31641611294923,-3.005929902947496,-16.789271704361454,-11.297119078878609,1,0
79.27062872089842,-3.036863732565134,-16.657643357786583,-11.299153779076164,1,0
79.22520382899145,-3.0678006970834364,-16.524504223210897,-11.299420731325995,1,0
79.18014546710944,-3.0987359884519297,-16.389932655622033,-11.29794422724342,1,0
79.13545744894698,-3.1296648680745025,-16.254008111418443,-11.294750657213513,1,0
79.09114336930564,-3.1605826724065547,-16.11681092386607,-11.289868399215607,1,0
79.04720660199905,-3.1914848182413227,-15.978422080715973,-11.283327702811789,1,0
79.00365029836401,-3.2223668076717793,-15.838923005278048,-11.275160569072227,1,0
78.9604773863644,-3.2532242327194734,-15.698395342051299,-11.26540062733659,1,0
78.91769057027611,-3.2840527796216037,-15.556920747627373,-11.254083009381247,1,0
78.8752923309359,-3.314848232770842,-15.414580688157002,-11.241244222010664,1,0
78.83328492653534,-3.345606478304756,-15.271456244254296,-11.226922018820574,1,0
78.79167039393793,-3.376323507343439,-15.127627923950058,-11.211155271754365,1,0
78.75045055049729,-3.4069954188756215,-14.983175484363528,-11.193983843205046,1,0
78.70962699635074,-3.4376184222959654,-14.838177762729174,-11.17544845932423,1,0
78.66920111716269,-3.4681888395974516,-14.69271251734608,-11.155590585165669,1,0
