date,mean_direction,direction_std,mean_magnitude,zach_75W_parallel,adhikari_100W_parallel,greenland_45_parallel
1983-07-04,47.03595967285446,58.8105638353962,6.6348616565295755,-4.434503660454386,-4.344805115521451,4.258173209112398
1983-08-03,46.87686685616103,58.659447850637754,6.639737073786466,-4.443547254784566,-4.352608535208048,4.272922469733496
1983-09-02,46.70123296161603,58.50132380303945,6.639303928681419,-4.447555828902121,-4.3550926462315065,4.285052113887039
1983-10-02,46.50999404540829,58.33789737278519,6.633787686130257,-4.44656828412564,-4.352327905907693,4.2944139496370815
1983-11-01,46.30453615966968,58.1708949169081,6.623431455195806,-4.440662142583342,-4.344425688454895,4.300879216184286
1983-12-01,46.086709818561644,58.002050927842184,6.6084920818760935,-4.429952604545917,-4.331537410804102,4.304337395225869
1983-12-31,45.85880025778778,57.83307710408558,6.589238182375967,-4.4145930555778845,-4.3138549926826695,4.304696909110841
1984-01-30,45.62346540615613,57.66562826696071,6.565949813301437,-4.394776468273484,-4.29161203626692,4.30188757823827
1984-02-29,45.38365346984722,57.50127463566783,6.538919242009285,-4.37073688636778,-4.265084884843186,4.295864314682407
1984-03-30,45.142511026203806,57.34148518776751,6.508452133056155,-4.342750090873816,-4.234592669674416,4.286611237208636
1984-04-29,44.90329090620588,57.18762319874429,6.474868437907227,-4.311132653349199,-4.20049559658541,4.274145270386877
1984-05-29,44.66926735918747,57.040952624540935,6.43850235286572,-4.276238840014454,-4.163191010186295,4.25851834942049
1984-06-28,44.44366449981965,56.90265274825246,6.399700905898939,-4.238455209759265,-4.123107166914183,4.2398175925140915
1984-07-28,44.2296028605449,56.77383825377116,6.358820998372887,-4.198193153657098,-4.080695049946593,4.2181631597027485
1984-08-27,44.030067860109455,56.6555823925608,6.31622503136859,-4.155879983766509,-4.036418901419593,4.193703923101063
1984-09-26,43.84790278152019,56.548941863275054,6.272275551391768,-4.111949440073819,-3.9907463798431766,4.166611458100268
1984-10-26,43.68582704141022,56.45498304340179,6.2273295966271105,-4.066832594888066,-3.944139326320799,4.137073157597098
1984-11-25,43.54647795802117,56.37480990966163,6.1817335473499355,-4.020950061515911,-3.8970460158610893,4.105285409995376
1984-12-25,43.43247121806155,56.309594111761804,6.135819255004255,-3.974706182563896,-3.849895510426216,4.071447747875416
1985-01-24,43.346472334707585,56.26060709252458,6.089902028339199,-3.928485521171274,-3.8030943619721707,4.035758670801613
1985-02-23,43.29126923583664,56.22925297342269,6.044280720692951,-3.882651573163213,-3.7570255071416856,3.9984135109244927
1985-03-25,43.26983512216748,56.21709932633467,5.999239768041755,-3.837547250340652,-3.7120488411027335,3.9596043215070047
1985-04-24,43.28537103597864,56.22590107685058,5.955052633671856,-3.7934964084348595,-3.6685027064897024,3.9195213906301847
1985-05-24,43.34131936425058,56.2576108365848,5.911985807563011,-3.750805570608122,-3.6267054427548415,3.8783556952329454
1985-06-23,43.44134296407606,56.31436728108123,5.870302341946261,-3.709765046297883,-3.5869562230920593,3.8363014629712144
1985-07-23,43.58926978594707,56.39845235468422,5.830263906710144,-3.6706488402874307,-3.549534628612937,3.7935580166985634
1985-08-22,43.789009521884395,56.512209036861194,5.792130548424171,-3.6337130547992667,-3.514698733926868,3.7503302413125836
1985-09-21,44.04445587375676,56.65791513679727,5.756157737385722,-3.5991928556496755,-3.482681849889926,3.70682730424443
1985-10-21,44.359393296777284,56.837615283532024,5.72259083193793,-3.5672984250752022,-3.4536884101621323,3.663259619032347
1985-11-20,44.73742772671079,57.05292159017956,5.691657670319016,-3.538210589314522,-3.42788973086971,3.6198343964222612
1985-12-20,45.18195487980995,57.30480036674571,5.6635604850566,-3.5120769558633347,-3.4054204882895958,3.576750430462027
1986-01-19,45.69616765576751,57.59336422503384,5.638468558169887,-3.4890093882763114,-3.386376717980803,3.534192958739314
1986-02-18,46.28308961564301,57.917684443262,5.61651288736321,-3.4690834765008622,-3.3708159378860443,3.4923294704045063
1986-03-20,46.94560971639527,58.27562970375028,5.59778362652516,-3.4523403562783233,-3.3587596720746364,3.451307201392481
1986-04-19,47.68648866342045,58.66372969082484,5.582330348741426,-3.4387908524085335,-3.3501982656951395,3.411252778767486
1986-05-19,48.50831015762316,59.07706110883513,5.570164484964935,-3.428421531679151,-3.3450974995570664,3.3722741084561125
1986-06-18,49.41335862837349,59.509161841339015,5.561262853073299,-3.4212019194135825,-3.34340620126699,3.334464203724721
1986-07-18,50.40341576414539,59.951993408650885,5.555571153536724,-3.4170919267064424,-3.3450638736584506,3.2979063009902365
1986-08-17,51.47947968127971,60.39598556671294,5.553006653887141,-3.416048484353574,-3.3500073457102344,3.2626793626910913
1986-09-16,52.64142381006462,60.83020166126062,5.553459870069454,-3.418030509695587,-3.358175614697382,3.2288629856145055
1986-10-16,53.88762902612308,61.242653785927516,5.556795632806922,-3.4230016157742216,-3.369512356651298,3.1965408278444967
1986-11-15,55.21464125779562,61.620772582943964,5.562854275285137,-3.43093036709301,-3.383965989146459,3.165801931737643
1986-12-15,56.61692174140131,61.952003211617054,5.571453678615582,-3.441788315286221,-3.401487596074102,3.1367397018349163
1987-01-14,58.08675860706171,62.22446613669735,5.582392610082067,-3.455546429116226,-3.422027386418669,3.1094487259821437
1987-02-13,59.61438951767184,62.427599544719726,5.595455335964426,-3.472170785139657,-3.445530580089877,3.0840200177733244
1987-03-15,61.18834669882176,62.5526966562422,5.610417085206491,-3.4916184886729846,-3.4719336806598675,3.0605355549873896
1987-04-14,62.795988641268764,62.59326817490114,5.627049691823643,-3.513834700756193,-3.501161964792771,3.039063116665514
1987-05-14,64.42414303049111,62.545192686471914,5.645126705485464,-3.5387513790737084,-3.5331287221742658,3.0196523574619643
1987-06-13,66.0597661821165,62.406655997764545,5.6644273986856035,-3.5662879553500395,-3.567736379965132,3.002332814790903
1987-07-13,67.69052961670604,62.177913694670764,5.684739340033846,-3.5963537359918103,-3.6048792128557885,2.987114160381061
1987-08-12,69.30526929455431,61.86093246061171,5.7058594836913095,-3.6288514185112124,-3.644446964905074,2.973988564070003
1987-09-11,70.89426738308595,61.458972772483364,5.727593972997302,-3.663680843239795,-3.6863284690198466,2.9629346195904316
1987-10-11,72.44936993379582,60.976170802127186,5.749757005429113,-3.7007419840459126,-3.7304142745640285,2.9539219524195723
1987-11-10,73.96396909992495,60.41716465736383,5.772169155479569,-3.739936268015999,-3.7765974206673185,2.9469154683084726
1987-12-10,75.4328922176125,59.786793751223826,5.79465550532911,-3.7811655878026627,-3.8247718001283366,2.9418782395469902
1988-01-09,76.85224219315631,59.089883204897106,5.817043820501331,-3.824328796973802,-3.8748280048822994,2.938772274631886
1988-02-08,78.21922663503551,58.331110458862106,5.839162872151427,-3.869315964214648,-3.9266470306949572,2.93755682014253
1988-03-09,79.53200070811454,57.514940189324214,5.860840904018572,-3.9160011259270826,-3.9800926651214996,2.938184334411757
1988-04-08,80.7895348266232,56.64560721118429,5.881904189793391,-3.964234617523877,-4.035003690799617,2.940594747967718
1988-05-08,81.99150640882323,55.72712538999452,5.902175646005328,-4.013836214929758,-4.091187144806947,2.9447089974986667
1988-06-07,83.13820713781621,54.76330290912956,5.921473547879988,-4.064590242836646,-4.148413755221068,2.950423012829549
1988-07-07,84.23045408237692,53.75774907966327,5.9396105318447345,-4.116243531540481,-4.2064163633425204,2.9576033222400633
1988-08-06,85.26949447587032,52.71386433841802,5.956393214320508,-4.16850663962125,-4.264891652032768,2.9660851837579414
1988-09-05,86.25689826017378,51.63481138522567,5.971622863375091,-4.2210582402115016,-4.323504977459917,2.9756737323857094
1988-10-05,87.1944379572223,50.52347083774202,5.985097566813313,-4.2735520776096525,-4.381897625820304,2.986148131160231
1988-11-04,88.08396037964064,49.38238920476451,5.996616218318962,-4.325625516969899,-4.43969546342613,2.9972682127902543
1988-12-04,88.92725747322066,48.21373004093603,6.005984383722584,-4.376908522191371,-4.496517802117996,3.0087827040071677
1989-01-03,89.7259433722761,47.019240988161954,6.013021767178529,-4.42703191336428,-4.551985360968017,3.020437893094556
1989-02-02,90.48134111248044,45.80024984447418,6.017570663296636,-4.475633987869992,-4.6057264741851,3.03198558982668
1989-03-04,91.19437605166394,44.557702656461174,6.019504559838041,-4.522364972106098,-4.657381100992673,3.0431894184070107
1989-04-03,91.86546492327034,43.29225804169993,6.018736025896484,-4.566889212817045,-4.706602641703597,3.0538288201667285
1989-05-03,92.49437977435286,42.00445796200952,6.015223234564868,-4.608885467824124,-4.753058004990006,3.063700580956334
1989-06-02,93.08005390288372,40.69501284578283,6.008974906126089,-4.648046018838395,-4.796426707993266,3.072618155061918
1989-07-02,93.62027974740693,39.36528241833757,6.000054119108014,-4.684075551991752,-4.83639997559961,3.0804094652488776
1989-08-01,94.1112240188341,38.01813559018855,5.988582365149322,-4.716690785867349,-4.872680797265443,3.0869141288124307
1989-08-31,94.54665839923456,36.659611799839354,5.97474658108605,-4.745621648788234,-4.904985683428214,3.091981129097366
1989-09-30,94.916828169989,35.302367681205894,5.958814194694313,-4.770614464989416,-4.933048494273084,3.0954678187753517
1989-10-30,95.20723743241018,33.973112217577494,5.941165448083321,-4.791437179243592,-4.956626272704195,3.0972408404563065
1989-11-29,95.39944438463243,32.72780171564647,5.922358302027536,-4.807886196781044,-4.97550656753237,3.097179128476002
1989-12-29,95.48145810552057,31.672933209132083,5.903235300649982,-4.81979403662554,-4.989515377194591,3.095178703914537
1990-01-28,95.47566665237531,30.953891967091497,5.885001393333956,-4.827036758918516,-4.998524641664553,3.091158574182984
1990-02-27,95.44923957198847,30.654801058366928,5.869045288065338,-4.829540077075017,-5.002458201132676,3.085066773343872
1990-03-29,95.46389022504047,30.735158628115254,5.856495456595901,-4.827283201725462,-5.001295314240419,3.0768854756843145
1990-04-28,95.54137271195907,31.111098068859476,5.847967880092593,-4.820299782627235,-4.995071176563044,3.0666342200234586
1990-05-28,95.67739653816011,31.72575962790491,5.8436177020535105,-4.808675742054175,-4.983874322384123,3.054370556784066
1990-06-27,95.85632382716511,32.55573049167019,5.843241784575775,-4.792544244360738,-4.967841243220155,3.040187815187783
1990-07-27,96.05401923893908,33.59586657943782,5.846322084483685,-4.772078453914092,-4.947148947367709,3.0242101276439595
1990-08-26,96.23719108397415,34.838875738634016,5.852035605438468,-4.747483041840974,-4.92200646389225,3.006585275610955
1990-09-25,96.36852419379937,36.25588335094378,5.859299073202919,-4.718985535677231,-4.892646391157188,2.987476246070781
1990-10-25,96.41979246800406,37.793650014158565,5.86689895603094,-4.686828559554047,-4.859317505542691,2.967052566515129
1990-11-24,96.38128608736139,39.39364597502721,5.873665769193038,-4.6512637910581685,-4.822279192482059,2.945482483076758
1990-12-24,96.2585273246628,41.01159468387764,5.87859376185366,-4.612548098355373,-4.781798079364647,2.9229268552930923
1991-01-23,96.06331523811446,42.62190467439736,5.880871472580786,-4.5709418934096675,-4.738146817164915,2.8995353081762714
1991-02-22,95.80755713226495,44.21267432542865,5.879860706175829,-4.526709336290419,-4.69160456723692,2.8754447840987556
1991-03-24,95.50095389627006,45.77982336949809,5.875063724753946,-4.480119691075884,-4.642458439305153,2.850780216517109
1991-04-23,95.15068849007298,47.3231794863605,5.866095325481457,-4.431448940684547,-4.591004967083337,2.8256566918467185
1991-05-23,94.76174940745398,48.84431593429951,5.852662722020521,-4.380980746443004,-4.537550722925528,2.800182238262403
1991-06-22,94.33731066987059,50.345434475798044,5.834552056714513,-4.329005990473832,-4.482411357454111,2.7744603236457754
1991-07-22,93.87898457609691,51.82878484651179,5.811619963341198,-4.275820438465689,-4.425908671838541,2.748591270071918
1991-08-21,93.38689758705232,53.296325725484834,5.783788932414956,-4.221720438656069,-4.368365717512864,2.7226720608111297
1991-09-20,92.85955952621191,54.74945065716172,5.751045519186273,-4.1669969760689725,-4.310100315428418,2.6967943900785936
1991-10-20,92.29346172236501,56.18863580927633,5.713440635117924,-4.111928729884669,-4.251417696961132,2.6710411912865077
