x_center,y_center
-22.162870822514524,282.1953088762777
-22.857761000985356,280.6112166079795
-23.369299925249674,279.5784968545432
-24.812025519632012,279.43243016241667
-24.78821006208649,279.0249418346043
-25.378781389456908,279.42221772375376
-25.960537400206267,279.82318640324513
-25.48288297787995,280.30869289302575
-26.173619560878187,280.96438834870384
-26.775740274479563,281.34374972319364
-27.193489068476932,281.4442837902783
-27.36634364138881,281.310704921613
-27.281944054988553,281.0160460123516
-26.974796506451966,280.63651663548467
-26.51044414458053,280.2294745591061
-25.350226217799882,276.53937054916736
-25.839464510853013,275.8199148705151
-26.0742157966569,275.27570415790785
-25.991903694597486,274.86633024327523
-25.571680835279285,274.534783696206
-24.832426798918473,274.22447281105406
-23.823631720287803,273.89047775583145
-21.833073840131636,275.6627507137435
-21.47922314677264,275.8768551468644
-21.736663985298925,277.0639333119505
-21.91878831103171,277.0369095688606
-21.05254362668217,274.5058826620982
-20.423733899694927,273.042255072732
-19.59233120452612,271.6223130168367
-18.592209144107326,271.8983204993264
-18.270278349122403,271.89530871507804
-17.42304698895449,271.2194596462755
-16.3827570066827,270.78300620280584
-16.50589693504118,270.5086914414996
-15.935340102114472,269.8314354736469
-15.77725547333938,269.2852756943693
-16.04585525044349,268.9863236423
-16.68952803229312,269.0414409230751
-17.59501979616308,269.5146644369003
-18.612267644402998,270.40135142958576
-14.296186811435819,269.5465273678053
-12.117495778011817,268.2511667534173
-9.958601865353405,266.9912834172926
-7.907578925357232,265.8728884615147
-6.01106767202787,264.9835009707226
-4.276446023322607,264.36119778399694
-2.691907989057047,263.97714270874775
1.074721197770894,263.20175714826996
1.8563609272311237,262.6757142439209
2.317527274246069,261.89545121315075
2.6935862816819225,263.1431070728447
3.032830938958075,264.26812399311416
3.4416271147063444,265.09584298055074
4.005052712903996,264.5532024650553
4.46396101882405,264.42638214501176
4.7753526993840305,264.77656350362514
4.933083436845964,265.6353018583032
4.970543189327924,266.9839179267324
4.9427637629726195,268.7403258006195
4.8958532397256365,270.76487697189054
3.007625509742021,269.6225758573696
1.6695300941646183,268.3891302047883
2.2334578210038485,267.1127117380534
2.7615063907486284,266.57076084304884
2.833691900136721,265.9784687652762
1.6157061005367277,266.6387509632726
4.792842673841636,261.8138154500318
2.8027707659721357,259.48571230863877
6.779458578653442,259.44701505964514
8.236497895076202,259.0548630275964
8.857378402158862,257.29718292877203
8.373043236928659,256.62165331575136
10.40812295523163,255.75819366872685
10.898247907883837,255.44854481797657
11.379594115222742,255.43987510027924
11.223619852147781,256.3597790318359
12.368315827035353,256.72979676823604
13.333810790374262,257.4759228150974
13.79398010161922,256.8138497460041
14.236137004713246,256.77037938690944
15.228922402636867,256.0781990744023
15.436046819498142,256.5761949960279
16.240104884467186,255.33723242683263
17.21808234393295,255.99858517883712
17.1561211485327,254.52379954035547
13.492589848641673,250.18410407016538
13.80412927494354,249.9113068386617
13.93560609475712,249.65497051241894
13.888249264805063,249.40787261418583
13.686788413237737,249.18033607003287
13.377012771780842,249.00724202103643
13.016107500222427,248.95125531619206
12.6579374837548,249.09802535462194
12.338914255641164,249.54213450821425
12.070381991631198,250.36709852633368
12.42411440333536,250.8575353512414
13.020475346728718,250.4914558891621
11.754791064220157,251.30835882025673
11.840144668270614,251.62595783739778
11.078683953740075,251.8657685257167
9.57644980865889,251.04823324027674
10.624098512752743,250.19396898616094
10.656734232978076,248.153639290488
11.438807957885313,247.8638930333222
10.273959108512202,247.04940084259772
8.947485119895276,246.66858815317278
8.441522392826725,245.04996121590565
9.136195273927287,241.9663259435248
13.49120290541268,242.78244194766623
13.587165820909927,242.9898796133443
14.013028266735784,245.2247840343087
12.420943440000423,245.3986292665414
11.991785987013982,245.3626269395568
12.06611203770493,246.47034226418756
15.856398511208432,243.5960147530239
17.393392076590285,241.84295483817294
18.477791561294442,240.19493837155292
19.022240673898047,238.8509069117269
19.002015771574225,237.97746223113643
18.457539759375994,237.70153474844474
18.113988069058944,236.85981646655082
17.490452298888485,238.097070726706
16.613026265759807,238.5039101956477
16.24835733288635,239.16992691529762
15.057717444556578,240.48396216693726
14.897284568724729,240.84878678850262
11.405581007392502,237.2809411788876
9.946795487081467,254.99641200218983
11.083823076300549,257.8824616285236
11.828611003061718,259.15962663583764
12.539662462375677,258.2608727544128
11.163364358268032,260.15535212865905
10.702138812860845,260.5466238250393
10.528394827164869,261.18569413474773
9.949242468899566,262.1702496279884
9.486472578558255,263.04492987756316
10.203439275227533,263.2965391128655
9.207137094971243,263.78479704247815
8.968689501050758,264.1467664409867
9.148930401544359,264.40340673439437
9.296527232905978,264.92970239687634
9.346922759963297,265.10211430499095
9.583371236097104,265.37607344534837
9.691082146854264,265.7509052851407
9.918706929862147,265.7164681056483
10.226158127981927,265.88838564286067
10.47403615733946,265.8197925684943
10.682083077709468,265.4684744626138
10.901891549231236,264.8543437922097
11.181935852880175,264.06849107818374
11.53560976507627,263.2543565274465
11.92817416079562,262.569861819282
12.287960882052955,262.1475608943387
12.534674661646875,262.0690099392381
12.609844569784716,262.36091479610843
12.494905562763979,263.00940085938527
12.209968123851807,263.98088519854315
11.796463504754142,265.2370080145208
11.29413458595051,266.7365002013323
10.27164213915257,266.49059533158555
10.157533770324532,266.38087033690493
9.965959983099554,266.1550648620812
9.558991923050748,265.97725466655623
8.749791748182691,268.42402033417034
10.724047098242945,268.4250998256667
10.084767413433235,270.2211700639102
8.610436247790542,262.8352322317272
8.340753120298094,261.1381251105752
0.2705635078376831,254.81723072950695
-0.4001326580139951,255.52308307461846
-1.3363819521567726,254.48701429896667
-2.313151571352398,253.4331706244337
-3.2642387545926455,252.3876959431148
-4.124905867489999,251.38296035870894
-4.834876701012,250.45599989474366
-5.339074072122453,249.64929274686358
-5.58975464868673,249.0133507966766
-5.552851094689529,248.60764841336663
-5.217620673964145,248.49565063448642
-4.604793303414365,248.7323615892757
-3.76744970203694,249.34759379115224
-2.7820246618335527,250.33198960982264
-1.7324284012694153,251.63288237018554
-0.6946765739902468,253.16281203869818
-17.082961509513108,284.2144486027871
-17.602629399583194,284.156832014875
-17.789433404478867,286.66376968186
-17.306411003044463,286.6929148201125
-18.33176592970252,289.0371505317899
-17.168320787577,289.2516028389534
-17.24428166240117,291.6519636814833
-18.73584030864911,291.2202265372421
-19.00631497044295,293.11957807320886
-19.124902753059217,294.64662891103234
-19.066054585913886,295.70595127263755
-18.82250669368101,296.19808850641255
-18.427400320146436,296.03947077088566
-17.960170105283343,295.1924541872943
-17.530374248542934,293.69161624864466
