Longtitude,Latitude,Date,dLong,dLat
249.295,76.966,1622-01-01,0.00199999999998113,0.0319999999999965
249.297,76.993,1623-01-01,0.00200000000000955,0.027000000000001
249.299,77.016,1624-01-01,0.00200000000000955,0.0230000000000103
249.302,77.036,1625-01-01,0.0029999999999859,0.019999999999996
249.306,77.051,1626-01-01,0.0040000000000191,0.0150000000000006
249.311,77.063,1627-01-01,0.00499999999999545,0.0120000000000005
249.317,77.072,1628-01-01,0.00600000000000023,0.00900000000000034
249.325,77.078,1629-01-01,0.00799999999998136,0.00600000000000023
249.335,77.083,1630-01-01,0.0100000000000193,0.00499999999999545
249.347,77.085,1631-01-01,0.0120000000000005,0.00199999999999534
249.36,77.086,1632-01-01,0.0130000000000052,0.00100000000000477
249.376,77.085,1633-01-01,0.0159999999999911,-0.00100000000000477
249.392,77.083,1634-01-01,0.0159999999999911,-0.00199999999999534
249.409,77.077,1635-01-01,0.0169999999999959,-0.00600000000000023
249.428,77.071,1636-01-01,0.0190000000000055,-0.00600000000000023
249.447,77.064,1637-01-01,0.0190000000000055,-0.007000000000005
249.466,77.053,1638-01-01,0.0190000000000055,-0.0109999999999957
249.485,77.039,1639-01-01,0.0190000000000055,-0.0139999999999958
249.503,77.024,1640-01-01,0.0179999999999723,-0.0150000000000006
249.521,77.005,1641-01-01,0.0180000000000007,-0.0190000000000055
249.536,76.984,1642-01-01,0.0150000000000148,-0.0210000000000008
249.55,76.958,1643-01-01,0.01400000000001,-0.0259999999999963
249.561,76.931,1644-01-01,0.0109999999999957,-0.027000000000001
249.569,76.899,1645-01-01,0.00799999999998136,-0.0319999999999965
249.573,76.865,1646-01-01,0.0040000000000191,-0.034000000000006
249.574,76.829,1647-01-01,0.00100000000000477,-0.0360000000000014
249.572,76.79,1648-01-01,-0.00200000000000955,-0.0389999999999873
249.565,76.75,1649-01-01,-0.007000000000005,-0.0400000000000063
249.555,76.708,1650-01-01,-0.00999999999999091,-0.0420000000000016
249.541,76.666,1651-01-01,-0.01400000000001,-0.0420000000000016
249.524,76.622,1652-01-01,-0.0169999999999959,-0.0439999999999969
249.504,76.578,1653-01-01,-0.0200000000000102,-0.0439999999999969
249.481,76.535,1654-01-01,-0.0229999999999961,-0.0430000000000064
249.456,76.491,1655-01-01,-0.0250000000000057,-0.0439999999999969
249.428,76.447,1656-01-01,-0.0279999999999916,-0.0439999999999969
249.398,76.405,1657-01-01,-0.0300000000000011,-0.0420000000000016
249.366,76.362,1658-01-01,-0.0319999999999823,-0.0430000000000064
249.332,76.321,1659-01-01,-0.0340000000000202,-0.0409999999999968
249.297,76.28,1660-01-01,-0.0349999999999966,-0.0409999999999968
249.261,76.238,1661-01-01,-0.0360000000000014,-0.0420000000000016
249.223,76.196,1662-01-01,-0.0379999999999825,-0.0420000000000016
249.186,76.154,1663-01-01,-0.0370000000000061,-0.0420000000000016
249.148,76.11,1664-01-01,-0.0380000000000109,-0.0439999999999969
249.11,76.066,1665-01-01,-0.0379999999999825,-0.0439999999999969
249.072,76.02,1666-01-01,-0.0380000000000109,-0.0460000000000065
249.034,75.974,1667-01-01,-0.0380000000000109,-0.0459999999999923
248.996,75.926,1668-01-01,-0.0379999999999825,-0.0480000000000018
248.957,75.879,1669-01-01,-0.0390000000000157,-0.046999999999997
248.919,75.831,1670-01-01,-0.0379999999999825,-0.0480000000000018
248.882,75.783,1671-01-01,-0.0370000000000061,-0.0480000000000018
248.845,75.734,1672-01-01,-0.0370000000000061,-0.0490000000000066
248.808,75.685,1673-01-01,-0.0370000000000061,-0.0489999999999924
248.772,75.639,1674-01-01,-0.0360000000000014,-0.0460000000000065
248.736,75.591,1675-01-01,-0.0360000000000014,-0.0480000000000018
248.7,75.546,1676-01-01,-0.0360000000000014,-0.0449999999999875
248.663,75.503,1677-01-01,-0.0369999999999777,-0.0430000000000064
248.624,75.46,1678-01-01,-0.0390000000000157,-0.0430000000000064
