phi,theta1,theta2,state
64.41562858897444,38.44550974638503,132.72113837427892,1
64.36219959968608,38.29711116130352,132.8390526518012,1
64.3092258813053,38.15019111254901,132.9558233653129,1
64.25670507842592,38.004738094014385,133.07145887365763,1
64.20463481639126,37.86074060435607,133.1859675433977,1
64.15301270207539,37.71818714954861,133.2993577467509,1
64.10183632465439,37.57706624537127,133.41163785957656,1
64.05110325636764,37.43736641982866,133.52281625941083,1
64.00081105326888,37.29907621550501,133.63290132354962,1
63.950957255967005,37.16218419185327,133.74190142718066,1
63.90153939035672,37.02667892741954,133.84982494156225,1
63.85255496833866,36.892549022004175,133.95668023224934,1
63.80400148852923,36.75978309876024,134.0624756573664,1
63.75587643695992,36.62836980622882,134.1672195659262,1
63.70817728776617,36.49829782031452,134.27092029619388,1
63.66090150386563,36.36955584619949,134.37358617409654,1
63.614046537625974,36.24213262019862,134.4752255116768,1
63.567609831522034,36.11601691155556,134.57584660559053,1
63.521588818782426,35.99119752418153,134.67545773564783,1
63.47598092402553,35.86766329833671,134.77406716339658,1
63.43078356388488,35.74540311225587,134.8716831307484,1
63.385994147624025,35.624405883719476,134.9683138586458,1
63.341610077740704,35.50466057156922,135.06396754577077,1
63.29762875056054,35.3861561771721,135.15865236729303,1
63.25404755682017,35.26888174583053,135.25237647365864,1
63.21086388223981,35.1528263681422,135.3451479894172,1
63.168075108085425,35.0379791813088,135.4369750120878,1
63.12567861172033,34.9243293703953,135.5278656110627,1
63.08367176714649,34.811866169540735,135.61782782654817,1
63.04205194553537,34.700578863121166,135.70686966854197,1
63.000816515748504,34.590456786865616,135.7949991158467,1
62.9599628448478,34.4814893289265,135.88222411511873,1
62.91948829859562,34.37366593090485,135.9685525799511,1
62.879390241944684,34.26697608883137,136.0539923899914,1
62.839666039517944,34.16140935410465,136.13855139009215,1
62.800313056078394,34.056955334386714,136.2222373894946,1
62.76132865698892,33.95360369445751,136.30505816104446,1
62.722710208662335,33.851344157028734,136.38702144043884,1
62.68445507900151,33.750166503518415,136.46813492550461,1
62.64656063782988,33.650060574786266,136.54840627550658,1
62.60902425731225,33.551016271831315,136.62784311048557,1
62.571843312366056,33.45302355645322,136.70645301062547,1
62.53501518106316,33.356072451876514,136.7842435156485,1
62.49853724502225,33.26015304333998,136.86122212423868,1
62.46240688979194,33.16525547865194,136.93739629349216,1
62.426621505224716,33.071369968711224,137.01277343839436,1
62.391178485841685,32.97848678799596,137.08736093132302,1
62.356075231188406,32.886596275020054,137.16116610157678,1
62.321309146181754,32.795688832758515,137.2341962349286,1
62.28687764144799,32.70575492904277,137.30645857320332,1
62.25277813365208,32.616785096925526,137.3779603138792,1
62.21900804581848,32.528769935017635,137.4487086097125,1
62.18556480764332,32.44170010779669,137.5187105683844,1
62.152445855798234,32.355566345887894,137.58797325217046,1
62.119648634225896,32.27035944631854,137.65650367763124,1
62.08717059442733,32.18607027274686,137.72430881532398,1
62.05500919574114,32.10268975566538,137.79139558953486,1
62.023161905614806,32.02020889258006,137.8577708780308,1
61.991626199868016,31.938618748165368,137.92344151183147,1
61.96039956294831,31.857910454396688,137.98841427499906,1
61.92947948817905,31.778075210659836,138.0526959044477,1
61.898863477999804,31.69910428383946,138.11629308976973,1
61.868549044199376,31.62098900838521,138.17921247308036,1
61.83853370814141,31.543720786359017,138.2414606488784,1
61.80881500098285,31.467291087461035,138.3030441639242,1
61.77939046388524,31.391691449037182,138.3639695171333,1
61.750257648219105,31.31691347606784,138.4242431594857,1
61.72141411576133,31.2429488411384,138.4838714939503,1
61.69285743888585,31.169789284392266,138.54286087542397,1
61.66458520074766,31.09742661346752,138.60121761068518,1
61.63659499546021,31.02585270341615,138.65894795836113,1
61.6088844282664,30.955059496608783,138.71605812890851,1
61.58145111570325,30.88503900262299,138.77255428460725,1
61.554292685760274,30.81578329811731,138.82844253956705,1
61.52740677803176,30.74728452669143,138.88372895974584,1
61.500791043863046,30.679534898731788,138.93841956298044,1
61.474443146490856,30.612526691244398,138.9925203190286,1
61.44836076117785,30.546252247675056,139.04603714962207,1
61.42254157534147,30.480703977716587,139.09897592853048,1
61.39698328867717,30.41587435710511,139.15134248163577,1
61.37168361327618,30.351755927404042,139.20314258701643,1
61.34664027373788,30.28834129577774,139.25438197504172,1
61.32185100727687,30.22562313475413,139.3050663284751,1
61.29731356382485,30.1635941819776,139.3552012825868,1
61.273025706127484,30.102247239952135,139.4047924252751,1
61.24898520983618,30.04157517577437,139.4538452971962,1
61.22518986359506,29.9815709208591,139.50236539190198,1
61.201637469123135,29.92222747065489,139.55035815598572,1
61.17832584129176,29.86353788435207,139.5978289892356,1
61.15525280819754,29.805495284583117,139.64478324479498,1
61.1324162112307,29.748092857114898,139.69122622933003,1
61.1098139051391,29.69132385053439,139.73716320320398,1
61.0874437580879,29.635181575927334,139.782599380658,1
61.06530365171504,29.579659406550206,139.82753992999776,1
61.043391481182596,29.52475077749625,139.87198997378658,1
61.02170515522407,29.470449185355733,139.9159545890438,1
61.00024259618779,29.416748187870212,139.9594388074489,1
