t,sep_venus_mars,signed_sep_venus_mars,sep_venus_jupiter,signed_sep_venus_jupiter,sep_venus_saturn,signed_sep_venus_saturn,sep_mars_jupiter,signed_sep_mars_jupiter,sep_mars_saturn,signed_sep_mars_saturn,sep_jupiter_saturn,signed_sep_jupiter_saturn,sep_sun_jupiter,signed_sep_sun_jupiter,sep_sun_saturn,signed_sep_sun_saturn,sep_moon_sun,signed_sep_moon_sun,sep_moon_venus,signed_sep_moon_venus,sep_moon_mars,signed_sep_moon_mars
1999-09-01,98.09253339876409,-98.09253339876409,105.87273502159132,105.87273502159132,93.60301105973036,93.60301105973036,156.03473157964459,-156.03473157964459,168.30445554150555,-168.30445554150555,12.269723961860961,-12.269723961860961,123.22122630308064,123.22122630308064,110.95150234121968,110.95150234121968,115.54662754528158,-115.54662754528158,98.19813626379226,-98.19813626379226,163.70933033744365,163.70933033744365
1999-09-02,99.088390091456,-99.088390091456,105.52215700568337,105.52215700568337,93.23216956183114,93.23216956183114,155.38945290286063,-155.38945290286063,167.67944034671285,-167.67944034671285,12.289987443852226,-12.289987443852226,124.21318611164912,124.21318611164912,111.9231986677969,111.9231986677969,102.30392966920431,-102.30392966920431,83.61290056323855,-83.61290056323855,177.29870934530544,177.29870934530544
1999-09-03,100.04992571743418,-100.04992571743418,105.21217510329785,105.21217510329785,92.90037518784288,92.90037518784288,154.73789917926797,-154.73789917926797,167.04969909472294,-167.04969909472294,12.31179991545497,-12.31179991545497,125.20901709354104,125.20901709354104,112.89721717808607,112.89721717808607,89.05569383638323,-89.05569383638323,69.05885184614004,-69.05885184614004,169.10877756357422,-169.10877756357422
1999-09-04,100.97596479530995,-100.97596479530995,104.94393651045897,104.94393651045897,92.60877997150453,92.60877997150453,154.08009869423108,-154.08009869423108,166.41525523318552,-166.41525523318552,12.335156538954436,-12.335156538954436,126.2087225997837,126.2087225997837,113.87356606082926,113.87356606082926,75.84075572693712,-75.84075572693712,54.57596963761239,-54.57596963761239,155.55193443292234,-155.55193443292234
1999-09-05,101.86562884924973,-101.86562884924973,104.71828820130332,104.71828820130332,92.358237513684,92.358237513684,153.41608294944695,-153.41608294944695,165.77613363706627,-165.77613363706627,12.36005068761932,-12.36005068761932,127.21229821146659,127.21229821146659,114.85224752384727,114.85224752384727,62.691647902466514,-62.691647902466514,40.19763789230325,-40.19763789230325,142.06326674155298,-142.06326674155298
1999-09-06,102.71831343040321,-102.71831343040321,104.53579843760434,104.53579843760434,92.14932466536487,92.14932466536487,152.74588813199244,-152.74588813199244,165.1323619042319,-165.1323619042319,12.38647377223947,-12.38647377223947,128.21973158313796,128.21973158313796,115.83325781089849,115.83325781089849,49.63787893263577,-49.63787893263577,25.953945787102157,-25.953945787102157,128.67225921750537,-128.67225921750537
1999-09-07,103.5336620233,-103.5336620233,104.39678167718881,104.39678167718881,91.98236655252362,91.98236655252362,152.0695562995112,-152.0695562995112,164.4839714241764,-164.4839714241764,12.414415124665197,-12.414415124665197,129.2310027240581,129.2310027240581,116.8165875993929,116.8165875993929,36.70924537168878,-36.70924537168878,11.875024324819492,-11.875024324819492,115.40868634811949,-115.40868634811949
1999-09-08,104.31153830480807,-104.31153830480807,104.30132551808583,104.30132551808583,91.85746356991598,91.85746356991598,151.38713617710607,-151.38713617710607,163.83099812527598,-163.83099812527598,12.443861948169854,-12.443861948169854,130.24608471032286,130.24608471032286,117.80222276215301,117.80222276215301,23.9376865827723,-23.9376865827723,2.0070726094647284,2.0070726094647284,102.30446569534334,-102.30446569534334
1999-09-09,105.05199820375611,-105.05199820375611,104.24931831497861,104.24931831497861,91.77451897654493,91.77451897654493,150.69868348126528,-150.69868348126528,163.17348281969896,-163.17348281969896,12.474799338433684,-12.474799338433684,131.26494476981964,131.26494476981964,118.79014543138595,118.79014543138595,11.35674738770797,-11.35674738770797,15.658879067133057,15.658879067133057,89.39311913662306,-89.39311913662306
1999-09-10,105.75526309070608,-105.75526309070608,104.24047616754586,104.24047616754586,91.73326579893302,91.73326579893302,150.00426074174806,-150.00426074174806,162.5114711103609,-162.5114711103609,12.507210368612846,-12.507210368612846,132.28754561152573,132.28754561152573,119.78033524291288,119.78033524291288,1.0014461700134234,1.0014461700134234,29.04851561399329,29.04851561399329,76.70674747671279,-76.70674747671279
1999-09-11,106.42169513472345,-106.42169513472345,104.27436818685987,104.27436818685987,91.73329196666958,91.73329196666958,149.30393667841668,-149.30393667841668,161.84501289860697,-161.84501289860697,12.541076220190291,-12.541076220190291,133.31384681289893,133.31384681289893,120.77277059270864,120.77277059270864,13.110937636334484,13.110937636334484,42.15041626237354,42.15041626237354,64.27127887234991,-64.27127887234991
1999-09-12,107.05177541019916,-107.05177541019916,104.35043931512905,104.35043931512905,91.77406298182143,91.77406298182143,148.59778527467176,-148.59778527467176,161.17416160797939,-161.17416160797939,12.576376333307621,-12.576376333307621,134.3438060688078,134.3438060688078,121.76742973550017,121.76742973550017,24.957100743842318,24.957100743842318,54.95046749752106,54.95046749752106,52.101307912678095,-52.101307912678095
1999-09-13,107.6460848396292,-107.6460848396292,104.46803042560947,104.46803042560947,91.85494187565178,91.85494187565178,147.88588473476136,-147.88588473476136,160.498973284719,-160.498973284719,12.613088549957695,-12.613088549957695,135.37738015390107,135.37738015390107,122.76429160394338,122.76429160394338,36.54084999542451,36.54084999542451,67.45019972371611,67.45019972371611,40.195885115913086,-40.195885115913086
1999-09-14,108.20528766976796,-108.20528766976796,104.62639582908446,104.62639582908446,91.9752065984016,91.9752065984016,147.16831650114761,-147.16831650114761,159.81950573183042,-159.81950573183042,12.65118923068286,-12.65118923068286,136.4145255370414,136.4145255370414,123.76333630635855,123.76333630635855,47.88098420340782,47.88098420340782,79.66911391136478,79.66911391136478,28.53617375840318,-28.53617375840318
1999-09-15,108.73011699026227,-108.73011699026227,104.82471855780068,104.82471855780068,92.1340652212142,92.1340652212142,146.44516445193705,-146.44516445193705,159.13581778852352,-159.13581778852352,12.690653336586479,-12.690653336586479,137.45519867484398,137.45519867484398,124.7645453382575,124.7645453382575,59.01440983882452,59.01440983882452,91.64488995586782,91.64488995586782,17.08522703439445,-17.08522703439445
1999-09-16,109.22136180796005,-109.22136180796005,105.06212386647718,105.06212386647718,92.33066938745299,92.33066938745299,145.7165143255628,-145.7165143255628,158.44796880458694,-158.44796880458694,12.731454479024194,-12.731454479024194,138.49935607249887,138.49935607249887,125.76790159347468,125.76790159347468,69.99454890774223,69.99454890774223,103.43178111376392,103.43178111376392,5.7895806941961325,-5.7895806941961325
