phi_rad,phi_deg,escape_probability,composite
1.5882496193148397,90.99999999999999,0.16894987361145508,Venus_Mars
1.6057029118347836,92.00000000000003,0.16834675789982292,Venus_Mars
1.6231562043547267,93.00000000000001,0.16774320247386743,Venus_Mars
1.6406094968746698,94.0,0.16713940716105974,Venus_Mars
1.658062789394613,95.0,0.1665355702747567,Venus_Mars
1.675516081914556,95.99999999999999,0.16593188853830734,Venus_Mars
1.6929693744345,97.00000000000003,0.1653285570117711,Venus_Mars
1.7104226669544431,98.00000000000001,0.16472576902128108,Venus_Mars
1.7278759594743862,99.0,0.16412371609108115,Venus_Mars
1.7453292519943293,99.99999999999999,0.1635225878782629,Venus_Mars
1.7627825445142733,101.00000000000003,0.16292257211022285,Venus_Mars
1.7802358370342164,102.00000000000001,0.16232385452485665,Venus_Mars
1.7976891295541595,103.0,0.16172661881350414,Venus_Mars
1.8151424220741026,104.0,0.16113104656665253,Venus_Mars
1.8325957145940457,104.99999999999999,0.16053731722240425,Venus_Mars
1.8500490071139897,106.00000000000003,0.15994560801770855,Venus_Mars
1.8675022996339328,107.00000000000001,0.1593560939423555,Venus_Mars
1.8849555921538759,108.0,0.1587689476957237,Venus_Mars
1.902408884673819,108.99999999999999,0.15818433964627265,Venus_Mars
1.919862177193763,110.00000000000003,0.15760243779376432,Venus_Mars
1.937315469713706,111.00000000000001,0.15702340773419612,Venus_Mars
1.9547687622336491,112.0,0.15644741262742431,Venus_Mars
1.9722220547535922,113.0,0.15587461316745185,Venus_Mars
1.9896753472735353,113.99999999999999,0.15530516755535334,Venus_Mars
2.0071286397934793,115.00000000000003,0.15473923147480495,Venus_Mars
2.0245819323134224,116.00000000000001,0.15417695807018483,Venus_Mars
2.0420352248333655,117.0,0.15361849792720628,Venus_Mars
2.0594885173533086,117.99999999999999,0.15306399905604295,Venus_Mars
2.0769418098732526,119.00000000000003,0.15251360687690335,Venus_Mars
2.0943951023931957,120.00000000000001,0.1519674642080077,Venus_Mars
2.111848394913139,121.0,0.1514257112559192,Venus_Mars
2.129301687433082,122.0,0.15088848560817875,Venus_Mars
2.146754979953025,122.99999999999999,0.15035592222818991,Venus_Mars
2.164208272472969,124.00000000000003,0.14982815345229816,Venus_Mars
2.181661564992912,125.00000000000001,0.14930530898900857,Venus_Mars
2.199114857512855,126.0,0.14878751592028075,Venus_Mars
2.2165681500327983,126.99999999999999,0.14827489870484173,Venus_Mars
2.2340214425527423,128.00000000000003,0.14776757918345357,Venus_Mars
2.2514747350726854,129.00000000000003,0.14726567658607181,Venus_Mars
2.2689280275926285,130.0,0.14676930754082884,Venus_Mars
2.2863813201125716,131.0,0.14627858608477706,Venus_Mars
2.3038346126325147,131.99999999999997,0.1457936236763225,Venus_Mars
2.3212879051524586,133.00000000000003,0.14531452920928198,Venus_Mars
2.3387411976724017,134.0,0.14484140902849274,Venus_Mars
2.356194490192345,135.0,0.14437436694690642,Venus_Mars
2.373647782712288,136.0,0.14391350426409488,Venus_Mars
2.391101075232232,137.00000000000003,0.1434589197860982,Venus_Mars
2.408554367752175,138.00000000000003,0.14301070984654285,Venus_Mars
2.426007660272118,139.0,0.14256896832895846,Venus_Mars
2.443460952792061,140.0,0.14213378669022153,Venus_Mars
2.4609142453120043,140.99999999999997,0.14170525398505465,Venus_Mars
2.4783675378319483,142.00000000000003,0.14128345689150945,Venus_Mars
2.4958208303518914,143.0,0.14086847973736155,Venus_Mars
2.5132741228718345,144.0,0.14046040452734715,Venus_Mars
2.5307274153917776,145.0,0.14005931097117047,Venus_Mars
2.5481807079117216,146.00000000000003,0.13966527651221117,Venus_Mars
2.5656340004316647,147.00000000000003,0.13927837635686335,Venus_Mars
2.5830872929516078,148.0,0.13889868350443632,Venus_Mars
2.600540585471551,149.0,0.13852626877754914,Venus_Mars
2.617993877991494,149.99999999999997,0.13816120085295233,Venus_Mars
2.635447170511438,151.00000000000003,0.13780354629270883,Venus_Mars
2.652900463031381,152.0,0.1374533695756705,Venus_Mars
2.670353755551324,153.0,0.13711073312918406,Venus_Mars
2.6878070480712672,154.0,0.13677569736096404,Venus_Mars
2.7052603405912112,155.00000000000003,0.13644832069107005,Venus_Mars
2.7227136331111543,156.00000000000003,0.1361286595839274,Venus_Mars
2.7401669256310974,157.0,0.13581676858033095,Venus_Mars
2.7576202181510405,158.0,0.13551270032937393,Venus_Mars
2.7750735106709836,158.99999999999997,0.13521650562024393,Venus_Mars
2.7925268031909276,160.00000000000003,0.13492823341383045,Venus_Mars
2.8099800957108707,161.0,0.13464793087408927,Venus_Mars
2.827433388230814,162.0,0.13437564339911037,Venus_Mars
2.844886680750757,163.0,0.13411141465183754,Venus_Mars
2.862339973270701,164.00000000000003,0.13385528659038967,Venus_Mars
2.879793265790644,165.00000000000003,0.13360729949793454,Venus_Mars
2.897246558310587,166.0,0.13336749201206766,Venus_Mars
2.91469985083053,167.0,0.13313590115365093,Venus_Mars
2.9321531433504733,167.99999999999997,0.13291256235506588,Venus_Mars
2.9496064358704173,169.00000000000003,0.1326975094878393,Venus_Mars
2.9670597283903604,170.0,0.1324907748895999,Venus_Mars
2.9845130209103035,171.0,0.1322923893903261,Venus_Mars
3.0019663134302466,172.0,0.13210238233784666,Venus_Mars
3.0194196059501905,173.00000000000003,0.13192078162255824,Venus_Mars
3.0368728984701336,174.00000000000003,0.13174761370132382,Venus_Mars
3.0543261909900767,175.0,0.13158290362051908,Venus_Mars
3.07177948351002,176.0,0.131426675038195,Venus_Mars
3.089232776029963,176.99999999999997,0.13127895024532535,Venus_Mars
3.106686068549907,178.00000000000003,0.1311397501861117,Venus_Mars
3.12413936106985,179.0,0.13100909447731698,Venus_Mars
3.141592653589793,180.0,0.13088700142660314,Venus_Mars
-3.141592653589793,-180.0,0.1413973793261252,Venus_Mars_Jupiter
-3.12413936106985,-179.0,0.14120417394637208,Venus_Mars_Jupiter
-3.1066860685499065,-178.0,0.14101714248075653,Venus_Mars_Jupiter
-3.0892327760299634,-177.0,0.14083632189258127,Venus_Mars_Jupiter
-3.07177948351002,-176.0,0.1406617477347765,Venus_Mars_Jupiter
-3.0543261909900767,-175.0,0.14049345416125214,Venus_Mars_Jupiter
-3.036872898470133,-174.0,0.14033147393806647,Venus_Mars_Jupiter
-3.01941960595019,-173.0,0.14017583845438714,Venus_Mars_Jupiter
-3.0019663134302466,-172.0,0.14002657773322016,Venus_Mars_Jupiter
-2.9845130209103035,-171.0,0.13988372044188438,Venus_Mars_Jupiter
-2.9670597283903604,-170.0,0.13974729390220886,Venus_Mars_Jupiter
-2.949606435870417,-169.0,0.13961732410043218,Venus_Mars_Jupiter
-2.9321531433504737,-168.0,0.13949383569678275,Venus_Mars_Jupiter
-2.91469985083053,-167.0,0.13937685203472125,Venus_Mars_Jupiter
-2.897246558310587,-166.0,0.1392663951498257,Venus_Mars_Jupiter
-2.8797932657906435,-165.0,0.13916248577830204,Venus_Mars_Jupiter
-2.8623399732707004,-164.0,0.13906514336510303,Venus_Mars_Jupiter
-2.844886680750757,-163.0,0.13897438607163928,Venus_Mars_Jupiter
-2.827433388230814,-162.0,0.13889023078306797,Venus_Mars_Jupiter
-2.8099800957108707,-161.0,0.1388126931151447,Venus_Mars_Jupiter
-2.792526803190927,-160.0,0.1387417874206252,Venus_Mars_Jupiter
-2.775073510670984,-159.0,0.13867752679520526,Venus_Mars_Jupiter
-2.7576202181510405,-158.0,0.13861992308298685,Venus_Mars_Jupiter
-2.7401669256310974,-157.0,0.13856898688146066,Venus_Mars_Jupiter
-2.722713633111154,-156.0,0.13852472754599562,Venus_Mars_Jupiter
-2.705260340591211,-155.0,0.13848715319382673,Venus_Mars_Jupiter
-2.6878070480712672,-154.0,0.13845627070753402,Venus_Mars_Jupiter
-2.670353755551324,-153.0,0.13843208573800603,Venus_Mars_Jupiter
-2.652900463031381,-152.0,0.13841460270688277,Venus_Mars_Jupiter
-2.6354471705114375,-151.0,0.13840382480847277,Venus_Mars_Jupiter
-2.6179938779914944,-150.0,0.13839975401114143,Venus_Mars_Jupiter
-2.600540585471551,-149.0,0.13840239105816823,Venus_Mars_Jupiter
-2.5830872929516078,-148.0,0.13841173546807012,Venus_Mars_Jupiter
-2.5656340004316642,-147.0,0.1384277855343922,Venus_Mars_Jupiter
-2.548180707911721,-146.0,0.13845053832496415,Venus_Mars_Jupiter
-2.5307274153917776,-145.0,0.13847998968062583,Venus_Mars_Jupiter
-2.5132741228718345,-144.0,0.13851613421342235,Venus_Mars_Jupiter
-2.4958208303518914,-143.0,0.13855896530427347,Venus_Mars_Jupiter
-2.478367537831948,-142.0,0.13860847510012103,Venus_Mars_Jupiter
-2.4609142453120048,-141.0,0.13866465451055937,Venus_Mars_Jupiter
-2.443460952792061,-140.0,0.13872749320395614,Venus_Mars_Jupiter
-2.426007660272118,-139.0,0.1387969796030687,Venus_Mars_Jupiter
-2.4085543677521746,-138.0,0.1388731008801669,Venus_Mars_Jupiter
-2.3911010752322315,-137.0,0.13895584295166896,Venus_Mars_Jupiter
-2.373647782712288,-136.0,0.1390451904723022,Venus_Mars_Jupiter
-2.356194490192345,-135.0,0.1391411268287988,Venus_Mars_Jupiter
-2.3387411976724017,-134.0,0.13924363413313934,Venus_Mars_Jupiter
-2.321287905152458,-133.0,0.1393526932153562,Venus_Mars_Jupiter
-2.3038346126325147,-131.99999999999997,0.13946828361591151,Venus_Mars_Jupiter
-2.2863813201125716,-131.0,0.13959038357766412,Venus_Mars_Jupiter
-2.2689280275926285,-130.0,0.13971897003744152,Venus_Mars_Jupiter
-2.251474735072685,-129.0,0.13985401861723307,Venus_Mars_Jupiter
-2.234021442552742,-128.0,0.13999550361502264,Venus_Mars_Jupiter
-2.2165681500327983,-126.99999999999999,0.14014339799527886,Venus_Mars_Jupiter
