combo,mode,combo_size,global_prob,high_R_prob,enrichment,circular_shift_p,n_event,n_high_R,n_joint,fdr_q
Mercury+Uranus+Moon,either,3,0.14183501683501684,0.11177884615384616,0.7880906185802328,0.6401799100449775,2359,832,93,1.0
Mercury+Pluto+Moon,either,3,0.14243626743626744,0.11177884615384616,0.7847639380459136,0.6911544227886057,2369,832,93,1.0
Saturn+Moon,either,2,0.09764309764309764,0.07572115384615384,0.7754890583554376,0.5477261369315343,1624,832,63,1.0
Neptune+Pluto+Sun,either,3,0.14892977392977394,0.11057692307692307,0.7424769417098847,0.7251374312843578,2477,832,92,1.0
Mercury+Saturn,either,2,0.09716209716209716,0.07211538461538461,0.7422172505712109,0.553223388305847,1616,832,60,1.0
Saturn+Neptune+Moon,at_least_two,3,0.009860509860509861,0.007211538461538462,0.7313555347091932,0.4077961019490255,164,832,6,1.0
Saturn+Uranus+Neptune,either,3,0.14454064454064455,0.1045673076923077,0.7234456994752335,0.7426286856571714,2404,832,87,1.0
Saturn+Neptune+Pluto,either,3,0.14454064454064455,0.1045673076923077,0.7234456994752335,0.7001499250374813,2404,832,87,1.0
Mars+Uranus+Pluto,either,3,0.13924963924963926,0.0985576923076923,0.707777002789956,0.585207396301849,2316,832,82,1.0
Mars+Pluto+Moon,at_least_two,3,0.006974506974506974,0.004807692307692308,0.6893236074270558,0.4817591204397801,116,832,4,1.0
Mercury+Saturn+Sun,either,3,0.14087301587301587,0.09615384615384616,0.6825568797399784,0.782608695652174,2343,832,80,1.0
Pluto+Sun+Moon,at_least_two,3,0.005291005291005291,0.003605769230769231,0.6814903846153847,0.6561719140429785,88,832,3,1.0
Saturn+Sun+Moon,either,3,0.14135401635401634,0.09615384615384616,0.6802342701959887,0.7951024487756122,2351,832,80,1.0
Venus+Saturn+Neptune,at_least_two,3,0.011243386243386243,0.007211538461538462,0.6414027149321267,0.41179410294852575,187,832,6,1.0
Mars+Saturn+Moon,at_least_two,3,0.007756132756132756,0.004807692307692308,0.6198568872987478,0.5142428785607196,129,832,4,1.0
Uranus+Neptune+Pluto,either,3,0.14285714285714285,0.08653846153846154,0.6057692307692308,0.6876561719140429,2376,832,72,1.0
Uranus+Moon,either,2,0.09698172198172199,0.057692307692307696,0.5948781534646382,0.6906546726636682,1613,832,48,1.0
Pluto+Moon,either,2,0.09740259740259741,0.057692307692307696,0.5923076923076923,0.7526236881559221,1620,832,48,1.0
Mercury+Uranus+Sun,either,3,0.1341991341991342,0.078125,0.5821572580645161,0.8445777111444278,2232,832,65,1.0
Uranus+Sun+Moon,either,3,0.1344997594997595,0.078125,0.5808560572194904,0.8670664667666167,2237,832,65,1.0
Mercury+Venus+Uranus,at_least_two,3,0.006373256373256374,0.003605769230769231,0.5657656023222061,0.47126436781609193,106,832,3,1.0
Mercury+Uranus,either,2,0.0971019721019721,0.054086538461538464,0.55700762086211,0.7556221889055472,1615,832,45,1.0
Mercury+Pluto,either,2,0.09716209716209716,0.054086538461538464,0.5566629379284083,0.7876061969015492,1616,832,45,1.0
Mercury+Pluto+Sun,either,3,0.14417989417989419,0.078125,0.5418577981651376,0.896551724137931,2398,832,65,1.0
Pluto+Sun+Moon,either,3,0.1447811447811448,0.078125,0.5396075581395349,0.9080459770114943,2408,832,65,1.0
Mercury+Venus+Jupiter,at_least_two,3,0.006734006734006734,0.003605769230769231,0.5354567307692308,0.5397301349325337,112,832,3,1.0
Mercury+Mars,all_overlap,2,0.002284752284752285,0.001201923076923077,0.5260627530364372,0.39480259870064965,38,832,1,1.0
