lag_days,prob_condition_after_event,global_event_probability,body,lag_enrichment
53,0.018028846153846152,0.050024050024050026,Venus,0.3604035687869822
54,0.019230769230769232,0.050024050024050026,Venus,0.3844304733727811
55,0.020432692307692308,0.050024050024050026,Venus,0.4084573779585799
56,0.021634615384615384,0.050024050024050026,Venus,0.43248428254437865
57,0.02283653846153846,0.050024050024050026,Venus,0.45651118713017746
58,0.02403846153846154,0.050024050024050026,Venus,0.48053809171597633
59,0.025240384615384616,0.050024050024050026,Venus,0.5045649963017751
60,0.026442307692307692,0.050024050024050026,Venus,0.5285919008875739
61,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
62,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
63,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
64,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
65,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
66,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
67,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
68,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
69,0.026442307692307692,0.050024050024050026,Venus,0.5285919008875739
70,0.026442307692307692,0.050024050024050026,Venus,0.5285919008875739
71,0.026442307692307692,0.050024050024050026,Venus,0.5285919008875739
72,0.026442307692307692,0.050024050024050026,Venus,0.5285919008875739
73,0.026442307692307692,0.050024050024050026,Venus,0.5285919008875739
74,0.027644230769230768,0.050024050024050026,Venus,0.5526188054733727
75,0.028846153846153848,0.050024050024050026,Venus,0.5766457100591716
76,0.030048076923076924,0.050024050024050026,Venus,0.6006726146449703
77,0.03125,0.050024050024050026,Venus,0.6246995192307692
78,0.03245192307692308,0.050024050024050026,Venus,0.6487264238165681
79,0.03365384615384615,0.050024050024050026,Venus,0.6727533284023668
80,0.03485576923076923,0.050024050024050026,Venus,0.6967802329881657
81,0.036057692307692304,0.050024050024050026,Venus,0.7208071375739644
82,0.037259615384615384,0.050024050024050026,Venus,0.7448340421597632
83,0.038461538461538464,0.050024050024050026,Venus,0.7688609467455622
84,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
85,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
86,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
87,0.039663461538461536,0.050024050024050026,Venus,0.7928878513313609
