date,theta_raw_rad,sun_phase_rad,theta_residual_minus_sun_rad,R,high_R
1992-02-05,-1.347887296568384,0.5776510899057024,-1.9255383864740863,0.2811271589460532,False
1992-02-06,-1.3647497081684996,0.5959366487434741,-1.9606863569119737,0.288771612614969,False
1992-02-07,-1.3816538133171117,0.6141537016008582,-1.99580751491797,0.2963131460101072,False
1992-02-08,-1.3985919275072227,0.6324038448231857,-2.0309957723304084,0.3037810055764492,False
1992-02-09,-1.4155559107096105,0.6505454131794388,-2.0661013238890495,0.3112069411863203,False
1992-02-10,-1.4325380036666324,0.6686830404746473,-2.1012210441412797,0.3186159601975907,False
1992-02-11,-1.449530919648165,0.6866850473328321,-2.136215966980997,0.3260233237437748,False
1992-02-12,-1.4665277558096328,0.704659226801704,-2.171186982611337,0.3334423955365325,False
1992-02-13,-1.4835225477776357,0.7224832263661609,-2.2060057741437964,0.3408902557351748,False
1992-02-14,-1.5005104671125586,0.7402668621843058,-2.2407773292968645,0.348384283499178,False
1992-02-15,-1.517487318743914,0.7578962576190555,-2.2753835763629695,0.355946317968808,False
1992-02-16,-1.5344488519514918,0.7754824730507694,-2.3099313250022613,0.3635832177646748,False
1992-02-17,-1.551390143240578,0.7929197965803096,-2.3443099398208878,0.3712907869367134,False
1992-02-18,-1.5683062019634342,0.8103202395670759,-2.37862644153051,0.3790578424629076,False
1992-02-19,-1.585193161263188,0.8275862792376278,-2.412779440500816,0.3868715943508728,False
1992-02-20,-1.6020498478586769,0.8448307005076128,-2.4468805483662894,0.3947235155580189,False
1992-02-21,-1.6188779720734452,0.8619641113064676,-2.4808420833799127,0.402609159422794,False
1992-02-22,-1.6356811031572356,0.8790996079560021,-2.5147807111132376,0.4105083534541758,False
1992-02-23,-1.6524629627496772,0.89615546148229,-2.548618424231967,0.4183771367194067,False
1992-02-24,-1.6692264071315712,0.913244097235836,-2.582470504367407,0.4261788438818465,False
1992-02-25,-1.685973187963267,0.9302904143052686,-2.6162636022685355,0.4339024160043966,False
1992-02-26,-1.702704471239823,0.9474045153481159,-2.650108986587939,0.4415498423165713,False
1992-02-27,-1.7194215530602968,0.9645160854544885,-2.6839376385147853,0.4491014355297271,False
1992-02-28,-1.7361258661750831,0.9817301594776202,-2.7178560256527033,0.4565345024517175,False
1992-02-29,-1.7528186327845925,0.9989779294012502,-2.7517965621858425,0.4638288046960131,False
1992-03-01,-1.7695007054519143,1.0163548606896935,-2.785855566141608,0.4709645411646475,False
1992-03-02,-1.78617237946629,1.033788663492297,-2.819961042958587,0.4779278040999195,False
1992-03-03,-1.802833521117332,1.0513597941569452,-2.8541933152742773,0.4847093401838899,False
1992-03-04,-1.8194838120081125,1.068988297306884,-2.8884721093149963,0.4913055497371929,False
1992-03-05,-1.8361226625984663,1.086737475259829,-2.9228601378582955,0.4977390589437597,False
1992-03-06,-1.852749138774055,1.10452106689773,-2.957270205671785,0.5040400054051796,False
1992-03-07,-1.8693624985004185,1.1223895028659694,-2.991752001366388,0.5102330353627471,False
1992-03-08,-1.8859625274341416,1.1402567031936917,-3.0262192306278335,0.5163304533064403,False
1992-03-09,-1.9025494247985184,1.1581668136828451,-3.0607162384813638,0.5223426083932048,False
1992-03-10,-1.9191230254276623,1.1760395710787295,-3.095162596506392,0.5282728043079485,False
1992-03-11,-1.935681953070041,1.193916572254789,-3.1295985253248304,0.5341105757901333,False
1992-03-12,-1.952223639212061,1.2117255496764763,3.119236118291049,0.5398362199938224,False
1992-03-13,-1.968744954251303,1.2295064288895725,3.084933924038711,0.5454061729281094,False
1992-03-14,-1.9852431511112163,1.2471952236184904,3.0507469324498793,0.5507460322774228,False
1992-03-15,-2.001716076925657,1.2648301685362284,3.016639061717701,0.5557852785378921,False
1992-03-16,-2.0181619994248443,1.2823556274856331,2.982667680269109,0.5604690886021946,False
1992-03-17,-2.0345798235666415,1.2998083856144333,2.9487970979985114,0.5647607144362505,False
1992-03-18,-2.050969261407115,1.3171417048788019,2.9150743408936695,0.5686508586220501,False
1992-03-19,-2.067331360789435,1.3343917506161889,2.8814621957739623,0.5721706407792099,False
1992-03-20,-2.0836686412009264,1.3515217583055792,2.8479949076730806,0.5753791119457912,False
1992-03-21,-2.09998477319851,1.3685684825672269,2.8146320514138488,0.5783232028084789,False
1992-03-22,-2.1162833618980805,1.385506299536364,2.7813956457451416,0.581004966044883,False
1992-03-23,-2.1325664406849505,1.4023735019621508,2.748245364532485,0.5833792150927103,False
1992-03-24,-2.1488337106488693,1.4191561181018848,2.715195478428832,0.5853522019283218,False
1992-03-25,-2.1650834984113025,1.4358939092834664,2.6822078994848173,0.5868021568103641,False
1992-03-26,-2.1813141654827852,1.4525837705834075,2.6492873711133935,0.5876277422526547,False
1992-03-27,-2.1975247073355284,1.469265347835484,2.616395252008574,0.5877756496726161,False
