signal,raw_high_R_plv,raw_background_plv,raw_delta,raw_p,residual_high_R_plv,residual_background_plv,residual_delta,residual_p,best_residual_lag_days,best_residual_lag_plv,raw_fdr_q,residual_fdr_q
combo_Mars_Neptune,0.3092429501183932,0.014771062775853749,0.29447188734253943,0.19860046651116295,0.20927896049840772,0.008057704144556543,0.20122125635385119,0.20793068977007664,8,0.20999605071445757,0.8945510226749812,0.9866711096301233
combo_Mercury_Venus_Uranus,0.12184361183287083,0.013765564205770157,0.10807804762710067,0.5471509496834388,0.20723490546774131,0.03162806546380711,0.1756068400039342,0.24925024991669442,11,0.23468440646547564,0.9254281494645816,0.9866711096301233
combo_Mercury_Venus_Pluto,0.21072192437340445,0.029238089234101965,0.1814838351393025,0.09363545484838387,0.20431553304780453,0.020363296598250796,0.18395223644955375,0.3635454848383872,59,0.40838823686198233,0.8945510226749812,0.9866711096301233
combo_Mercury_Mars,0.24216841067477424,0.010314546626688698,0.23185386404808553,0.40019993335554815,0.19590745895362993,0.019858398199529174,0.17604906075410076,0.5721426191269576,173,0.26299699553259537,0.921438467879128,0.9866711096301233
combo_Venus_Mars_Neptune,0.12134990402337874,0.012265479914803448,0.10908442410857529,0.8440519826724425,0.19200443964388167,0.01974839506508746,0.1722560445787942,0.5114961679440186,87,0.2281395837703762,0.9380858009736103,0.9866711096301233
combo_Mars_Uranus_Pluto,0.19713894986619765,0.023864551245604826,0.17327439862059282,0.6994335221592802,0.18554535686927884,0.018093671730097113,0.16745168513918174,0.3958680439853382,52,0.2642939309123216,0.9262952235294788,0.9866711096301233
combo_Mercury_Venus_Neptune,0.18562070318167806,0.010240534085828626,0.17538016909584944,0.19993335554815062,0.18129270668905398,0.032246277587952815,0.14904642910110116,0.376541152949017,63,0.2890598383109214,0.8945510226749812,0.9866711096301233
combo_Mercury_Venus,0.1548119731631287,0.016022156459612465,0.13878981670351623,0.3138953682105965,0.17664130045883225,0.03150113657023358,0.14514016388859868,0.652115961346218,23,0.27018713048967946,0.8959096967677441,0.9866711096301233
combo_Venus_Saturn,0.17885992321992703,0.009243162089872673,0.16961676113005436,0.21892702432522493,0.17564672203333623,0.009027709954515219,0.16661901207882102,0.263245584805065,0,0.17564672203333623,0.8945510226749812,0.9866711096301233
combo_Venus_Mars_Uranus,0.058980846779408416,0.016664367818746636,0.04231647896066178,0.9766744418527158,0.17501225675802023,0.023204501488303882,0.15180775526971635,0.5641452849050317,0,0.17501225675802023,0.9790069976674441,0.9866711096301233
combo_Mercury_Pluto,0.1557691202121601,0.0436041930636218,0.1121649271485383,0.20826391202932357,0.1745981710072928,0.03206655115064851,0.14253161985664428,0.25658113962012663,19,0.31496366162555905,0.8945510226749812,0.9866711096301233
combo_Mercury_Uranus_Pluto,0.16248886247118755,0.0528399366153814,0.10964892585580614,0.26724425191602796,0.17175533826182837,0.013875417008993285,0.1578799212528351,0.21359546817727423,26,0.2838718305470129,0.8945510226749812,0.9866711096301233
combo_Venus_Uranus,0.2207068633330685,0.005646610651255283,0.2150602526818132,0.16327890703098968,0.1685549857534413,0.008301445667807838,0.16025354008563347,0.25324891702765745,0,0.1685549857534413,0.8945510226749812,0.9866711096301233
combo_Mars_Saturn_Uranus,0.18586768176757892,0.013931238531830814,0.1719364432357481,0.6107964011996001,0.1660714034015042,0.022586008755700673,0.1434853946458035,0.291569476841053,46,0.25236439971477187,0.9262952235294788,0.9866711096301233
all_non_solar,0.16900879056841467,0.012150405010577204,0.15685838555783746,0.510163278907031,0.16458387182881634,0.013085969873850835,0.1514979019549655,0.3578807064311896,59,0.24407330264309648,0.921438467879128,0.9866711096301233
combo_Mercury_Mars_Pluto,0.14994419646725626,0.027586857515481913,0.12235733895177435,0.7180939686771076,0.16234773196878197,0.027595209304399806,0.13475252266438215,0.6097967344218593,238,0.34023140548821296,0.9262952235294788,0.9866711096301233
combo_Mercury_Venus_Moon,0.15930440903299822,0.0154860383395654,0.1438183706934328,0.17760746417860712,0.16116824740726413,0.022531744894778324,0.1386365025124858,0.4665111629456848,30,0.2133748360565562,0.8945510226749812,0.9866711096301233
Venus,0.18432191007053603,0.0038256822399054453,0.18049622783063057,0.24758413862045986,0.16062341543601766,0.005614011322559811,0.15500940411345784,0.7174275241586138,74,0.250055603222686,0.8945510226749812,0.9866711096301233
combo_Mercury_Neptune_Pluto,0.08622202011172915,0.034016318713760735,0.052205701397968415,0.7117627457514162,0.15527836419860996,0.01685959585697141,0.13841876834163855,0.2769076974341886,41,0.3128152955089146,0.9262952235294788,0.9866711096301233
combo_Venus_Saturn_Pluto,0.0734803033999472,0.0158109874606686,0.0576693159392786,0.7837387537487505,0.1541033046134466,0.031104162789698454,0.12299914182374815,0.3678773742085971,30,0.2320961803920472,0.9262952235294788,0.9866711096301233
combo_Jupiter_Pluto,0.18493373767315158,0.0359871455814541,0.14894659209169747,0.3068977007664112,0.15144061273569726,0.034155330058984815,0.11728528267671244,0.30723092302565813,134,0.2399674482726501,0.8945741490425179,0.9866711096301233
combo_Venus_Jupiter_Saturn,0.18829024460264407,0.08463455220558368,0.10365569239706039,0.2902365878040653,0.14569949598475274,0.00941386395070608,0.13628563203404664,0.37887370876374543,66,0.2294924347832689,0.8945741490425179,0.9866711096301233
combo_Mercury_Mars_Neptune,0.20092692645995305,0.006826271578527761,0.1941006548814253,0.5028323892035989,0.14350977059698586,0.037468149677087774,0.10604162091989808,0.6304565144951683,12,0.20104296454568282,0.921438467879128,0.9866711096301233
combo_Venus_Pluto_Moon,0.1783408608343869,0.01441311161468312,0.1639277492197038,0.080973008997001,0.14321766525005475,0.01304647391602158,0.13017119133403318,0.30756414528490506,56,0.28287053178478067,0.8945510226749812,0.9866711096301233
combo_Venus_Neptune,0.0744346974185857,0.02617391884815783,0.048260778570427876,0.7910696434521826,0.13985532056876848,0.010101186931946397,0.1297541336368221,0.41752749083638785,64,0.23583833419484335,0.9262952235294788,0.9866711096301233
combo_Jupiter_Saturn_Pluto,0.16748537493353885,0.08000902644600315,0.0874763484875357,0.42085971342885703,0.13984960144439507,0.04962625170783487,0.0902233497365602,0.38153948683772076,76,0.17371553330844045,0.921438467879128,0.9866711096301233
combo_Mars_Jupiter_Saturn,0.08974545224731924,0.08268242756890301,0.007063024678416227,0.903032322559147,0.13918568074264895,0.014024072263198517,0.12516160847945043,0.49450183272242587,166,0.2089066740437141,0.9380858009736103,0.9866711096301233
combo_Saturn_Uranus_Pluto,0.16151954910160649,0.025116354252655775,0.13640319484895072,0.38920359880039984,0.1364879227582773,0.026652232641053614,0.1098356901172237,0.5381539486837721,185,0.2254250638376892,0.921438467879128,0.9866711096301233
combo_Venus_Neptune_Moon,0.1004367706296525,0.0024880325716688557,0.09794873805798365,0.47184271909363545,0.1362507972536544,0.0020432605958839566,0.13420753665777047,0.1586137954015328,30,0.18009940648996228,0.921438467879128,0.9866711096301233
combo_Venus_Mars_Moon,0.14438500145622607,0.004381073374553783,0.14000392808167228,0.7584138620459847,0.13496388114735136,0.007822299020035707,0.12714158212731566,0.834055314895035,88,0.1826103727143682,0.9262952235294788,0.9866711096301233
mars_jupiter,0.18642882012677686,0.09830120358173612,0.08812761654504074,0.7230923025658114,0.13257366119064518,0.018026511550148398,0.11454714964049678,0.6287904031989336,194,0.18740764848736127,0.9262952235294788,0.9866711096301233
combo_Mars_Jupiter,0.18642882012677686,0.09830120358173612,0.08812761654504074,0.71242919026991,0.13257366119064518,0.018026511550148398,0.11454714964049678,0.6177940686437854,194,0.18740764848736127,0.9262952235294788,0.9866711096301233
combo_Mercury_Venus_Saturn,0.17281154395327458,0.027862447166066503,0.14494909678720808,0.2669110296567811,0.132454873637027,0.025616530259986323,0.10683834337704066,0.6304565144951683,173,0.23983821314189732,0.8945510226749812,0.9866711096301233
combo_Saturn_Uranus,0.1548563420631017,0.027762259200971754,0.12709408286212995,0.4478507164278574,0.13242311488764316,0.013336167345875545,0.11908694754176762,0.40253248917027656,107,0.2134144130647246,0.921438467879128,0.9866711096301233
combo_Mars_Uranus_Neptune,0.10436205314165857,0.015823924660859693,0.08853812848079888,0.7597467510829723,0.13215208636921824,0.01069650193658818,0.12145558443263006,0.3145618127290903,240,0.15278944634107097,0.9262952235294788,0.9866711096301233
combo_Mars_Pluto,0.20875816700346578,0.018853942800791623,0.18990422420267417,0.6381206264578474,0.131637070130532,0.005770312408979556,0.12586675772155245,0.651782739086971,119,0.28416727081762366,0.9262952235294788,0.9866711096301233
combo_Mercury_Saturn_Uranus,0.07719992634360236,0.023970565846982973,0.05322936049661939,0.8030656447850717,0.13101463837400287,0.008266572994793664,0.12274806537920921,0.26457847384205263,174,0.2152712222868739,0.9323728248775833,0.9866711096301233
Pluto,0.0899986926934141,0.031046554079627572,0.05895213861378652,0.7874041986004665,0.12993661515722799,0.027051510595159832,0.10288510456206815,0.4608463845384872,48,0.27770173385588165,0.9262952235294788,0.9866711096301233
combo_Venus_Pluto,0.18540018896504887,0.01734351278264583,0.16805667618240305,0.23258913695434855,0.1261151433278345,0.034980193390899215,0.09113494993693527,0.6211262912362546,49,0.35025237734980924,0.8945510226749812,0.9866711096301233
Mercury,0.09664309908748266,0.03196937382495948,0.06467372526252319,0.6574475174941686,0.12301298460959544,0.030752287288174453,0.09226069732142098,0.6307897367544152,173,0.27281538540595107,0.9262952235294788,0.9866711096301233
combo_Mercury_Neptune,0.06916966094772191,0.011215165858560467,0.057954495089161444,0.7740753082305898,0.11914466578716944,0.024150514281207708,0.09499415150596173,0.3618793735421526,20,0.15931007703627667,0.9262952235294788,0.9866711096301233
